t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
1.714000000000000057e+01,8.000000000000000000e+00,6.126193975002591330e+00,5.694978911392151177e-01,1.543443191282590110e+00,5.702021487333835958e-01,2.402801429873841488e-01,-5.236022248890215280e-02,1.559487180897292831e-02,5.699888511132734648e-01,-3.109831872821304799e-01,-4.393199020010753880e-02,9.524339855533789923e-01
1.716000000000000014e+01,8.000000000000000000e+00,6.126443131693573463e+00,5.808881484588622746e-01,1.554464325157401516e+00,5.690761863327902237e-01,2.475488228478021080e-01,-6.004681506365905364e-02,9.293740034350239654e-03,5.690002919570836815e-01,-3.191000513374176450e-01,-5.490831047584479596e-02,9.824394810378831444e-01
1.717999999999999972e+01,8.000000000000000000e+00,6.126564654664204745e+00,5.922564459253474300e-01,1.565808408234764304e+00,5.678002761308372781e-01,2.550048606211629543e-01,-6.734067640461383064e-02,2.832129792144424778e-03,5.677932128998157690e-01,-3.270279098924828154e-01,-6.578049991515259876e-02,1.013333187793997059e+00
1.719999999999999929e+01,8.000000000000000000e+00,6.126555373395891735e+00,6.035984353589727291e-01,1.577480889184830426e+00,5.663825592766057460e-01,2.626379848629777358e-01,-7.421361356556133160e-02,-3.785991358762978362e-03,5.663699053817647933e-01,-3.347480180596296706e-01,-7.652767616137504114e-02,1.045085326625079469e+00
1.721999999999999886e+01,8.000000000000000000e+00,6.126412200470196190e+00,6.149098185853184573e-01,1.589486664108455960e+00,5.648317315882148693e-01,2.704357381028826279e-01,-8.063842697722201081e-02,-1.055628096173666548e-02,5.647330784903590306e-01,-3.422416309511613908e-01,-8.712895685785601585e-02,1.077657166085078222e+00
1.723999999999999844e+01,8.000000000000000000e+00,6.126132139066793769e+00,6.261863557881846010e-01,1.601829992587322948e+00,5.631570221975169543e-01,2.783832706728678330e-01,-8.658906632585328111e-02,-1.747402166238736995e-02,5.628858589601598572e-01,-3.494900036793819331e-01,-9.756345964793974868e-02,1.110999902760065661e+00
1.726000000000000156e+01,8.000000000000000000e+00,6.125712290461419407e+00,6.374238738625338518e-01,1.614514406182384620e+00,5.613681689351804893e-01,2.864631404046582008e-01,-9.204080076027132407e-02,-2.453412120857192610e-02,5.608317911728617489e-01,-3.564743913565944222e-01,-1.078103021749700491e-01,1.145053504433201308e+00
1.728000000000000114e+01,8.000000000000000000e+00,6.125149861523835781e+00,6.486182747674333893e-01,1.627542609441510857e+00,5.594753901671059015e-01,2.946551228466131045e-01,-9.697040354796548911e-02,-3.173111245039314521e-02,5.585748371572925031e-01,-3.631760490951027598e-01,-1.178486020822911706e-01,1.179745531689004867e+00
1.730000000000000071e+01,8.000000000000000000e+00,6.124442172215774249e+00,6.597655438789995497e-01,1.640916373617586688e+00,5.574893527932619497e-01,3.029360372065280083e-01,-1.013563510139157131e-01,-3.905915334020002710e-02,5.561193765894125729e-01,-3.695762320072101259e-01,-1.276574770132469783e-01,1.214989957962807621e+00
1.732000000000000028e+01,8.000000000000000000e+00,6.123586663088899762e+00,6.708617583433380549e-01,1.654636423464627137e+00,5.554211361265493085e-01,3.112795936819833242e-01,-1.051790352430863607e-01,-4.651202693258756765e-02,5.534702067923160662e-01,-3.756561952052203113e-01,-1.372160446111816423e-01,1.250686012883807763e+00
