t,solve_time,solver_success,solver_status,number_of_config_obstacles,number_of_active_edges,number_of_binary_variables
3.00002284348011e-07,0.004435700015164912,1,MIQP_OPTIMAL,2,8,104
0.07032060000346974,0.003129999997327104,1,MIQP_OPTIMAL,2,8,104
0.1405333000002429,0.0035235000250395387,1,MIQP_OPTIMAL,2,8,104
0.2102147999976296,0.003247300017392263,1,MIQP_OPTIMAL,2,8,104
0.28059849998680875,0.003267799998866394,1,MIQP_OPTIMAL,2,8,104
0.3501105000032112,0.003185600013239309,1,MIQP_OPTIMAL,2,8,104
0.42048889998113737,0.003489599999738857,1,MIQP_OPTIMAL,2,8,104
0.4901683999923989,0.0036515000101644546,1,MIQP_OPTIMAL,2,8,104
0.5602346999803558,0.003572299989173189,1,MIQP_OPTIMAL,2,8,104
0.6305447999911848,0.0041631000058259815,1,MIQP_OPTIMAL,2,8,104
0.7003494999953546,0.003585899976314977,1,MIQP_OPTIMAL,2,8,104
0.7703596999926958,0.0031334999948740005,1,MIQP_OPTIMAL,2,8,104
0.8402806999802124,0.003485799999907613,1,MIQP_OPTIMAL,2,8,104
0.9104735000000801,0.0062439000175800174,1,MIQP_OPTIMAL,2,8,104
0.9802527999854647,0.007366699981503189,1,MIQP_OPTIMAL,2,8,104
1.0504951999755576,0.006952900002943352,1,MIQP_OPTIMAL,2,8,104
1.1206188999931328,0.008510700019542128,1,MIQP_OPTIMAL,2,8,104
1.1906899999885354,0.007035199989331886,1,MIQP_OPTIMAL,2,8,104
1.2603467000008095,0.007057699986035004,1,MIQP_OPTIMAL,2,8,104
1.3302803999977186,0.007015199982561171,1,MIQP_OPTIMAL,2,8,104
1.4005106999829877,0.02042099999380298,1,MIQP_OPTIMAL,2,8,104
1.4701942999963649,0.022024900012183934,1,MIQP_OPTIMAL,2,8,104
1.563301699992735,0.022953399980906397,1,MIQP_OPTIMAL,2,8,104
1.6632855999923777,0.022529000008944422,1,MIQP_OPTIMAL,2,8,104
1.7632791999785695,0.023717900010524318,1,MIQP_OPTIMAL,2,8,104
1.8633191999979317,0.02729570001247339,1,MIQP_OPTIMAL,2,8,104
1.963339999987511,0.029227299994090572,1,MIQP_OPTIMAL,2,8,104
2.063310300000012,0.028277100005652755,1,MIQP_OPTIMAL,2,8,104
2.1633088999951724,0.03463089998695068,1,MIQP_OPTIMAL,2,8,104
2.2632749999756925,0.034461400005966425,1,MIQP_OPTIMAL,2,8,104
2.363294099981431,0.06131149997236207,1,MIQP_OPTIMAL,2,8,104
2.4966237999906298,0.0337881000014022,1,MIQP_OPTIMAL,2,8,104
2.5966668000037316,0.02559459998155944,1,MIQP_OPTIMAL,2,8,104
2.696658699976979,0.022648299986030906,1,MIQP_OPTIMAL,2,8,104
2.796663399989484,0.04268189999856986,1,MIQP_OPTIMAL,2,8,104
2.896645400003763,0.008580800000345334,1,MIQP_OPTIMAL,2,8,104
2.963274599984288,0.008802800002740696,1,MIQP_OPTIMAL,2,8,104
3.0299849000002723,0.027111500006867573,1,MIQP_OPTIMAL,2,8,104
3.130288999993354,0.007902399986051023,1,MIQP_OPTIMAL,2,8,104
3.1967041000025347,0.00751029999810271,1,MIQP_OPTIMAL,2,8,104
3.263404899975285,0.005644699995173141,1,MIQP_OPTIMAL,2,8,104
3.330075299978489,0.007235299999592826,1,MIQP_OPTIMAL,2,8,104
3.396743899997091,0.007784799992805347,1,MIQP_OPTIMAL,2,8,104
3.46339329998591,0.0067236000031698495,1,MIQP_OPTIMAL,2,8,104
3.5302100999979302,0.007045800011837855,1,MIQP_OPTIMAL,2,8,104
3.596740699984366,0.00670280001941137,1,MIQP_OPTIMAL,2,8,104
3.6634001999918837,0.007695900014368817,1,MIQP_OPTIMAL,2,8,104
3.7301614999887533,0.006618200015509501,1,MIQP_OPTIMAL,2,8,104
3.79674319998594,0.006863000016892329,1,MIQP_OPTIMAL,2,8,104
3.8634531999996398,0.006588499993085861,1,MIQP_OPTIMAL,2,8,104
3.930107299995143,0.01853200001642108,1,MIQP_OPTIMAL,2,8,104
3.996728500002064,0.024592100002337247,1,MIQP_OPTIMAL,2,8,104
4.0967385999974795,0.02023729999200441,1,MIQP_OPTIMAL,2,8,104
4.1634092000022065,0.0266109999793116,1,MIQP_OPTIMAL,2,8,104
4.263372899993556,0.02432640001643449,1,MIQP_OPTIMAL,2,8,104
4.363421199988807,0.026187000010395423,1,MIQP_OPTIMAL,2,8,104
4.463505699997768,0.033997499995166436,1,MIQP_OPTIMAL,2,8,104
4.563459700002568,0.044021999987307936,1,MIQP_OPTIMAL,2,8,104
4.663462900003651,0.03182000000379048,1,MIQP_OPTIMAL,2,8,104
4.763463299983414,0.03228389998548664,1,MIQP_OPTIMAL,2,8,104
4.863550099980785,0.036217200016835704,1,MIQP_OPTIMAL,2,8,104
4.963383800000884,0.0402450000110548,1,MIQP_OPTIMAL,2,8,104
5.063447900000028,0.04139939998276532,1,MIQP_OPTIMAL,2,8,104
5.163448499981314,0.032827100018039346,1,MIQP_OPTIMAL,2,8,104
5.263405199977569,0.030761500005610287,1,MIQP_OPTIMAL,2,8,104
5.3634115000022575,0.03360430002794601,1,MIQP_OPTIMAL,2,8,104
5.463444199995138,0.022774400014895946,1,MIQP_OPTIMAL,2,8,104
5.563416499993764,0.028240199986612424,1,MIQP_OPTIMAL,2,8,104
5.663416800001869,0.006169700005557388,1,MIQP_OPTIMAL,2,8,104
5.730154899996705,0.00609819998499006,1,MIQP_OPTIMAL,2,8,104
5.796754799986957,0.005834799987496808,1,MIQP_OPTIMAL,2,8,104
5.863397599983728,0.007514900004025549,1,MIQP_OPTIMAL,2,8,104
5.930081400001654,0.005903200013563037,1,MIQP_OPTIMAL,2,8,104
5.996756999986246,0.005646999983582646,1,MIQP_OPTIMAL,2,8,104
6.063430899986997,0.0074545000097714365,1,MIQP_OPTIMAL,2,8,104
6.130139199987752,0.0061178999894764274,1,MIQP_OPTIMAL,2,8,104
6.196814599999925,0.005568799999309704,1,MIQP_OPTIMAL,2,8,104
6.263465399999404,0.005951400002231821,1,MIQP_OPTIMAL,2,8,104
6.330140199977905,0.005699100001947954,1,MIQP_OPTIMAL,2,8,104
6.396815499989316,0.005673599982401356,1,MIQP_OPTIMAL,2,8,104
6.463516499992693,0.006352899974444881,1,MIQP_OPTIMAL,2,8,104
6.5301435999863315,0.006456600007368252,1,MIQP_OPTIMAL,2,8,104
6.596798799990211,0.004896499973256141,1,MIQP_OPTIMAL,2,8,104
6.6635067999886815,0.005236299999523908,1,MIQP_OPTIMAL,2,8,104
6.730183899984695,0.005019900010665879,1,MIQP_OPTIMAL,2,8,104
6.796810799976811,0.0048574999964330345,1,MIQP_OPTIMAL,2,8,104
6.863487099995837,0.004314699996029958,1,MIQP_OPTIMAL,2,8,104
6.930221499991603,0.004177499999059364,1,MIQP_OPTIMAL,2,8,104
6.996826599992346,0.004057999991346151,1,MIQP_OPTIMAL,2,8,104
7.063423299987335,0.005119199980981648,1,MIQP_OPTIMAL,2,8,104
7.130120999994688,0.004707599990069866,1,MIQP_OPTIMAL,2,8,104
7.196849100000691,0.0044516000198200345,1,MIQP_OPTIMAL,2,8,104
7.263530500000343,0.005012200010241941,1,MIQP_OPTIMAL,2,8,104
7.330180599994492,0.004075200005900115,1,MIQP_OPTIMAL,2,8,104
7.396798999980092,0.005546100001083687,1,MIQP_OPTIMAL,2,8,104
7.463543799996842,0.0050749999936670065,1,MIQP_OPTIMAL,2,8,104
7.53009519999614,0.004637699981685728,1,MIQP_OPTIMAL,2,8,104
7.596798499987926,0.00465230000554584,1,MIQP_OPTIMAL,2,8,104
7.663452499982668,0.004124999977648258,1,MIQP_OPTIMAL,2,8,104
7.730144599976484,0.004143199999816716,1,MIQP_OPTIMAL,2,8,104
7.796794399997452,0.0048998000274877995,1,MIQP_OPTIMAL,2,8,104
7.8634517999889795,0.004493999993428588,1,MIQP_OPTIMAL,2,8,104
7.9301957999996375,0.004270999983418733,1,MIQP_OPTIMAL,2,8,104
7.996813199977623,0.005232600000454113,1,MIQP_OPTIMAL,2,8,104
8.06354529998498,0.006616300001041964,1,MIQP_OPTIMAL,2,8,104
8.130168399977265,0.004868399992119521,1,MIQP_OPTIMAL,2,8,104
8.196824799990281,0.004793600004632026,1,MIQP_OPTIMAL,2,8,104
8.263583199994173,0.0051494000072125345,1,MIQP_OPTIMAL,2,8,104
8.330191999993986,0.005561400001170114,1,MIQP_OPTIMAL,2,8,104
8.396844100003364,0.004806100012501702,1,MIQP_OPTIMAL,2,8,104
8.463499499979662,0.005283700011204928,1,MIQP_OPTIMAL,2,8,104
8.530173099978128,0.004368599998997524,1,MIQP_OPTIMAL,2,8,104
8.596848899993347,0.004675500007579103,1,MIQP_OPTIMAL,2,8,104
