t,delta_ref,ax_ref
3.00002284348011e-07,0.0,1.0
0.07032060000346974,0.0,0.0
0.1405333000002429,0.0,0.0
0.2102147999976296,0.0,0.0
0.28059849998680875,0.0,0.0
0.3501105000032112,0.0,0.0
0.42048889998113737,0.0,0.0
0.4901683999923989,0.0,0.0
0.5602346999803558,0.0,0.0
0.6305447999911848,0.0,0.0
0.7003494999953546,0.0,0.0
0.7703596999926958,0.0,0.0
0.8402806999802124,0.0,0.0
0.9104735000000801,0.0,0.0
0.9802527999854647,0.0,0.0
1.0504951999755576,0.0,0.0
1.1206188999931328,0.0,0.0
1.1906899999885354,0.0,0.0
1.2603467000008095,0.0,0.0
1.3302803999977186,0.0,0.0
1.4005106999829877,0.0,0.0
1.4701942999963649,0.0,0.0
1.563301699992735,0.0,0.0
1.6632855999923777,0.0,0.0
1.7632791999785695,0.0,0.0
1.8633191999979317,0.0,0.0
1.963339999987511,0.0,0.0
2.063310300000012,0.0,0.0
2.1633088999951724,0.0,0.0
2.2632749999756925,0.0,0.0
2.363294099981431,0.0,0.0
2.4966237999906298,0.0,0.0
2.5966668000037316,0.0,0.0
2.696658699976979,0.0,0.0
2.796663399989484,0.0,0.0
2.896645400003763,0.0,0.0
2.963274599984288,0.0,0.0
3.0299849000002723,0.0,0.0
3.130288999993354,0.0,0.0
3.1967041000025347,0.0,0.0
3.263404899975285,0.0,0.0
3.330075299978489,0.0,0.0
3.396743899997091,0.0,0.0
3.46339329998591,0.0,0.0
3.5302100999979302,0.0,0.0
3.596740699984366,0.0,0.0
3.6634001999918837,0.0,0.0
3.7301614999887533,0.0,0.0
3.79674319998594,0.0,0.0
3.8634531999996398,0.0,0.0
3.930107299995143,0.0,0.0
3.996728500002064,0.0,0.0
4.0967385999974795,0.0,0.0
4.1634092000022065,0.0,0.0
4.263372899993556,0.0,0.0
4.363421199988807,0.0,0.0
4.463505699997768,0.0,0.0
4.563459700002568,0.0,0.0
4.663462900003651,0.0,0.0
4.763463299983414,0.0,0.0
4.863550099980785,0.0,0.0
4.963383800000884,0.0,0.0
5.063447900000028,0.0,0.0
5.163448499981314,0.0,0.0
5.263405199977569,0.0,0.0
5.3634115000022575,0.0,0.0
5.463444199995138,0.0,0.0
5.563416499993764,0.0,0.0
5.663416800001869,0.0,0.0
5.730154899996705,0.0,0.0
5.796754799986957,0.0,0.0
5.863397599983728,0.0,0.0
5.930081400001654,0.0,0.0
5.996756999986246,0.0,0.0
6.063430899986997,0.0,0.0
6.130139199987752,0.0,0.0
6.196814599999925,0.0,0.0
6.263465399999404,0.0,0.0
6.330140199977905,0.0,0.0
6.396815499989316,0.0,0.0
6.463516499992693,0.0,0.0
6.5301435999863315,0.0,0.0
6.596798799990211,0.0,0.0
6.6635067999886815,0.0,0.0
6.730183899984695,0.0,0.0
6.796810799976811,0.0,0.0
6.863487099995837,0.0,0.0
6.930221499991603,0.0,0.0
6.996826599992346,0.0,0.0
7.063423299987335,0.0,0.0
7.130120999994688,0.0,0.0
7.196849100000691,0.0,0.0
7.263530500000343,0.0,0.0
7.330180599994492,0.0,0.0
7.396798999980092,0.0,0.0
7.463543799996842,0.0,0.0
7.53009519999614,0.0,0.0
7.596798499987926,0.0,0.0
7.663452499982668,0.0,0.0
7.730144599976484,0.0,0.0
7.796794399997452,0.0,0.0
7.8634517999889795,0.0,0.0
7.9301957999996375,0.0,0.0
7.996813199977623,0.0,0.0
8.06354529998498,0.0,0.0
8.130168399977265,0.0,0.0
8.196824799990281,0.0,0.0
8.263583199994173,0.0,0.0
8.330191999993986,0.0,0.0
8.396844100003364,0.0,0.0
8.463499499979662,0.0,-1.0
8.530173099978128,0.0,-1.0
8.596848899993347,0.0,-1.0
