t,delta_e,ax_e
3.00002284348011e-07,0.0,0.0
0.07032060000346974,0.0,1.0
0.1405333000002429,0.0,1.0
0.2102147999976296,0.0,1.0
0.28059849998680875,0.0,1.0
0.3501105000032112,0.0,1.0
0.42048889998113737,0.0,1.0
0.4901683999923989,0.0,1.0
0.5602346999803558,0.0,1.0
0.6305447999911848,0.0,0.9999999985480801
0.7003494999953546,0.0,1.0
0.7703596999926958,0.0,1.0
0.8402806999802124,0.0,1.0
0.9104735000000801,-1.6402235220564543e-08,1.0
0.9802527999854647,-1.353585781921532e-08,1.0
1.0504951999755576,-1.1514864955014306e-08,1.0
1.1206188999931328,-9.562702536434057e-09,1.0
1.1906899999885354,-8.248073158435839e-09,1.0
1.2603467000008095,-7.1690810458942565e-09,1.0
1.3302803999977186,-6.23805787865672e-09,1.0
1.4005106999829877,-0.013237196793129152,1.0
1.4701942999963649,-0.023322606723849587,0.7256517577545281
1.563301699992735,-0.02923126403017509,0.34971754883446277
1.6632855999923777,-0.027121772533980827,-0.00528037886466498
1.7632791999785695,-0.021222422294331765,-0.31771549455382203
1.8633191999979317,-0.03859270459876707,-0.7349449404317399
1.963339999987511,-0.10067421372268531,-0.9999999999999999
2.063310300000012,-0.18927402117221676,-1.0
2.1633088999951724,-0.281749336588901,-1.0
2.2632749999756925,-0.3423242129948998,-0.9999999999999999
2.363294099981431,-0.2550853246923683,-1.0
2.4966237999906298,-0.17697289612878028,0.022889670047451016
2.5966668000037316,-0.01871237746518009,0.34767698311079814
2.696658699976979,0.24500607737744956,0.0960675096917567
2.796663399989484,0.5236,-1.0
2.896645400003763,0.5235999999999998,-0.9999999999999998
2.963274599984288,0.5236,-1.0
3.0299849000002723,0.5236,0.03107743233287108
3.130288999993354,0.5236,1.0
3.1967041000025347,0.5236,1.0
3.263404899975285,0.5235999999999998,1.0
3.330075299978489,0.5236,1.0
3.396743899997091,0.28656825629773286,1.0
3.46339329998591,-0.10786432568592046,1.0
3.5302100999979302,-0.20175067985521966,1.0
3.596740699984366,-0.14453763075456608,1.0
3.6634001999918837,-0.09816228527202993,1.0
3.7301614999887533,-0.08378209752123168,1.0
3.79674319998594,-0.08309499999221155,0.6149138691889247
3.8634531999996398,-0.0842290013014665,0.22465879915662376
3.930107299995143,-0.08388126054802258,-0.10516925217585044
3.996728500002064,-0.08007374680118687,-0.3638059545204162
4.0967385999974795,-0.057794215483100375,-0.6562514005902303
4.1634092000022065,-0.04597511637772594,-0.8108266187102303
4.263372899993556,-0.033736852918302696,-0.9603822774735911
4.363421199988807,-0.02444963637126227,-1.0
4.463505699997768,0.010388211184580599,-0.9999999999999999
4.563459700002568,0.07167097510231166,-1.0
4.663462900003651,0.14068994927625575,-1.0
4.763463299983414,0.21070207736523525,-1.0
4.863550099980785,0.2745857244136672,-1.0
4.963383800000884,0.28500595409916285,-1.0
5.063447900000028,0.16846123551953654,-0.9999999999999999
5.163448499981314,0.18691156452686547,-0.4601668908364216
5.263405199977569,0.30811839231819116,1.0
5.3634115000022575,0.11004835036334985,0.5057646475272375
5.463444199995138,-0.34055840760265293,0.14573327985579232
5.563416499993764,-0.5221821716065662,-1.0
5.663416800001869,-0.5235999999999998,-1.0
5.730154899996705,-0.5236,-0.9999999999999997
5.796754799986957,-0.5235999999999998,-1.0
5.863397599983728,-0.5236,0.5153817982240874
5.930081400001654,-0.5236,1.0
5.996756999986246,-0.5236,0.9999999999999999
6.063430899986997,-0.5235999999999998,1.0
6.130139199987752,-0.5236,1.0
6.196814599999925,-0.5236,1.0
6.263465399999404,-0.46012642180896113,1.0
6.330140199977905,0.17877506854960487,1.0
6.396815499989316,0.3255473670943622,1.0
6.463516499992693,0.15144960637652352,1.0
6.5301435999863315,0.04530425590620701,1.0
6.596798799990211,0.04385620548476748,1.0
6.6635067999886815,0.06859163457904556,1.0
6.730183899984695,0.08372603795416504,0.7475050598828017
6.796810799976811,0.0873139381960363,0.3417128167451836
6.863487099995837,0.0854878075402031,-0.0048746959537679935
6.930221499991603,0.08226680796681753,-0.27269742626859095
6.996826599992346,0.07882085738795076,-0.45820317723189474
7.063423299987335,0.07514816878515768,-0.5678022989901873
7.130120999994688,0.07115659731545886,-0.607711953953443
7.196849100000691,0.06665952270404542,-0.5912164025224615
7.263530500000343,0.06149537155374542,-0.5340701054828804
7.330180599994492,0.05550867269961826,-0.45881300226410693
7.396798999980092,0.04848111133719729,-0.4099945692231412
7.463543799996842,0.04096783644299075,-0.3989514068149175
7.53009519999614,0.03357882166786967,-0.4343430853736489
7.596798499987926,0.026845752981629386,-0.5201352878474229
7.663452499982668,0.02112357251499513,-0.652804441166409
7.730144599976484,0.01654064671033719,-0.8232407595418043
7.796794399997452,0.012820982484864987,-1.0
7.8634517999889795,0.009600727230401278,-1.0
7.9301957999996375,0.007499619358953002,-1.0
7.996813199977623,0.006139213829188482,-1.0
8.06354529998498,0.005248365000499229,-1.0
8.130168399977265,0.004682636313295811,-1.0
8.196824799990281,0.004349983858448708,-0.9999999999999999
8.263583199994173,0.004175609533003848,-1.0
8.330191999993986,0.004196462351167047,-1.0
8.396844100003364,0.004366793665527214,-1.0
8.463499499979662,0.004772994489611008,0.0
8.530173099978128,0.006193995168996574,0.0
8.596848899993347,0.010476784442076365,0.0
