t,X_e,Y_e,Psi_e,vx_e
5.00003807246685e-07,1.6543612251060553e-24,3.149732918927839e-08,0.0,-9.936024165825452e-07
0.0733020999468863,0.0,3.149732918927839e-08,0.0,-0.7501085808944887
0.17325150000397116,0.0,3.149732918927839e-08,0.0,-0.7438576952243832
0.27329839998856187,0.0,3.149732918927839e-08,0.0,-0.7341848145267595
0.3742801999906078,0.0,3.149732918927839e-08,0.0,-0.7219009323032796
0.47335169999860227,0.0,3.149732918927839e-08,0.0,-0.7077045953657898
0.5733921999344602,0.0,3.149732918927839e-08,0.0,-0.6920685506194788
0.6735233999788761,0.0,3.149732918927839e-08,0.0,-0.67542839238984
0.7735668999375775,0.0,3.149732918927839e-08,0.0,-0.6577581839871042
0.8734879000112414,0.0,3.149732918927839e-08,0.0,-0.6395669843168775
0.9734334000386298,0.0,3.149732918927839e-08,0.0,-0.6209858728470262
1.073590400046669,0.0,3.149732918927839e-08,0.0,-0.6020041373968981
1.173384299967438,0.0,3.149732918927839e-08,0.0,-0.5828067595510891
1.2734194999793544,0.0,3.149732918927839e-08,0.0,-0.5633055312073432
1.3735970000270754,0.0,3.149732918927839e-08,0.0,-0.543817723149254
1.506809400045313,0.0,3.149732918927839e-08,0.0,-0.5246443132751792
1.607741600018926,0.0,3.149732918927839e-08,0.0,-0.5046365789964887
1.7403092000167817,0.0,3.149732918927839e-08,0.0,-0.48514155566073935
1.8806602000258863,0.0,3.149732918927839e-08,0.0,-0.46553503842646615
1.9743995999451727,0.0,3.149732918927839e-08,0.0,-0.44546673203320764
2.0734514000359923,0.0,3.149732918927839e-08,0.0,-0.4252694638918468
2.173318399931304,0.0,3.149732918927839e-08,0.0,-0.40523178168236734
2.273275699932128,0.0,3.149732918927839e-08,0.0,-0.3852627080254268
2.3739254999672994,0.0,3.149732918927839e-08,0.0,-0.3651892002163606
2.4732985999435186,0.0,3.149732918927839e-08,0.0,-0.3455577030210377
2.574041199986823,0.0,3.149732918927839e-08,0.0,-0.3251060046318777
2.673683200031519,0.0,3.149732918927839e-08,0.0,-0.30508133365681844
2.7733305000001565,0.0,3.149732918927839e-08,0.0,-0.28507317011807465
2.8734089999925345,0.0,1.938626155606471e-05,0.0010412958217784762,-0.2656078212412901
2.9732931000180542,0.0,0.0002129938657162711,0.005056276451796293,-0.24622030333095768
3.1065960000269115,0.0,0.000990824424661696,0.013484647497534752,-0.22793678304087206
3.2066807999508455,0.0,0.002130016451701522,0.02249252423644066,-0.21012374376668252
