time,reference_index,X,Y,psi,vx,X_ref,Y_ref,psi_ref,vx_ref,position_error,yaw_error,speed_error,vx_cmd,delta_cmd,ax_cmd
5.00003807246685e-07,0,9.53674295089968e-09,3.149732918927839e-08,-0.0,0.0,9.536742950899678e-09,0.0,0.0,9.936024165825452e-07,3.149732918927839e-08,0.0,-9.936024165825452e-07,0.02,0.0,1.0
0.0733020999468863,3,0.0006666774861514568,3.149732918927839e-08,-0.0,0.001667767263417293,0.0006666774861514568,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.7501085808944887,0.04,0.0,1.0
0.17325150000397116,7,0.0033333550672978163,3.149732918927839e-08,-0.0,0.007918652933522844,0.0033333550672978163,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.7438576952243832,0.06,0.0,1.0
0.27329839998856187,9,0.008000031113624573,3.149732918927839e-08,-0.0,0.01759153363114657,0.008000031113624573,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.7341848145267595,0.08,0.0,1.0
0.3742801999906078,12,0.014666711911559105,3.149732918927839e-08,-0.0,0.029875415854626473,0.014666711911559105,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.7219009323032796,0.1,0.0,1.0
0.47335169999860227,15,0.023333394899964333,3.149732918927839e-08,-0.0,0.0440717527921163,0.023333394899964333,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.7077045953657898,0.12000000000000001,0.0,1.0
0.5733921999344602,17,0.03400009498000145,3.149732918927839e-08,-0.0,0.0597077975384273,0.03400009498000145,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.6920685506194788,0.14,0.0,1.0
0.6735233999788761,20,0.04666680097579956,3.149732918927839e-08,-0.0,0.07634795576806608,0.04666680097579956,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.67542839238984,0.16,0.0,1.0
0.7735668999375775,22,0.06133349612355232,3.149732918927839e-08,-0.0,0.09401816417080193,0.06133349612355232,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.6577581839871042,0.18,0.0,1.0
0.8734879000112414,25,0.07800021767616272,3.149732918927839e-08,-0.0,0.1122093638410285,0.07800021767616272,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.6395669843168775,0.19999999999999998,0.0,1.0
0.9734334000386298,27,0.09666695445775986,3.149732918927839e-08,-0.0,0.13079047531087984,0.09666695445775986,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.6209858728470262,0.21999999999999997,0.0,1.0
1.073590400046669,29,0.11733367294073105,3.149732918927839e-08,-0.0,0.149772210761008,0.11733367294073105,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.6020041373968981,0.23999999999999996,0.0,1.0
1.173384299967438,32,0.14000040292739868,3.149732918927839e-08,-0.0,0.16896958860681704,0.14000040292739868,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.5828067595510891,0.25999999999999995,0.0,1.0
1.2734194999793544,34,0.16466712951660156,3.149732918927839e-08,-0.0,0.18847081695056295,0.16466712951660156,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.5633055312073432,0.27999999999999997,0.0,1.0
1.3735970000270754,37,0.1913338452577591,3.149732918927839e-08,-0.0,0.20795862500865206,0.1913338452577591,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.543817723149254,0.3,0.0,1.0
1.506809400045313,40,0.2293340116739273,3.149732918927839e-08,-0.0,0.22713203488272685,0.2293340116739273,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.5246443132751792,0.32,0.0,1.0
1.607741600018926,42,0.2600008249282837,3.149732918927839e-08,-0.0,0.24713976916141733,0.2600008249282837,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.5046365789964887,0.33999999997163527,0.0,0.9999999985817629
1.7403092000167817,45,0.3033342957496643,3.149732918927839e-08,-0.0,0.2666347924971667,0.3033342957496643,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.48514155566073935,0.3599999999716353,0.0,1.0
1.8806602000258863,49,0.34933435916900635,3.149732918927839e-08,-0.0,0.2862413097314399,0.34933435916900635,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.46553503842646615,0.3799999999716353,0.0,1.0
1.9743995999451727,51,0.3860011696815491,3.149732918927839e-08,-0.0,0.3063096161246984,0.3860011696815491,0.0,0.0,0.7517763481579061,3.149732918927839e-08,0.0,-0.44546673203320764,0.3999999999716353,0.0,1.0
