time,reference_index,X_ref,Y_ref,psi_ref,vx_ref,delta_ref,ax_ref
0.05606209998950362,0,0.0,0.0,3.14,0.0,0.04652304017383693,0.26769249575484644
0.12616369989700615,7,-0.0008063846942243096,8.766155582721103e-07,3.1406697796616245,0.025662819795136668,0.04652304017383693,0.47474504043942534
0.19662780000362545,14,-0.003920176431363406,3.1386007287690212e-06,3.1409841457008247,0.0653646356997134,0.012974321875503588,0.6515552740530008
0.26657829992473125,21,-0.010209138522253932,6.294175521807805e-06,3.14116632260395,0.11586216904959677,0.004559264593688965,0.7838109866162126
0.3364188999403268,28,-0.02032271688717663,9.927561145798702e-06,3.1412849175444717,0.1741610678234441,0.0020634987027558656,0.8750683121750686
0.4062402999261394,35,-0.034709465269099044,1.3693961060201218e-05,3.141368024025331,0.2375159103218422,0.0010920230507009416,0.9288834065102574
0.4765256999526173,42,-0.05363447044691836,1.731454202848024e-05,3.1414292733901217,0.30343020600733217,0.000643226884297179,0.9488124315860063
0.5461166999302804,49,-0.07719677744870411,2.057141517106216e-05,3.141476073438048,0.3696563957700895,0.00040957246890719815,0.9384115515889242
0.6163681999314576,56,-0.10534681476494102,2.330261701829098e-05,3.141512789829477,0.43419585203055133,0.0002766009693253768,0.9012369316402236
0.6861713000107557,63,-0.13790381956177167,2.5397090563384406e-05,3.141542155560254,0.49529887878491946,0.00019546797555019543,0.8408447373016443
0.7562268999172375,70,-0.17457326289423925,2.6789666315389966e-05,3.141565961769686,0.5514647116275072,0.00014306048610026123,0.7607911343616074
0.8263538999017328,77,-0.21496427491953055,2.7456043352141178e-05,3.141585423561946,0.6014415177626217,0.0001075112682281254,0.6646322887336957
0.8960447999415919,84,-0.2586070701102185,2.7407770373213572e-05,3.141601385875006,0.6442263960113092,8.23035493310991e-05,0.55592436640476
0.9661360000027344,91,-0.3049703724675049,2.668722675288083e-05,3.1416144450662866,0.6790653768154056,6.364460250788519e-05,0.43822353340694775
1.0362892999546602,98,-0.35347884073446334,2.5362603593070957e-05,3.1416250235191305,0.7054534222400993,4.920524808841048e-05,0.31508595580183396
1.1065253999549896,105,-0.40353049360928217,2.3522884776322296e-05,3.141633416825739,0.7231344259756335,3.747535171082712e-05,0.19006779967099163
1.1761242999928072,112,-0.4545141349585065,2.1272828018739734e-05,3.1416398244059347,0.7321012133384952,2.7415509893330457e-05,0.06672523111048889
1.246384699945338,119,-0.5058267790302817,1.8727945922950742e-05,3.141644370016107,0.732595541272284,1.8259775705884223e-05,-0.05138558377304747
1.3164879999822006,126,-0.5568910756675962,1.600948703106151e-05,3.141647116423314,0.7251080983483524,9.401191310812293e-06,-0.16070847886522444
1.3866439999546856,133,-0.6071727355215238,1.3239416877613077e-05,3.1416480776676465,0.7103785047662503,3.2956441038891783e-07,-0.2576872880468386
1.456331399967894,140,-0.6561979552644664,1.0535399042537418e-05,3.141647232471454,0.6893953123539209,-9.386600627697178e-06,-0.3387658451981679
1.526081299991347,147,-0.7035708428033973,8.00577620411358e-06,3.1416445434136975,0.6633960045675077,-2.006364237130228e-05,-0.4003879842063398
1.5961587999481708,154,-0.7489908424931037,5.744551191923743e-06,3.141639988454014,0.6338669964904761,-3.1782043000498556e-05,-0.43899753897779803
1.6662466999841854,161,-0.7922701603494291,3.8263680398094e-06,3.1416336138566736,0.6025436348315842,-4.413500902991779e-05,-0.4510383434593699
1.7363977999193594,168,-0.8333511892625167,2.301493038827426e-06,3.141625618742753,0.571410197921045,-5.5809546042166595e-05,-0.4329542316687629
1.8060915999813005,175,-0.8723239342100517,1.1907957902061874e-06,3.141616476406255,0.5426998957043027,-6.406568427923561e-05,-0.3811890377303051
