time,reference_index,v1,v2,delta_command,acceleration_command,solver_status,solver_success,solve_time
0.05606209998950362,0,-0.6183728384304324,9.379365135940297e-05,0.22535249988339104,0.6183722034269488,OPTIMAL,1,0.002925100037828088
0.12616369989700615,7,-0.7427971111773706,0.00010085015618308011,-0.031420762320498744,0.7427971073783667,OPTIMAL,1,0.001445900066755712
0.19662780000362545,14,-0.8410831574831822,0.00019577653678668107,-0.2040259237673893,0.8410823641552169,OPTIMAL,1,0.0013054999290034175
0.26657829992473125,21,-0.9111185587994761,-0.0005208581762981106,0.35748291900280976,0.9111066131359472,OPTIMAL,1,0.0013076000614091754
0.3364188999403268,28,-0.9523804163256767,0.0005887494696891868,-0.11958132880599485,0.9523737925731415,OPTIMAL,1,0.0012718000216409564
0.4062402999261394,35,-0.9647844435388665,0.00424708157246519,-0.22130074440789704,0.9646870282679839,OPTIMAL,1,0.0013632000191137195
0.4765256999526173,42,-0.9484873180460697,-0.003029868654931453,0.08970912333787355,0.94843073906254,OPTIMAL,1,0.0013715000823140144
0.5461166999302804,49,-0.9065922440404078,-0.010131262861140109,0.11636882031310294,0.9063402788506312,OPTIMAL,1,0.0012894999235868454
0.6163681999314576,56,-0.8416035075914805,-0.0013698770546247145,0.002524333161212469,0.8416042525688944,OPTIMAL,1,0.0011335000162944198
0.6861713000107557,63,-0.754929321023112,0.008695608454049066,-0.03636720543717882,0.7548002807386521,OPTIMAL,1,0.0013214999344199896
0.7562268999172375,70,-0.5599902109156867,0.004773818639273194,-0.010656270011306392,0.5599714422448759,OPTIMAL,1,0.0013601999962702394
0.8263538999017328,77,-0.44907598327023546,-0.00048211769860454157,0.0014052007788053287,0.44907483635167067,OPTIMAL,1,0.0016105000395327806
0.8960447999415919,84,-0.336441022276169,-0.0024064537867184805,0.0032751693563577077,0.3364342868039642,OPTIMAL,1,0.0010902999201789498
0.9661360000027344,91,-0.22345176662493116,-0.0023443872571867817,0.002382382775767182,0.22344700293549463,OPTIMAL,1,0.0015287999995052814
