time,reference_index,solver_status,solver_success,solve_time
0.05606209998950362,0,OPTIMAL,1,0.002925100037828088
0.12616369989700615,7,OPTIMAL,1,0.001445900066755712
0.19662780000362545,14,OPTIMAL,1,0.0013054999290034175
0.26657829992473125,21,OPTIMAL,1,0.0013076000614091754
0.3364188999403268,28,OPTIMAL,1,0.0012718000216409564
0.4062402999261394,35,OPTIMAL,1,0.0013632000191137195
0.4765256999526173,42,OPTIMAL,1,0.0013715000823140144
0.5461166999302804,49,OPTIMAL,1,0.0012894999235868454
0.6163681999314576,56,OPTIMAL,1,0.0011335000162944198
0.6861713000107557,63,OPTIMAL,1,0.0013214999344199896
0.7562268999172375,70,OPTIMAL,1,0.0013601999962702394
0.8263538999017328,77,OPTIMAL,1,0.0016105000395327806
0.8960447999415919,84,OPTIMAL,1,0.0010902999201789498
0.9661360000027344,91,OPTIMAL,1,0.0015287999995052814
1.0362892999546602,98,OPTIMAL,1,0.0012585000367835164
1.1065253999549896,105,OPTIMAL,1,0.0014145000604912639
1.1761242999928072,112,OPTIMAL,1,0.001196000026538968
1.246384699945338,119,OPTIMAL,1,0.0010842999909073114
1.3164879999822006,126,OPTIMAL,1,0.0016488999826833606
1.3866439999546856,133,OPTIMAL,1,0.001142699969932437
1.456331399967894,140,OPTIMAL,1,0.0023137000389397144
1.526081299991347,147,OPTIMAL,1,0.0011338999029248953
1.5961587999481708,154,OPTIMAL,1,0.0017740000039339066
1.6662466999841854,161,OPTIMAL,1,0.0012692000018432736
1.7363977999193594,168,OPTIMAL,1,0.0011798000195994973
1.8060915999813005,175,OPTIMAL,1,0.001740399980917573
1.876177700003609,182,OPTIMAL,1,0.0011345000239089131
1.9464705999707803,189,OPTIMAL,1,0.0010957000777125359
2.0167303999187425,196,OPTIMAL,1,0.004954400006681681
2.086768899927847,203,OPTIMAL,1,0.004594000056385994
2.1563491999404505,210,OPTIMAL,1,0.0010367000941187143
2.2263184000039473,217,OPTIMAL,1,0.001143899979069829
2.2962262999499217,224,OPTIMAL,1,0.001368100056424737
2.366338999941945,231,OPTIMAL,1,0.0011615999974310398
2.436204299912788,238,OPTIMAL,1,0.0011329998960718513
2.5068245999282226,245,OPTIMAL,1,0.0012458999408409
2.576697599957697,252,OPTIMAL,1,0.0010522999800741673
2.6463007999118418,259,OPTIMAL,1,0.0010393999982625246
2.716168599901721,266,OPTIMAL,1,0.0011379000497981906
2.78644129994791,273,OPTIMAL,1,0.0011449999874457717
2.856272100005299,280,OPTIMAL,1,0.0011817999184131622
2.926389299915172,287,OPTIMAL,1,0.0011686000507324934
2.996290599927306,294,OPTIMAL,1,0.001069999998435378
3.066835099947639,301,OPTIMAL,1,0.0012013999512419105
3.1365609999047592,308,OPTIMAL,1,0.0011617999989539385
3.2062221999512985,315,OPTIMAL,1,0.0011615999974310398
3.2761042999336496,322,OPTIMAL,1,0.0011499000247567892
3.3464831999735907,329,OPTIMAL,1,0.001145699992775917
3.4164407999487594,336,OPTIMAL,1,0.0013917000032961369
3.486488899914548,343,OPTIMAL,1,0.0014527000021189451
3.556460899999365,350,OPTIMAL,1,0.0010786999482661486
3.6264326999662444,357,OPTIMAL,1,0.0012466000625863671
3.696516999974847,364,OPTIMAL,1,0.00120449997484684
3.766500699915923,371,OPTIMAL,1,0.0010824999772012234
3.836177399964072,378,OPTIMAL,1,0.0011559000704437494
3.906545199919492,385,OPTIMAL,1,0.0011710000690072775
3.976567499921657,392,OPTIMAL,1,0.001128499978221953
4.046191799920052,399,OPTIMAL,1,0.0011528999311849475
4.116371199954301,406,OPTIMAL,1,0.0009908999782055616
4.18625589995645,413,OPTIMAL,1,0.0011918999953195453
4.256318099913187,420,OPTIMAL,1,0.0011715999571606517
4.326464299927466,427,OPTIMAL,1,0.001114899991080165
4.396053000004031,434,OPTIMAL,1,0.001150399912148714
4.466186499921605,441,OPTIMAL,1,0.0011144999880343676
4.536655099946074,448,OPTIMAL,1,0.001118500018492341
4.606112899957225,455,OPTIMAL,1,0.0011140999849885702
4.676312199910171,462,OPTIMAL,1,0.0011033000191673636
4.746158599969931,469,OPTIMAL,1,0.0010145999258384109
4.816114699933678,476,OPTIMAL,1,0.0012422000290825963
4.886252299998887,483,OPTIMAL,1,0.0012378999963402748
4.956123799900524,490,OPTIMAL,1,0.0010498999617993832
5.026415299973451,497,OPTIMAL,1,0.0011334000155329704
5.0960126999998465,504,OPTIMAL,1,0.0012252000160515308
5.16624079993926,511,OPTIMAL,1,0.0013543999521061778
5.236679799971171,518,OPTIMAL,1,0.001532199908979237
5.30654349992983,525,OPTIMAL,1,0.001762000028975308
5.376476799952798,532,OPTIMAL,1,0.001167000038549304
5.446830799919553,539,OPTIMAL,1,0.00405789993237704
5.516451900009997,546,OPTIMAL,1,0.0012210001004859805
5.586245899903588,553,OPTIMAL,1,0.00118090002797544
5.656252099899575,560,OPTIMAL,1,0.0011012000031769276
5.72640079993289,567,OPTIMAL,1,0.0014548000181093812
5.796504999976605,574,OPTIMAL,1,0.0011544999433681369
5.866198199917562,581,OPTIMAL,1,0.001204799977131188
5.936392199946567,588,OPTIMAL,1,0.001644600066356361
6.006559200002812,595,OPTIMAL,1,0.0014255000278353691
6.076193099957891,602,OPTIMAL,1,0.0010377999860793352
6.146172599983402,609,OPTIMAL,1,0.0014125999296084046
6.216865099966526,616,OPTIMAL,1,0.0012576000299304724
6.2861835999647155,623,OPTIMAL,1,0.0014036999782547355
6.356077899923548,630,OPTIMAL,1,0.0012904000468552113
6.42627860000357,637,OPTIMAL,1,0.001142999972216785
6.4961591999745,644,OPTIMAL,1,0.0011822000378742814
6.566653399961069,651,OPTIMAL,1,0.0014713999116793275
6.63625909993425,658,OPTIMAL,1,0.0010801999596878886
6.706184799899347,665,OPTIMAL,1,0.0011297999881207943
6.776484499918297,672,OPTIMAL,1,0.0014884000411257148
6.84645760001149,679,OPTIMAL,1,0.0011376000475138426
6.916221599909477,686,OPTIMAL,1,0.0009892999660223722
6.986838899902068,693,OPTIMAL,1,0.001560900011099875
7.0563523999881,700,OPTIMAL,1,0.0011001999955624342
7.126387599972077,707,OPTIMAL,1,0.001119599910452962
7.196374199935235,714,OPTIMAL,1,0.0011422999668866396
7.2665422999998555,721,OPTIMAL,1,0.0013498999178409576
7.336569599923678,728,OPTIMAL,1,0.0011443999828770757
7.406626599957235,735,OPTIMAL,1,0.0011669000377878547
7.476454199990258,742,OPTIMAL,1,0.0013101999647915363
7.546188799897209,749,OPTIMAL,1,0.0011407999554648995
7.616291599930264,756,OPTIMAL,1,0.001150400028564036
7.6865978999994695,763,OPTIMAL,1,0.0011218000436201692
7.756067399983294,770,OPTIMAL,1,0.0013205999275669456
7.826212999993004,777,OPTIMAL,1,0.0014525000005960464
7.896260299952701,784,OPTIMAL,1,0.0013059999328106642
7.966706199920736,791,OPTIMAL,1,0.0018535999115556479
8.03642439993564,798,OPTIMAL,1,0.0019577000057324767
8.106423999997787,805,OPTIMAL,1,0.001406199997290969
8.17652629991062,812,OPTIMAL,1,0.001293300068937242
8.246212999918498,819,OPTIMAL,1,0.0015121999895200133
8.316684299963526,826,OPTIMAL,1,0.001325199962593615
8.386260699946433,833,OPTIMAL,1,0.001337599940598011
8.456400799914263,840,OPTIMAL,1,0.001401199959218502
8.526595399947837,847,OPTIMAL,1,0.0014833000022917986
8.59609729994554,854,OPTIMAL,1,0.0014088000170886517
8.666655999957584,861,OPTIMAL,1,0.002041199943050742
8.736459599924274,868,OPTIMAL,1,0.0012962999753654003
8.8060656999005,875,OPTIMAL,1,0.001383500057272613
8.876383199938573,882,OPTIMAL,1,0.0013273999793455005
8.946453799959272,889,OPTIMAL,1,0.0016132999444380403
9.016419899999164,896,OPTIMAL,1,0.00118240003939718
9.086129099945538,903,OPTIMAL,1,0.001056700013577938
9.156144500011578,910,OPTIMAL,1,0.0014940999681130052
9.226539099938236,917,OPTIMAL,1,0.001232899958267808
9.296104499953799,924,OPTIMAL,1,0.0011615999974310398
9.36615759995766,931,OPTIMAL,1,0.0013882999774068594
9.436478199902922,938,OPTIMAL,1,0.0011635000118985772
9.506451299996115,945,OPTIMAL,1,0.001309799961745739
9.576868999982253,952,OPTIMAL,1,0.0011220000451430678
9.646483499906026,959,OPTIMAL,1,0.0012604000512510538
9.716177999973297,966,OPTIMAL,1,0.0011390000581741333
9.786586900008842,973,OPTIMAL,1,0.0012039999710395932
9.856556699960493,980,OPTIMAL,1,0.0014669999945908785
9.92656289995648,987,OPTIMAL,1,0.0010893000289797783
9.996547799906693,994,OPTIMAL,1,0.001181800034828484
10.066196499974467,1001,OPTIMAL,1,0.0011486000148579478
10.136162899900228,1008,OPTIMAL,1,0.0011640999000519514
10.206419599941,1015,OPTIMAL,1,0.0011136999819427729
10.27667059993837,1022,OPTIMAL,1,0.0011529000476002693
10.346231999923475,1029,OPTIMAL,1,0.0011674999259412289
10.416521499981172,1036,OPTIMAL,1,0.0012244000099599361
10.48625129996799,1043,OPTIMAL,1,0.0012217999901622534
10.556867399951443,1050,OPTIMAL,1,0.001246799947693944
10.626052999985404,1057,OPTIMAL,1,0.0013092000735923648
10.696657199994661,1064,OPTIMAL,1,0.0013173000188544393
10.766406000009738,1071,OPTIMAL,1,0.001183499931357801
10.836342299939133,1078,OPTIMAL,1,0.001164900022558868
10.906322799972259,1085,OPTIMAL,1,0.0011289999820291996
10.976467399974354,1092,OPTIMAL,1,0.0012261000229045749
11.046926399925724,1099,OPTIMAL,1,0.0010541999945417047
11.116513699991629,1106,OPTIMAL,1,0.0011995999375358224
11.186202599899843,1113,OPTIMAL,1,0.001770600094459951
11.256100200000219,1120,OPTIMAL,1,0.0011485000140964985
11.326873199897818,1127,OPTIMAL,1,0.0012117000296711922
11.396446399972774,1134,OPTIMAL,1,0.0011740000918507576
11.466552599915303,1141,OPTIMAL,1,0.0011511000338941813
11.536462499992922,1148,OPTIMAL,1,0.0013898999895900488
11.606208099983633,1155,OPTIMAL,1,0.001214300049468875
11.676228599972092,1162,OPTIMAL,1,0.001166400033980608
11.74637129995972,1169,OPTIMAL,1,0.0024234000593423843
11.816628300002776,1176,OPTIMAL,1,0.0011021998943760991
11.8867233999772,1183,OPTIMAL,1,0.005224299966357648
11.956260700011626,1190,OPTIMAL,1,0.001249799970537424
12.026640999945812,1197,OPTIMAL,1,0.001240300014615059
12.096243800013326,1204,OPTIMAL,1,0.0011202999157831073
12.166466799913906,1211,OPTIMAL,1,0.0011600999860092998
12.23641409992706,1218,OPTIMAL,1,0.0011461999965831637
12.306483099935576,1225,OPTIMAL,1,0.001105999923311174
12.376695099985227,1232,OPTIMAL,1,0.0011422999668866396
12.446416099905036,1239,OPTIMAL,1,0.0010724000167101622
12.51616949995514,1246,OPTIMAL,1,0.0009322999976575375
12.586268999963067,1253,OPTIMAL,1,0.0009476999985054135
12.656734199961647,1260,OPTIMAL,1,0.0013853999553248286
12.726276599918492,1267,OPTIMAL,1,0.00120749999769032
12.796239199931733,1274,OPTIMAL,1,0.0011404999531805515
12.866128199966624,1281,OPTIMAL,1,0.0012546000070869923
12.936129199923016,1288,OPTIMAL,1,0.0011634000111371279
13.006238200003281,1295,OPTIMAL,1,0.0011523000430315733
13.076766399899498,1302,OPTIMAL,1,0.0010947000700980425
13.146731999935582,1309,OPTIMAL,1,0.00321939995046705
13.216501099988818,1316,OPTIMAL,1,0.0011437999783083797
13.286155499983579,1323,OPTIMAL,1,0.001262800069525838
13.356605699984357,1330,OPTIMAL,1,0.001168999937362969
