t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
2.000000000000000111e-01,0.000000000000000000e+00,-8.332040460704620913e-03,-1.402370071828427868e-04,3.162008012708596105e+00,1.006201675789284433e-01,1.025461693207374292e-01,2.999999999999999889e-01,-1.005991997239491093e-01,-2.054054164972470183e-03,-7.427900342532185451e-01,-1.921732468261412932e-02,4.000277417108210609e-01
2.200000000000000011e-01,0.000000000000000000e+00,-1.049523733442751794e-02,-1.852576726671132051e-04,3.162760925135189360e+00,1.158773754492438274e-01,7.795745496543157738e-02,2.999999999999999889e-01,-1.158514143406828012e-01,-2.452740562809405545e-03,-7.820685958730426712e-01,-2.063580184221704833e-02,3.036570072581481483e-01
2.399999999999999911e-01,0.000000000000000000e+00,-1.297118963410744640e-02,-2.385295795896520080e-04,3.163420717679189309e+00,1.318989624116058690e-01,6.021013469169517185e-02,2.999999999999999889e-01,-1.318675410804322767e-01,-2.878870378937442142e-03,-8.191867857270833664e-01,-2.196190004326344439e-02,2.343362468122302533e-01
2.600000000000000089e-01,0.000000000000000000e+00,-1.577474574352046716e-02,-3.005832139371853416e-04,3.164001449713569780e+00,1.486420239006366328e-01,4.713979968879387916e-02,2.999999999999999889e-01,-1.486047048582190833e-01,-3.330610046077797735e-03,-8.541778388490649521e-01,-2.319702047498782560e-02,1.833809452175852728e-01
2.800000000000000266e-01,0.000000000000000000e+00,-1.891990319174983309e-02,-3.719126705887108213e-04,3.164514418837279131e+00,1.660643190842573391e-01,3.733900503653130726e-02,2.999999999999999889e-01,-1.660206952897393118e-01,-3.806154020736372216e-03,-8.870749902727129710e-01,-2.434256432662469313e-02,1.452142562319710395e-01
2.999999999999999889e-01,0.000000000000000000e+00,-2.241982194719946767e-02,-4.529762137911911928e-04,3.164968804582252826e+00,1.841242712422856143e-01,2.987086880359407157e-02,2.999999999999999889e-01,-1.840739666913634998e-01,-4.303724783203763220e-03,-9.179114750317518556e-01,-2.539993278740856550e-02,1.161506560041127289e-01
3.200000000000000067e-01,0.000000000000000000e+00,-2.628683771160744698e-02,-5.441968376352477764e-04,3.165372139989941047e+00,2.027809680445237239e-01,2.409784478870291916e-02,2.999999999999999889e-01,-2.027236380801368254e-01,-4.821572837555259186e-03,-9.467205281599070377e-01,-2.637052704657394733e-02,9.369294639897662869e-02
3.400000000000000244e-01,0.000000000000000000e+00,-3.053247521405947837e-02,-6.459628265308545343e-04,3.165730662458743794e+00,2.219941617583960913e-01,1.957719619797839913e-02,2.999999999999999889e-01,-2.219294931737788301e-01,-5.357976711650831551e-03,-9.735353846909032827e-01,-2.725574829335534674e-02,7.611155559450132058e-02
3.599999999999999867e-01,0.000000000000000000e+00,-3.516746150500241197e-02,-7.586283156830312714e-04,3.166049578439520396e+00,2.417242694063578834e-01,1.599573298700114957e-02,2.999999999999999889e-01,-2.416519803906833630e-01,-5.911242957135140821e-03,-9.983892796584652451e-01,-2.805699771698725448e-02,6.218502378195806674e-02
3.800000000000000044e-01,0.000000000000000000e+00,-4.020173925025775225e-02,-8.825138515675395997e-04,3.166333265683523912e+00,2.619323728869390466e-01,1.312815046379909971e-02,2.999999999999999889e-01,-2.618522128499192747e-01,-6.479706149437553485e-03,-1.021315448096318246e+00,-2.877567650670420640e-02,5.103558686395874566e-02
