segment,control_point,X,Y
1.400000000000000000e+01,2.000000000000000000e+00,-8.500469999715400821e-03,9.298986708227587883e-01
1.400000000000000000e+01,3.000000000000000000e+00,8.475769049311672465e-02,5.566751831564762387e-01
1.400000000000000000e+01,4.000000000000000000e+00,3.476666267293065937e-01,5.440200085001201113e-01
1.400000000000000000e+01,5.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.500000000000000000e+01,0.000000000000000000e+00,5.999999999999999778e-01,5.999999999999999778e-01
1.500000000000000000e+01,1.000000000000000000e+00,8.523333732706933619e-01,6.559799914998798442e-01
1.500000000000000000e+01,2.000000000000000000e+00,1.094091183575890414e+00,7.805951491559957045e-01
1.500000000000000000e+01,3.000000000000000000e+00,1.201512950377352285e+00,1.201512950377352285e+00
1.500000000000000000e+01,4.000000000000000000e+00,1.400000000000000133e+00,1.400000000000000133e+00
1.500000000000000000e+01,5.000000000000000000e+00,1.600000000000000089e+00,1.600000000000000089e+00
1.600000000000000000e+01,0.000000000000000000e+00,1.600000000000000089e+00,1.600000000000000089e+00
1.600000000000000000e+01,1.000000000000000000e+00,1.800000000000000044e+00,1.800000000000000044e+00
1.600000000000000000e+01,2.000000000000000000e+00,2.001512950377352329e+00,2.001512950377352329e+00
1.600000000000000000e+01,3.000000000000000000e+00,2.258312383882132846e+00,2.163681929279690497e+00
1.600000000000000000e+01,4.000000000000000000e+00,2.438862361917861321e+00,2.376433469599472215e+00
1.600000000000000000e+01,5.000000000000000000e+00,2.600000000000000089e+00,2.600000000000000089e+00
1.700000000000000000e+01,0.000000000000000000e+00,2.600000000000000089e+00,2.600000000000000089e+00
1.700000000000000000e+01,1.000000000000000000e+00,2.761137638082138857e+00,2.823566530400527963e+00
1.700000000000000000e+01,2.000000000000000000e+00,2.902862936210687916e+00,3.057948050881801993e+00
1.700000000000000000e+01,3.000000000000000000e+00,2.687603853181834701e+00,3.634730533187235935e+00
1.700000000000000000e+01,4.000000000000000000e+00,2.939232696071645279e+00,3.772374219399260653e+00
1.700000000000000000e+01,5.000000000000000000e+00,3.200000000000000178e+00,3.799999999999999822e+00
1.800000000000000000e+01,0.000000000000000000e+00,3.200000000000000178e+00,3.799999999999999822e+00
1.800000000000000000e+01,1.000000000000000000e+00,3.460767303928355076e+00,3.827625780600738992e+00
1.800000000000000000e+01,2.000000000000000000e+00,3.730673068895254296e+00,3.745233655590192612e+00
1.800000000000000000e+01,3.000000000000000000e+00,3.620204113534429169e+00,3.144089782825130186e+00
1.800000000000000000e+01,4.000000000000000000e+00,3.803388400975057593e+00,2.963266845194493460e+00
1.800000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00,2.799999999999999822e+00
1.900000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,2.799999999999999822e+00
1.900000000000000000e+01,1.000000000000000000e+00,4.262148798699923802e+00,2.582310873074008306e+00
1.900000000000000000e+01,2.000000000000000000e+00,4.548168373549739130e+00,2.395832577145604159e+00
1.900000000000000000e+01,3.000000000000000000e+00,5.349999999999999645e+00,2.686766367720995863e+00
1.900000000000000000e+01,4.000000000000000000e+00,5.500000000000000000e+00,2.339999999999999858e+00
1.900000000000000000e+01,5.000000000000000000e+00,5.500000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,5.500000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00,5.500000000000000000e+00,1.660000000000000142e+00
2.000000000000000000e+01,2.000000000000000000e+00,5.349999999999999645e+00,1.326766367720996431e+00
2.000000000000000000e+01,3.000000000000000000e+00,4.133102540071655007e+00,1.778581667245024978e+00
2.000000000000000000e+01,4.000000000000000000e+00,4.007230942614110170e+00,1.486527810786072656e+00
2.000000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00,1.199999999999999956e+00
2.100000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,1.199999999999999956e+00
2.100000000000000000e+01,1.000000000000000000e+00,3.992769057385889830e+00,9.134721892139272548e-01
2.100000000000000000e+01,2.000000000000000000e+00,4.104178769615214328e+00,6.324704241007340633e-01
2.100000000000000000e+01,3.000000000000000000e+00,4.476484001561633619e+00,7.271501983229631261e-01
2.100000000000000000e+01,4.000000000000000000e+00,4.730795634101745861e+00,6.379116832354571054e-01
2.100000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,5.999999999999999778e-01
2.200000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,5.999999999999999778e-01
2.200000000000000000e+01,1.000000000000000000e+00,5.269204365898254139e+00,5.620883167645428502e-01
2.200000000000000000e+01,2.000000000000000000e+00,5.553301465154650174e+00,5.755034653811346157e-01
2.200000000000000000e+01,3.000000000000000000e+00,5.892012443682743239e+00,6.678686180535989836e-01
2.200000000000000000e+01,4.000000000000000000e+00,6.209149161704544895e+00,8.101376250514880084e-01
2.200000000000000000e+01,5.000000000000000000e+00,6.500000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00,6.500000000000000000e+00,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00,6.790850838295455105e+00,1.189862374948511992e+00
2.300000000000000000e+01,2.000000000000000000e+00,7.055415796864563660e+00,1.427318117847647061e+00
2.300000000000000000e+01,3.000000000000000000e+00,7.109849500266404831e+00,2.274734876690487351e+00
2.300000000000000000e+01,4.000000000000000000e+00,7.403177951640927290e+00,2.434806942104597027e+00
2.300000000000000000e+01,5.000000000000000000e+00,7.700000000000000178e+00,2.500000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00,7.700000000000000178e+00,2.500000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00,7.996822048359073065e+00,2.565193057895402973e+00
2.400000000000000000e+01,2.000000000000000000e+00,8.297137693702696382e+00,2.535507108272099241e+00
2.400000000000000000e+01,3.000000000000000000e+00,8.424980534187472614e+00,2.339151900471384771e+00
2.400000000000000000e+01,4.000000000000000000e+00,8.588648363558839094e+00,2.180170732464719485e+00
2.400000000000000000e+01,5.000000000000000000e+00,8.699999999999999289e+00,2.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00,8.699999999999999289e+00,2.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00,8.811351636441159485e+00,1.819829267535280737e+00
2.500000000000000000e+01,2.000000000000000000e+00,8.870387079952113396e+00,1.618468970612507496e+00
2.500000000000000000e+01,3.000000000000000000e+00,8.845716767577403772e+00,1.417014279458703285e+00
2.500000000000000000e+01,4.000000000000000000e+00,8.798794098240467321e+00,1.205553455584147393e+00
2.500000000000000000e+01,5.000000000000000000e+00,8.699999999999999289e+00,1.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00,8.699999999999999289e+00,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00,8.601205901759531258e+00,7.944465444158524958e-01
2.600000000000000000e+01,2.000000000000000000e+00,8.450540374615531647e+00,5.948004571221133796e-01
2.600000000000000000e+01,3.000000000000000000e+00,8.300591016871958772e+00,4.957467462594515872e-01
2.600000000000000000e+01,4.000000000000000000e+00,8.023725101114370872e+00,3.303146729296774775e-01
2.600000000000000000e+01,5.000000000000000000e+00,7.700000000000000178e+00,2.000000000000000111e-01
2.700000000000000000e+01,0.000000000000000000e+00,7.700000000000000178e+00,2.000000000000000111e-01
2.700000000000000000e+01,1.000000000000000000e+00,7.376274898885629483e+00,6.968532707032254470e-02
2.700000000000000000e+01,2.000000000000000000e+00,7.005690612414475993e+00,-2.551194545925829921e-02
2.700000000000000000e+01,3.000000000000000000e+00,6.440234852072537208e+00,5.333038260346036064e-02
2.700000000000000000e+01,4.000000000000000000e+00,5.970423492212988847e+00,2.133888811556453394e-02
2.700000000000000000e+01,5.000000000000000000e+00,5.500000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00,5.500000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00,5.029576507787011153e+00,-2.133888811556453394e-02
2.800000000000000000e+01,2.000000000000000000e+00,4.558540883220581819e+00,-3.202516985879777511e-02
2.800000000000000000e+01,3.000000000000000000e+00,3.729696735876301794e+00,8.936207719391841370e-17
2.800000000000000000e+01,4.000000000000000000e+00,3.350000000000000089e+00,4.286263797015735979e-17
2.800000000000000000e+01,5.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00,1.949999999999999956e+00,-1.285879139104720732e-16
2.900000000000000000e+01,2.000000000000000000e+00,1.167270622886713349e+00,-2.244446165385108499e-16
2.900000000000000000e+01,3.000000000000000000e+00,2.624996670784791042e-01,-4.180713905777281485e-04
2.900000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
