t,X_ref,Y_ref,psi_ref,vx_ref
0.00818332800000000013,0.0509647715189599157,0.0145794847733443835,-3.11985494607410319,0
0.0381385600000000019,0.050949447765963822,0.0145823035257205344,-3.11985494607410319,0.00154739533893807619
0.0681570880000000046,0.0508446944550865615,0.0146015977802295017,-3.11985494607410319,0.00602028843244089597
0.0980981120000000012,0.0505678937230287714,0.014652658354893891,-3.11985494607410319,0.0131703190802802197
0.128122879999999995,0.0500436587557719983,0.0147495182289717353,-3.11985494607410319,0.0227565660634743636
0.158174784000000013,0.0492036139092892552,0.0149049905412477791,-3.3247437275092997,0.0345455472367005717
0.188197535999999999,0.0479861748302556138,0.0151307065883246362,-3.32506733325798676,0.0483112196300151606
0.218131456000000001,0.0463363285767589214,0.0154371538229140983,-3.32540470336593996,0.0638349795609200049
0.248134240000000006,0.0442054137390105184,0.0158337138521283567,-3.32575662276860484,0.0809056627579390758
0.278103551999999976,0.0415509005600557188,0.0163287004357712227,-3.32612393190813327,0.0993195444970112473
0.308147967999999994,0.0383361710564846109,0.0169293974846293667,-3.32650753136240107,0.118880339752165803
0.338251552000000011,0.0345302991391425868,0.0176420970587635867,-3.32690838691170399,0.13939920336212816
0.368162719999999999,0.0301078307338410976,0.0184721373658000253,-3.32732753508828605,0.160694730214706982
0.398148351999999983,0.0250485639020681453,0.0194239407592213566,-3.32776608925867468,0.182592955451046313
0.42819753599999999,0.0193373289616991691,0.0205010517366581609,-3.32822524629413463,0.204927354692085395
0.458163103999999988,0.0129637686077074335,0.0217061749381799902,-3.32870629389037997,0.227538844289863734
0.488150527999999972,0.00592211803287487782,0.0230412131445867606,-3.3292106186040602,0.250275781606640768
0.51816547199999996,-0.00178901495149741494,0.0245073052756998866,-3.32973971468049745,0.272993965325172061
0.54813168000000001,-0.0101668697948783301,0.0261048643886535627,-3.33029519375464433,0.295556635793907285
0.578138400000000052,-0.0192047530867963355,0.0278336156761859986,-3.33087879551529964,0.317834475411343909
0.608169855999999953,-0.0288922584361287378,0.0296926344649306416,-3.33149239943118269,0.339705609054301916
0.638189344000000047,-0.0392154863503908699,0.0316803842137074604,-3.33213803764644378,0.361055604555478971
0.668134495999999967,-0.0501572641150257112,0.0337947545118140874,-3.33281790916244613,0.381777473236297349
0.698190976000000019,-0.0616973656726931136,0.0360330990773171794,-3.33353439543194829,0.401771670501792966
0.728134751999999996,-0.0738127315025590841,0.03839227375534357,-3.33429007750082018,0.420946096505091794
0.758123520000000051,-0.0864776884995852868,0.0408686745163715157,-3.33508775484066211,0.439216096889906205
0.788165760000000049,-0.0996641698538182491,0.0434582754545219802,-3.33593046602245691,0.456504463620424406
0.818122016000000007,-0.113341934929678798,0.0461566667858498147,-3.33682151138570182,0.472741435908989704
0.848112128000000021,-0.127478789145251542,0.0489590928466350703,-3.33776447785806329,0.487864701253018396
0.878143616000000016,-0.142040803851573832,0.0518604900916741079,-3.33876326607556262,0.501819396593688349
0.908123360000000046,-0.156992536211925549,0.0548555250925710225,-3.33982211994027356,0.514558109609994152
0.938410560000000005,-0.172297249081118292,0.0579386325360286905,-3.34094565872808236,0.526040880162719993
0.968129471999999991,-0.187917130884784511,0.0611040532221401381,-3.34213891181881495,0.536235201903681569
0.998438656000000035,-0.203813515498667275,0.0643458720626797209,-3.3434073560590214,0.545116024066032989
1.02812780800000003,-0.219947102127909327,0.067658056079394388,-3.34475695567602616,0.55266575345137825
1.05810777599999994,-0.236278175186342393,0.0710344924022948687,-3.34619420453006144,0.558874256628556165
1.08810841600000008,-0.252766824175776783,0.0744690262679470194,-3.34772617030578301,0.563738862356903292
1.11811084799999993,-0.269373163565290674,0.0779554990177629276,-3.34936053998722993,0.567264364243023067
1.14811913600000004,-0.28605755267051941,0.0814877860962922862,-3.35110566560828049,0.569463023633829502
1.1781894719999999,-0.302780815532944669,0.0850598350495134631,-3.35297060879392594,0.570354572738963617
1.20815376000000008,-0.31950446079918432,0.0886657035231249724,-3.35496518196834748,0.569966217961204169
1.23829139200000005,-0.336190901600280978,0.092299597260836419,-3.35709998325596448,0.568332643392515213
1.26817939199999996,-0.352803675430992281,0.0959559081026600119,-3.35938642098228124,0.565496014403544911
1.29810464000000003,-0.369307664029079663,0.0996292519832016471,-3.36183672222087848,0.561505981212734762
1.32811388800000008,-0.385669313254597523,0.103314506929952143,-3.36446391794733035,0.55641968226394245
1.35816976,-0.401856852969183498,0.107006851061578617,-3.36728179495607094,0.550301747163884358
1.38819951999999991,-0.417840516915346905,0.110701800586215537,-3.37030480167425583,0.543224298827134522
1.41818240000000007,-0.433592762595758185,0.114395247799756072,-3.37354789127906463,0.535266954340367751
1.4482021759999999,-0.449088491152538793,0.118083499084143367,-3.37702628103691893,0.526516823882104523
1.47814601599999995,-0.464305267246550191,0.121763312905661614,-3.38075510155583636,0.517068506813013751
1.50817132799999998,-0.479223538936682902,0.125431937813227451,-3.38474890383918803,0.507024083780763801
1.53816531200000006,-0.493826857559146681,0.129087150436681175,-3.38902098605877189,0.496493103363790933
1.56813200000000008,-0.508102097606759062,0.132727293485077891,-3.39358249662669298,0.485592561421872737
1.59817625599999991,-0.522039676608235137,0.13635131374497883,-3.39844126682509984,0.474446870957699385
1.6282033600000001,-0.535633775007476776,0.139958800078742618,-3.4036003271592592,0.46318781998088554
1.65815913600000009,-0.548882556042862291,0.143550021422816421,-3.40905607000219435,0.451954514704093424
1.68818345599999997,-0.561788385626534992,0.147125964786027186,-3.41479604147450511,0.440893305546493641
