t,delta_ref,ax_ref
0.00818332800000000013,-0.071829478710431563,0
0.0381385600000000019,-0.071829478710431563,0
0.0681570880000000046,-0.071829478710431563,0
0.0980981120000000012,-0.071829478710431563,0
0.128122879999999995,-0.071829478710431563,0
0.158174784000000013,-0.0785180396034988876,0.427146022496415423
0.188197535999999999,-0.0585704500259688135,0.489351005419906337
0.218131456000000001,-0.0462452145389385602,0.54439318838989248
0.248134240000000006,-0.0380808882316988548,0.592520553971905173
0.278103551999999976,-0.0323910353588388045,0.633981089507323792
0.308147967999999994,-0.0282723440274339731,0.669022787615851322
0.338251552000000011,-0.0252045007245624356,0.697893646756176822
0.368162719999999999,-0.0228701281324891759,0.720841671852052057
0.398148351999999983,-0.0210664995727674019,0.738114874991963155
0.42819753599999999,-0.0196591602231481789,0.749961276211615679
0.458163103999999988,-0.0185561422682163565,0.756628904369639144
0.488150527999999972,-0.0176929345183854739,0.758365798128249446
0.51816547199999996,-0.0170233630446921559,0.755420007052072018
0.54813168000000001,-0.0165138659947098206,0.748039592839980894
0.578138400000000052,-0.0161397927336210043,0.736472630706625275
0.608169855999999953,-0.0158829512451881052,0.720967210932296321
0.638189344000000047,-0.0157299484879995198,0.701771440601956398
0.668134495999999967,-0.0156710482684238595,0.679133445556540427
0.698190976000000019,-0.0156993754466438692,0.653301372582110074
0.728134751999999996,-0.0158103575371910145,0.624523391864881483
0.758123520000000051,-0.0160013329345315668,0.593047699742651591
0.788165760000000049,-0.0162712789749422833,0.559122521785399562
0.818122016000000007,-0.0166206284497572923,0.522996116239747844
0.848112128000000021,-0.0170511532804894818,0.484916777873163507
0.878143616000000016,-0.0175659008003892364,0.445132842253824212
0.908123360000000046,-0.0181691726412292962,0.403892690500375129
0.938410560000000005,-0.0188665393241817039,0.361444754531413004
0.968129471999999991,-0.019664885745281916,0.318037522836347064
0.998438656000000035,-0.0205724840960044876,0.273919546775479528
1.02812780800000003,-0.0215990915136313709,0.229339447395579821
1.05810777599999994,-0.0227560699707848105,0.184545922714650729
1.08810841600000008,-0.0240565255709519754,0.13978775538189947
1.11811084799999993,-0.0255154634289002195,0.0953138205504287239
1.14811913600000004,-0.0271499525182471654,0.0513730937034217877
1.1781894719999999,-0.0289792920128030713,0.00821465803980173798
1.20815376000000008,-0.0310251663788308832,-0.0339122891602975721
1.23829139200000005,-0.0333117703110954733,-0.0747584320226212518
1.26817939199999996,-0.0358658759170987218,-0.114074334591023147
1.29810464000000003,-0.0387168025470928032,-0.151610443989890653
1.32811388800000008,-0.0418962333861471539,-0.187117100455519575
1.35816976,-0.0454378012950299309,-0.220344557221811288
1.38819951999999991,-0.0493763383434498576,-0.251043014216068783
1.41818240000000007,-0.0537466482344443261,-0.278962670717848804
1.4482021759999999,-0.0585816183697176543,-0.303853803559705871
1.47814601599999995,-0.0639094403104054215,-0.325466879062193681
1.50817132799999998,-0.0697496585639939132,-0.343552708577211097
1.53816531200000006,-0.0761077278192253265,-0.35786265901292813
1.56813200000000008,-0.0829677456804441688,-0.368148930573619637
1.59817625599999991,-0.0902830703726098943,-0.374164913411819677
1.6282033600000001,-0.0979646731698876894,-0.375665631798124289
1.65815913600000009,-0.105867369465405786,-0.372408277125968856
1.68818345599999997,-0.113774584243073615,-0.364152817490233927
1.71812345600000005,-0.121383092698822664,-0.350662649415731498
1.74816972799999992,-0.12829025199441485,-0.331705224750942329
1.77814790399999989,-0.133987540464170662,-0.307052542773098791
1.80821513600000006,-0.137865547744507627,-0.276481348053619902
1.83821216000000009,-0.139236536733684857,-0.239772828998054438
1.86816512000000001,-0.137380742792224175,-0.196711589258844022
1.8981767679999999,-0.131620889092671972,-0.147083691758356033
1.92816623999999992,-0.121425006317801912,-0.0906736825596210633
1.95817574400000005,-0.106529639868042814,-0.0272607075350359343
1.98811868799999991,-0.0870638553469966214,0.0433858749085805351
2.0181293440000001,-0.0718294787104318821,0.0946223821153455713
2.04817372800000008,-0.0873673370468133204,0.0815191802168925145
2.07816275199999989,-0.100993497914618216,0.0693621179394591364
2.10821967999999993,-0.112929561415697335,0.0581290851302615694
2.13819225599999996,-0.123352964099025089,0.0477932725166224856
2.16813555199999985,-0.132405383381076908,0.038324094266406504
2.19810256000000015,-0.140199560256466543,0.0296879590626722596
2.22812016000000002,-0.146824849775992305,0.0218489262831461049
2.25815193599999997,-0.152351756445798181,0.014769274530392432
2.28819427200000014,-0.156835662503181705,0.00841000271433763047
2.31825663999999998,-0.160319914530608842,0.00273127851806142944
2.34820499199999988,-0.162838398768107018,-0.0023071550598433078
2.37814329600000018,-0.164417707228452226,-0.00674560760752003757
