t,delta_ref,ax_ref
4.00003045797348e-07,0.0,0.3
0.08901769999647513,0.0,0.0
0.18899240001337603,0.0,0.0
0.2890071000147145,0.0,0.0
0.38898109999718145,0.0,0.0
0.48901740001747385,0.0,0.0
0.5889822000171989,0.0,0.0
0.6891616000211798,0.0,0.0
0.7889883000170812,0.0,0.0
0.8890122000011615,0.0,0.0
0.9889839999959804,0.0,0.0
1.0892727000173181,0.0,0.0
1.1892019000079017,0.0,0.0
1.28910680001718,0.0,0.0
1.3900004000170156,0.0,0.0
1.4890249000163749,0.0,0.0
1.5891479999991134,0.0,0.0
1.6889912000042386,0.0,0.0
1.7890284000022803,0.0,0.0
1.889018700021552,0.0,0.0
1.9890066999942064,0.0,0.0
2.0890055000199936,0.0,0.0
2.18898989999434,0.0,0.0
2.289004100020975,0.0,0.0
2.3890193999977782,0.0,0.0
2.4889926000032574,0.0,0.0
2.588996800011955,0.0,0.0
2.6889991000061855,0.0,0.0
2.7890105000115,0.0,0.0
2.8890114999958314,0.0,0.0
2.9890814000100363,0.0,0.0
3.0890020999941044,0.0,0.0
3.1889907000004314,0.0,0.0
3.2889851999934763,0.0,0.0
3.388989400002174,0.0,0.0
3.4891640999994706,0.0,0.0
3.588970100012375,0.0,0.0
3.688971399998991,0.0,0.0
3.7890186000149697,0.0,0.0
3.8890715000161435,0.0,0.0
3.98899139999412,0.0,0.0
4.089061100006802,0.0,0.0
4.1889740000187885,0.0,0.0
4.2889725000131875,0.0,0.0
4.388979900017148,0.0,0.0
4.489008400007151,0.0,0.0
4.5890015000186395,0.0,0.0
4.689005499996711,0.0,0.0
4.789008699997794,0.0,0.0
4.889002600015374,0.0,0.0
4.989004900009604,0.0,0.0
5.0890048000146635,0.0,0.0
5.1889698000159115,0.0,0.0
5.289003700017929,0.0,0.0
5.389095999998972,0.0,0.0
5.48900830000639,0.0,0.0
5.589031800016528,0.0,0.0
5.689003000006778,0.0,0.0
5.78900099999737,0.0,0.0
5.889017400011653,0.0,0.0
5.989019700005883,0.0,0.0
6.0889866999932565,0.0,0.0
6.1890044000174385,0.0,0.0
6.289107399992645,0.0,0.0
6.389055300009204,0.0,0.0
6.489023600006476,0.0,0.0
6.5890549000178,0.0,0.0
6.689157700020587,0.0,0.0
6.789043800003128,0.0,0.0
6.889005300006829,0.0,0.0
6.98901270001079,0.0,0.0
7.089014500001213,0.0,0.0
7.189088200015249,0.0,0.0
7.289018000010401,0.0,0.0
7.389014500018675,0.0,0.0
7.522309799998766,0.0,0.0
7.622338600020157,0.0,0.0
7.722370700008469,0.0,0.0
7.822343000007095,0.0,0.0
7.922355600021547,0.0,0.0
8.022340900002746,0.0,0.0
8.122394600010011,0.0,0.0
8.222379800019553,0.0,0.0
8.322353399998974,0.0,0.0
8.422399900009623,0.0,0.0
8.522391800011974,0.0,0.0
