t,delta_e,ax_e
5.00003807246685e-07,0.5236,0.0
0.06431450002128258,0.0,0.3
0.13084150000941008,1.1102230246251565e-16,0.3
0.1975158000132069,-0.044555375522482676,0.3
0.26420730000245385,-0.2499375230182309,0.29999999999999993
0.3308530999929644,-0.35769163343449584,0.3
0.39758340001571923,-0.4169752589598431,0.3
0.4641903000010643,0.5953080510175868,0.3
0.5309114000119735,0.19158593726839881,0.3
0.597507400001632,-0.48822971296936174,0.3
0.6643099000211805,-0.4192164067825406,0.3
0.7309670000104234,0.5419215838522053,0.3
0.7975950000109151,0.5367142704835135,0.3
0.8643089999968652,-0.5144038479974345,0.3
0.9308533000003081,-0.5174136017531125,0.3
0.9975290000147652,0.527429100691342,0.3
1.0643703000096139,0.5255604698911879,0.3
1.1313322000205517,-0.5128422029318684,0.3
1.1976818999974057,-0.46820631622709136,0.3
1.264185100008035,0.5217695928515832,0.3
1.36473540001316,0.5205088785210351,0.3
1.430905300017912,0.021409789428100155,0.3
1.497569700004533,-0.5150378933378904,0.3
1.564364799996838,-0.04995962472754907,0.3
1.63099860001239,0.45192583294603533,0.3
1.6981405999977142,0.1015192590087295,0.3
1.7645722000161186,-0.36993411250042135,0.3
1.8312321999983396,-0.16790123625330383,0.3
1.897758100007195,0.24680335501064485,0.3
1.964224600000307,0.1883856074555154,0.3
2.0309042000153568,-0.13034892207410914,0.3
2.097869300021557,-0.1800045031493909,0.3
2.164265700004762,0.020937742694280365,0.3
2.2310818000114523,0.12301250251332996,0.3
2.330931500007864,0.024932677436658564,0.3
2.3976918999978807,-0.06993811417184484,0.3
2.4642715000081807,-0.05089343114242929,0.3
2.5309400999976788,0.013570927930245181,0.3
2.5975287000183016,0.03310592401994406,0.3
2.664456500002416,0.0071111098868161995,0.3
2.7309909000177868,-0.016820712349263633,0.3
2.797651200002292,-0.01571158947857211,0.3
2.8643815999967046,-0.002625411897861774,0.3
2.9308706000156235,0.004362774720273587,0.3
2.9975494999962393,0.0021149032867918936,0.3
3.0642367000109516,-0.0025704552706453457,0.3
3.130936000001384,-0.004357121563269194,0.3
3.1976731000177097,-0.003301796398025598,0.3
3.2642381000041496,-0.0018043841010055676,0.3
3.331089900020743,-0.0013967214616206688,0.3
3.3977097000170033,-0.0019284861318197462,0.3
3.464350900001591,-0.002871872350937228,0.3
3.530962000018917,-0.0040440881552752245,0.3
3.597570400015684,-0.005716801614168508,0.3
3.6642843000008725,-0.008073702101295259,0.3
3.7309276000014506,-0.011449107771441494,0.3
3.7975810000207275,-0.015913009941840972,0.3
3.86516380001558,-0.020888157853994692,0.3
3.9310626999940723,-0.026692648622082434,0.3
3.9977363999933004,-0.0309468436204594,0.3
4.064979799994035,-0.031755983307039735,0.3
4.1309066000103485,-0.02616041669164619,0.3
4.197987099993043,-0.011225838192509559,0.3
4.264221799996449,0.008081602377455976,0.2974299621809685
4.331001600017771,-0.002096967928037839,0.208400681468415
4.431140400003642,-0.010721012939783822,0.12377667825185168
4.531223400001181,-0.015354429776280404,0.04405852717846119
4.631023699999787,-0.018014055216776653,-0.016073744952829823
4.7311429000110365,-0.01926036469092529,-0.3
4.830990100017516,-0.018638798412092608,-0.3
4.930948699999135,-0.10165050750736798,-0.3
5.031015400018077,-0.3786514947002586,-0.3
5.130974200001219,-0.575787280897532,-0.3
5.231308699992951,-0.5581869598370257,-0.3
5.29760650001117,-0.5465054393680919,-0.3
5.397655600012513,-0.477044787536872,-0.3
5.49762219999684,0.08955203623691961,-0.3
5.597691700007999,0.538520746402804,-0.29999999999999993
5.6976282999967225,0.3781308669303548,-0.3
5.797612599999411,-0.48895635955846944,-0.29999999999999993
