t,solve_time,solver_success,solver_status,number_of_config_obstacles,number_of_active_obstacles,number_of_active_edges
5.00003807246685e-07,0.006473000015830621,1,MIQP_OPTIMAL,2,0,0
0.06431450002128258,0.005229700007475913,1,MIQP_OPTIMAL,2,0,0
0.13084150000941008,0.007178100000601262,1,MIQP_OPTIMAL,2,0,0
0.1975158000132069,0.007534899981692433,1,MIQP_OPTIMAL,2,0,0
0.26420730000245385,0.007317500014323741,1,MIQP_OPTIMAL,2,0,0
0.3308530999929644,0.007221700012451038,1,MIQP_OPTIMAL,2,0,0
0.39758340001571923,0.007094500004313886,1,MIQP_OPTIMAL,2,0,0
0.4641903000010643,0.00795330002438277,1,MIQP_OPTIMAL,2,0,0
0.5309114000119735,0.008298800006741658,1,MIQP_OPTIMAL,2,0,0
0.597507400001632,0.00854900002013892,1,MIQP_OPTIMAL,2,0,0
0.6643099000211805,0.008509800012689084,1,MIQP_OPTIMAL,2,0,0
0.7309670000104234,0.008957299985922873,1,MIQP_OPTIMAL,2,0,0
0.7975950000109151,0.008309700002428144,1,MIQP_OPTIMAL,2,0,0
0.8643089999968652,0.008600200002547354,1,MIQP_OPTIMAL,2,0,0
0.9308533000003081,0.008373799995752051,1,MIQP_OPTIMAL,2,0,0
0.9975290000147652,0.008574299979954958,1,MIQP_OPTIMAL,2,0,0
1.0643703000096139,0.008968500012997538,1,MIQP_OPTIMAL,2,0,0
1.1313322000205517,0.008556500019039959,1,MIQP_OPTIMAL,2,0,0
1.1976818999974057,0.008628400013549253,1,MIQP_OPTIMAL,2,0,0
1.264185100008035,0.009884499973850325,1,MIQP_OPTIMAL,2,0,0
1.36473540001316,0.00823780000791885,1,MIQP_OPTIMAL,2,0,0
1.430905300017912,0.008248900005128235,1,MIQP_OPTIMAL,2,0,0
1.497569700004533,0.007904800004325807,1,MIQP_OPTIMAL,2,0,0
1.564364799996838,0.009351199987577274,1,MIQP_OPTIMAL,2,0,0
1.63099860001239,0.008019600005354732,1,MIQP_OPTIMAL,2,0,0
1.6981405999977142,0.007765399990603328,1,MIQP_OPTIMAL,2,0,0
1.7645722000161186,0.007592300011310726,1,MIQP_OPTIMAL,2,0,0
1.8312321999983396,0.007383399992249906,1,MIQP_OPTIMAL,2,0,0
1.897758100007195,0.008048400020925328,1,MIQP_OPTIMAL,2,0,0
1.964224600000307,0.008022400026675314,1,MIQP_OPTIMAL,2,0,0
2.0309042000153568,0.008942200016463175,1,MIQP_OPTIMAL,2,0,0
2.097869300021557,0.0091312000004109,1,MIQP_OPTIMAL,2,0,0
2.164265700004762,0.008538299996871501,1,MIQP_OPTIMAL,2,0,0
2.2310818000114523,0.01095799999893643,1,MIQP_OPTIMAL,2,0,0
2.330931500007864,0.008443500002613291,1,MIQP_OPTIMAL,2,0,0
2.3976918999978807,0.00850299999001436,1,MIQP_OPTIMAL,2,0,0
2.4642715000081807,0.00790440000128001,1,MIQP_OPTIMAL,2,0,0
2.5309400999976788,0.007701499998802319,1,MIQP_OPTIMAL,2,0,0
2.5975287000183016,0.007689699996262789,1,MIQP_OPTIMAL,2,0,0
2.664456500002416,0.007636599999386817,1,MIQP_OPTIMAL,2,0,0
2.7309909000177868,0.007646699988981709,1,MIQP_OPTIMAL,2,0,0
2.797651200002292,0.007626900012837723,1,MIQP_OPTIMAL,2,0,0
2.8643815999967046,0.006579499982763082,1,MIQP_OPTIMAL,2,0,0
2.9308706000156235,0.007298599986825138,1,MIQP_OPTIMAL,2,0,0
2.9975494999962393,0.0068832999968435615,1,MIQP_OPTIMAL,2,0,0
3.0642367000109516,0.006466499995440245,1,MIQP_OPTIMAL,2,0,0
3.130936000001384,0.006126599997514859,1,MIQP_OPTIMAL,2,0,0
3.1976731000177097,0.00730579998344183,1,MIQP_OPTIMAL,2,0,0
3.2642381000041496,0.007311900000786409,1,MIQP_OPTIMAL,2,0,0
3.331089900020743,0.007802700012689456,1,MIQP_OPTIMAL,2,0,0
3.3977097000170033,0.0067718000209424645,1,MIQP_OPTIMAL,2,0,0
3.464350900001591,0.006802600022638217,1,MIQP_OPTIMAL,2,0,0
3.530962000018917,0.006105400010710582,1,MIQP_OPTIMAL,2,0,0
3.597570400015684,0.00696660001995042,1,MIQP_OPTIMAL,2,0,0
3.6642843000008725,0.005899599986150861,1,MIQP_OPTIMAL,2,0,0
3.7309276000014506,0.00765690000844188,1,MIQP_OPTIMAL,2,0,0
3.7975810000207275,0.007577600015792996,1,MIQP_OPTIMAL,2,0,0
3.86516380001558,0.008146099979057908,1,MIQP_OPTIMAL,2,0,0
3.9310626999940723,0.0071622999967075884,1,MIQP_OPTIMAL,2,0,0
3.9977363999933004,0.007218699989607558,1,MIQP_OPTIMAL,2,0,0
4.064979799994035,0.007328500010771677,1,MIQP_OPTIMAL,2,0,0
4.1309066000103485,0.007487399998353794,1,MIQP_OPTIMAL,2,0,0
4.197987099993043,0.007254800002556294,1,MIQP_OPTIMAL,2,0,0
4.264221799996449,0.007382099982351065,1,MIQP_OPTIMAL,2,0,0
4.331001600017771,0.01269889998366125,1,MIQP_OPTIMAL,2,1,4
4.431140400003642,0.01589750000857748,1,MIQP_OPTIMAL,2,1,4
4.531223400001181,0.020825000014156103,1,MIQP_OPTIMAL,2,1,4
4.631023699999787,0.018807100015692413,1,MIQP_OPTIMAL,2,1,4
4.7311429000110365,0.027372000011382625,1,MIQP_OPTIMAL,2,1,4
4.830990100017516,0.020445900008780882,1,MIQP_OPTIMAL,2,1,4
4.930948699999135,0.023886000009952113,1,MIQP_OPTIMAL,2,1,4
5.031015400018077,0.013357699994230643,1,MIQP_OPTIMAL,2,1,4
5.130974200001219,0.017516000021714717,1,MIQP_OPTIMAL,2,1,4
5.231308699992951,0.009905499988235533,1,MIQP_OPTIMAL,2,1,4
5.29760650001117,0.011019900004612282,1,MIQP_OPTIMAL,2,1,4
5.397655600012513,0.012141299986978993,1,MIQP_OPTIMAL,2,1,4
5.49762219999684,0.011957599985180423,1,MIQP_OPTIMAL,2,1,4
5.597691700007999,0.01238619998912327,1,MIQP_OPTIMAL,2,1,4
5.6976282999967225,0.012611599988304079,1,MIQP_OPTIMAL,2,1,4
