t,segment,X,Y,psi,vx,delta,ax,Xd,Yd,Xdd,Ydd,kappa
1.000000000000000056e-01,0.000000000000000000e+00,-1.802522479438105297e-03,1.706875992841065668e-06,3.140828627432730613e+00,4.115363756601986972e-02,2.864936044466063689e-02,5.562045985444934448e-01,-4.115362555459121247e-02,3.144245249970327688e-05,-5.563630380618019844e-01,2.364094172909849214e-04,1.113982559723121907e-01
1.100000000000000006e-01,0.000000000000000000e+00,-2.242301430693810407e-03,2.032880968442571797e-06,3.140872507800668512e+00,4.684423680703048848e-02,2.306070206374895293e-02,5.814424682757173279e-01,-4.684422466008718311e-02,3.373467696549655793e-05,-5.815991889813210136e-01,2.220899744596568676e-04,8.965905071479791932e-02
1.199999999999999956e-01,0.000000000000000000e+00,-2.740232464344139959e-03,2.381097653977042568e-06,3.140912781498984785e+00,5.278248693153420740e-02,1.881929259680850675e-02,6.057399590307266379e-01,-5.278247473281419411e-02,3.588533698369576909e-05,-6.058949594798133109e-01,2.080960300681359773e-04,7.316429398654196448e-02
1.300000000000000044e-01,0.000000000000000000e+00,-3.298745243837533560e-03,2.750126630120125763e-06,3.140949873826142102e+00,5.895903598764502818e-02,1.554337708782146769e-02,6.291074384089592186e-01,-5.895902380771608775e-02,3.789767260757791699e-05,-6.292607173880890858e-01,1.944245978922037714e-04,6.042615724393986948e-02
1.400000000000000133e-01,0.000000000000000000e+00,-3.920176431363405975e-03,3.138600728769021213e-06,3.140984145700824737e+00,6.536463569971340259e-02,1.297432187550358849e-02,6.515552740530008435e-01,-6.536462359804462441e-02,3.977489402817774484e-05,-6.517068305369578818e-01,1.810726917076417434e-04,5.043751186325391711e-02
1.499999999999999944e-01,0.000000000000000000e+00,-4.606770724635235979e-03,3.545184734420074826e-06,3.141015905398595542e+00,7.199014146870504061e-02,1.093244513347664884e-02,6.730938336392879862e-01,-7.199012949535990580e-02,4.152018157428792220e-05,-6.732436667572315736e-01,1.680373252902316310e-04,4.249905032818310918e-02
1.600000000000000033e-01,0.000000000000000000e+00,-5.360681893673641986e-03,3.968575085546342752e-06,3.141045417811282547e+00,7.882651237249915788e-02,9.290170491826543406e-03,6.937334848710605684e-01,-7.882650056952997253e-02,4.313668571245882812e-05,-6.938815938797188165e-01,1.553155124157549279e-04,3.611443253954470245e-02
1.700000000000000122e-01,0.000000000000000000e+00,-6.183973817589462005e-03,4.407499575975175043e-06,3.141072911818395319e+00,8.586481116612626474e-02,7.955176184959007746e-03,7.134845954729915896e-01,-8.586479956873102615e-02,4.462752704699872734e-05,-7.136309797352304862e-01,1.429042668599932902e-04,3.092456366644519977e-02
1.799999999999999933e-01,0.000000000000000000e+00,-7.078621521366832738e-03,4.860717056265793790e-06,3.141098586204919663e+00,9.309620428195898578e-02,6.859519051156884838e-03,7.323575331870104677e-01,-9.309619291944735975e-02,4.599579631997368896e-05,-7.325021921545766812e-01,1.308006023987282659e-04,2.666521531649692148e-02
1.900000000000000022e-01,0.000000000000000000e+00,-8.046512212646288187e-03,5.327017135086871694e-06,3.141122614449269435e+00,1.005119618298664641e-01,5.952441324261640264e-03,7.503626657690549706e-01,-1.005119507264713857e-01,4.724455441120757289e-05,-7.505055989685678330e-01,1.190015328077414434e-04,2.313901506970181959e-02
2.000000000000000111e-01,0.000000000000000000e+00,-9.089446318507813163e-03,5.805219880594108942e-06,3.141145148625307026e+00,1.081034575973400941e-01,5.195509369559142034e-03,7.675103609865150389e-01,-1.081034467729035942e-01,4.837683233828205697e-05,-7.676515680080141513e-01,1.075040718628143843e-04,2.019652524033204929e-02
2.099999999999999922e-01,0.000000000000000000e+00,-1.020913852225393235e-02,6.294175521807804578e-06,3.141166322603949901e+00,1.158621690495967721e-01,4.559264593688964681e-03,7.838109866162126238e-01,-1.158621585201525250e-01,4.939563125653666405e-05,-7.839504671037256234e-01,9.630523333972873111e-05,1.772321160324338146e-02
2.200000000000000011e-01,0.000000000000000000e+00,-1.140721880019282888e-02,6.792764149990459205e-06,3.141186254696784363e+00,1.237796773296643421e-01,4.020875981829526678e-03,7.992749104427634421e-01,-1.237796671079350042e-01,5.030392245906870779e-05,-7.994126640865127920e-01,8.540203101426601827e-05,1.563031156876565006e-02
2.300000000000000100e-01,0.000000000000000000e+00,-1.268523345842135185e-02,7.299895420024317564e-06,3.141205049851941933e+00,1.318476672584520393e-01,3.562468855166727420e-03,8.139125002572802359e-01,-1.318476573542757546e-01,5.110464737673332656e-05,-8.140485267871857555e-01,7.479147866220780714e-05,1.384833401707633548e-02
2.399999999999999911e-01,0.000000000000000000e+00,-1.404464616960816349e-02,7.814508251788969542e-06,3.141222801488274818e+00,1.400579273348099285e-01,3.169918087769633876e-03,8.277341238563202808e-01,-1.400579177555076882e-01,5.180071757814346309e-05,-8.278684230365546126e-01,6.447059005933580822e-05,1.232236620146499526e-02
2.500000000000000000e-01,0.000000000000000000e+00,-1.548683900977679967e-02,8.335570531538932557e-06,3.141239593035485722e+00,1.484023497355784205e-01,2.831965364545827642e-03,8.407501490410167477e-01,-1.484023404862718498e-01,5.239501476966993223e-05,-8.408827206654296837e-01,5.443637898143148805e-05,1.100864114823630821e-02
2.600000000000000089e-01,0.000000000000000000e+00,-1.701311349508873375e-02,8.862078813281212760e-06,3.141255499233773563e+00,1.568729303156302657e-01,2.539565765784844963e-03,8.529709436163743774e-01,-1.568729213995173621e-01,5.289039079544125157e-05,-8.531017875046216226e-01,4.468585920427640127e-05,9.871996988736909256e-03
2.700000000000000178e-01,0.000000000000000000e+00,-1.862469161862647174e-02,9.393058020152890805e-06,3.141270587235692524e+00,1.654617686079059291e-01,2.285398787926232623e-03,8.644068753906894997e-01,-1.654617600265013699e-01,5.328966763734388533e-05,-8.645359913849401945e-01,3.521604450365231257e-05,8.883975770068464409e-03
2.800000000000000266e-01,0.000000000000000000e+00,-2.032271688717662839e-02,9.927561145798701687e-06,3.141284917544471700e+00,1.741610678234440934e-01,2.063498702755865635e-03,8.750683121750686411e-01,-1.741610595767892622e-01,5.359563741502202760e-05,-8.751957001371956091e-01,2.602394865534067155e-05,8.021386322922629750e-03
2.899999999999999800e-01,0.000000000000000000e+00,-2.210825535801301880e-02,1.046466895574861374e-05,3.141298544816431004e+00,1.829631348514072220e-01,1.868972497143416706e-03,8.849656217830030869e-01,-1.829631269382543945e-01,5.381106238587767004e-05,-8.850912815921980759e-01,1.710658543512308028e-05,7.265207670708221689e-03
2.999999999999999889e-01,0.000000000000000000e+00,-2.398229667567976231e-02,1.100348968879540592e-05,3.141311518549912751e+00,1.918603802591041518e-01,1.697782755360280295e-03,8.941091720300864409e-01,-1.918603726770783391e-01,5.393867494507073064e-05,-8.942331035807582484e-01,8.460968618781176403e-06,6.599744943165577159e-03
3.099999999999999978e-01,0.000000000000000000e+00,-2.594575510877427521e-02,1.154315875837224173e-05,3.141323883679025819e+00,2.008453182920089675e-01,1.546579163606838980e-03,9.025093307336682358e-01,-2.008453110377507733e-01,5.398117762551883690e-05,-9.026315339336860033e-01,8.411198209652858267e-08,6.011974331192423970e-03
3.200000000000000067e-01,0.000000000000000000e+00,-2.799947058673045788e-02,1.208283845393024314e-05,3.141335681087193965e+00,2.099105668737775432e-01,1.412566746542758683e-03,9.101764657126505398e-01,-2.099105599430693692e-01,5.394124309789745457e-05,-9.102969404817917720e-01,-8.026970699149420092e-06,5.491030849612254724e-03
3.300000000000000155e-01,0.000000000000000000e+00,-3.014420973660169450e-02,1.262171764231609495e-05,3.141346948052876176e+00,2.190488476062620038e-01,1.293402087777101696e-03,9.171209447872907816e-01,-2.190488409941399595e-01,5.382151417063990118e-05,-9.172396910558857641e-01,-1.587526564917494584e-05,5.027804894137774538e-03
3.400000000000000244e-01,0.000000000000000000e+00,-3.238066691984400197e-02,1.315901146914958826e-05,3.141357718637672214e+00,2.282529857695233810e-01,1.187111038690994444e-03,9.233531357790081273e-01,-2.282529794703764825e-01,5.362460378993729864e-05,-9.234701534867781891e-01,-2.346375909219841659e-05,4.614622337530967233e-03
3.500000000000000333e-01,0.000000000000000000e+00,-3.470946526909904351e-02,1.369396106020121805e-05,3.141368024025330996e+00,2.375159103218421885e-01,1.092023050700941618e-03,9.288834065102573589e-01,-2.375159043295009265e-01,5.335309503973856645e-05,-9.289986956052792566e-01,-3.079543725243829634e-05,4.244989250866987134e-03
3.599999999999999867e-01,0.000000000000000000e+00,-3.713115772497726369e-02,1.422583322276975543e-05,3.141377892818747686e+00,2.468306538997284416e-01,1.006718457769287083e-03,9.337221248043743316e-01,-2.468306482075434405e-01,5.300954114175043526e-05,-9.338356852421991761e-01,-3.787328635411304399e-05,3.913386969354538079e-03
3.699999999999999956e-01,0.000000000000000000e+00,-3.964622807284094719e-02,1.475392014705982829e-05,3.141387351300903852e+00,2.561903528179296785e-01,9.299859144959639074e-04,9.378796584855155771e-01,-2.561903474188422791e-01,5.259646545543742650e-05,-9.379914902283479350e-01,-4.470029262144106428e-05,3.615106637912048147e-03
3.800000000000000044e-01,0.000000000000000000e+00,-4.225509197958731561e-02,1.527753910755952406e-05,3.141396423664758686e+00,2.655882470694387876e-01,8.607878481520435084e-04,9.413663753785073141e-01,-2.655882419560439134e-01,5.211636147802202864e-05,-9.414764783945366311e-01,-5.127944227864073478e-05,3.346114910608356374e-03
3.900000000000000133e-01,0.000000000000000000e+00,-4.495809803043153419e-02,1.579603216441789412e-05,3.141405132216310125e+00,2.750176803254998359e-01,7.982322722219342952e-04,9.441926433088152493e-01,-2.750176754901024756e-01,5.157169284448433118e-05,-9.443010175715742527e-01,-5.761372154993041279e-05,3.102944380018645299e-03
4.000000000000000222e-01,0.000000000000000000e+00,-4.775552876568996130e-02,1.630876586482263107e-05,3.141413497554415013e+00,2.844720999356151192e-01,7.415496782162056197e-04,9.463688301024326677e-01,-2.844720953702810085e-01,5.096489332756241100e-05,-9.464754755902726746e-01,-6.370611665952870630e-05,2.882603747876712891e-03
4.100000000000000311e-01,0.000000000000000000e+00,-5.064760171756297474e-02,1.681513094437753759e-05,3.141421538730407637e+00,2.939450569275485203e-01,6.900740030955360279e-04,9.479053035858555631e-01,-2.939450526241494943e-01,5.029836683775199343e-05,-9.480102202814398860e-01,-6.955961383165384384e-05,2.682503839198420101e-03
4.199999999999999845e-01,0.000000000000000000e+00,-5.363447044691836002e-02,1.731454202848023928e-05,3.141429273390121679e+00,3.034302060073321705e-01,6.432268842971789911e-04,9.488124315860062552e-01,-3.034302019575872977e-01,4.957448742330683184e-05,-9.489156194758885388e-01,-7.517719929052432497e-05,2.500396396528413185e-03
4.299999999999999933e-01,0.000000000000000000e+00,-5.671622558007410192e-02,1.780643733369962476e-05,3.141436717900528475e+00,3.129213055592686699e-01,6.005045796080052227e-04,9.491005819301925328e-01,-3.129213017547809450e-01,4.879559927023832130e-05,-9.492020410044270662e-01,-8.056185926035850698e-05,2.334323233390931274e-03
4.400000000000000022e-01,0.000000000000000000e+00,-5.989289584558166180e-02,1.829027836915351606e-05,3.141443887462909146e+00,3.224122176459360278e-01,5.614670571162430060e-04,9.487801224460810090e-01,-3.224122140782255119e-01,4.796401670231572901e-05,-9.488798526978665659e-01,-8.571657996537482846e-05,2.182573823580923663e-03
4.500000000000000111e-01,0.000000000000000000e+00,-6.316444911100899118e-02,1.876554963788621384e-05,3.141450796214195762e+00,3.318969080081903278e-01,5.257288601692644212e-04,9.478614209616189612e-01,-3.318969046687241242e-01,4.708202418106615365e-05,-9.479594223870171366e-01,-9.064434762979178221e-05,2.043649790494911096e-03
4.600000000000000200e-01,0.000000000000000000e+00,-6.653079341972355232e-02,1.923175833824606275e-05,3.141457457317899493e+00,3.413694460651683915e-01,4.929514303463893195e-04,9.463548453050663056e-01,-3.413694429453875689e-01,4.615187630577449827e-05,-9.464511179026886545e-01,-9.534814847782763063e-05,1.916235064239619123e-03
4.700000000000000289e-01,0.000000000000000000e+00,-6.999177802767554690e-02,1.968843406526306773e-05,3.141463883045858108e+00,3.508240049142916095e-01,4.628366329292694860e-04,9.442707633049209903e-01,-3.508240020056355712e-01,4.517579781348346349e-05,-9.443653070756923285e-01,-9.983096873370094783e-05,1.799170713230500377e-03
4.799999999999999822e-01,0.000000000000000000e+00,-7.354719444018080476e-02,2.013512851202643231e-05,3.141470084851854860e+00,3.602548613312667736e-01,4.351212779925053820e-04,9.416195427898941261e-01,-3.602548586251951845e-01,4.415598357899362886e-05,-9.417123577368370357e-01,-1.040957946216300098e-04,1.691433646076142671e-03
4.899999999999999911e-01,0.000000000000000000e+00,-7.719677744870410974e-02,2.057141517106216138e-05,3.141476073438048022e+00,3.696563957700895187e-01,4.095724689071981463e-04,9.384115515889241976e-01,-3.696563932581020673e-01,4.309459861486328341e-05,-9.385026377169338740e-01,-1.081456123658333093e-04,1.592118529870061678e-03
5.000000000000000000e-01,0.000000000000000000e+00,-8.094020616764201204e-02,2.099688903571063673e-05,3.141481858815006412e+00,3.790230923630453219e-01,3.859836409349298118e-04,9.346571575311166669e-01,-3.790230900366997613e-01,4.199377807140865606e-05,-9.347465148467932750e-01,-1.119834081905292443e-04,1.500422391072156816e-03
