t,solve_time,solver_success,solver_status,number_of_config_obstacles,number_of_active_edges,number_of_binary_variables
15.592222899955232,0.0600805000285618,1,MIQP_OPTIMAL,18,72,2160
15.758859399997164,0.05592280003475025,1,MIQP_OPTIMAL,18,72,2160
15.925563899974804,0.05497330002253875,1,MIQP_OPTIMAL,18,72,2160
16.092226099979598,0.05518119997577742,1,MIQP_OPTIMAL,18,72,2160
16.258865399984643,0.1648993999697268,1,MIQP_OPTIMAL,18,72,2160
16.525602599955164,0.11131429998204112,1,MIQP_OPTIMAL,18,72,2160
16.758901899971534,0.10207640001317486,1,MIQP_OPTIMAL,18,72,2160
16.99227659997996,0.11579419998452067,1,MIQP_OPTIMAL,18,72,2160
17.22555559995817,0.09619050001492724,1,MIQP_OPTIMAL,18,72,2160
17.425539599964395,0.2541149000171572,1,MIQP_OPTIMAL,18,72,2160
17.792227099998854,0.10192319995258003,1,MIQP_OPTIMAL,18,72,2160
18.025570999947377,0.065416700032074,1,MIQP_OPTIMAL,18,72,2160
18.19226639997214,0.07330809999257326,1,MIQP_OPTIMAL,18,72,2160
18.392260499997064,0.10236339998664334,1,MIQP_OPTIMAL,18,72,2160
18.625608399976045,0.11606329999631271,1,MIQP_OPTIMAL,18,72,2160
18.858894799952395,0.12782120000338182,1,MIQP_OPTIMAL,18,72,2160
19.125824599992484,0.06144079996738583,1,MIQP_OPTIMAL,18,72,2160
19.29218339995714,0.0699521999922581,1,MIQP_OPTIMAL,18,72,2160
19.492202099994756,0.058771599957253784,1,MIQP_OPTIMAL,18,72,2160
19.65890959999524,0.08309619995998219,1,MIQP_OPTIMAL,18,72,2160
19.85904179996578,0.05870860000140965,1,MIQP_OPTIMAL,18,72,2160
20.058899299998302,0.05749370000557974,1,MIQP_OPTIMAL,18,72,2160
20.225599500001408,0.05606939998688176,1,MIQP_OPTIMAL,18,72,2160
20.392221199988853,0.05961489997571334,1,MIQP_OPTIMAL,18,72,2160
20.55890169995837,0.058369999984279275,1,MIQP_OPTIMAL,18,72,2160
