t,ref_index,X_ref,Y_ref,psi_ref,vx_ref
0.04840530001092702,0,0.0,0.0,0.0,0.0
0.18148440000368282,13,0.0039034079700617282,0.0,0.0,0.06786177947530865
0.3149847000022419,27,0.021209155425000008,0.0,0.0,0.18591513750000005
0.41487200002302416,37,0.044926685533024695,0.0,0.0,0.290744075771605
0.6150026000104845,57,0.12656612167500003,0.0,0.0,0.5302921375000001
0.7149355000001378,67,0.1858928054867284,0.0,0.0,0.6563964461419752
0.8816101000120398,83,0.3069263335410494,0.0,0.0,0.8550226683641976
0.981653599999845,93,0.3983513895749998,0.0,0.0,0.9722611374999998
1.181624400021974,113,0.6141820701614198,0.0,0.0,1.1788652979938272
1.2815231000131462,123,0.736445805825,0.0,0.0,1.2641791375
1.3815195000206586,133,0.8665502988959876,0.0,0.0,1.3354785942901237
1.5149322000215761,147,1.0590821204249998,0.0,0.0,1.4099131375
1.614809700025944,157,1.201921932014506,0.0,0.0,1.4442435572530863
1.7482319000118878,170,1.3913298456790122,0.0,0.0,1.4653317901234566
1.8482127000170294,180,1.5379199999999997,0.0,0.0,1.4640000000000004
1.948278100026073,190,1.6836527469135805,0.0,0.0,1.448368827160494
2.0481945000065025,200,1.8271604938271602,0.0,0.0,1.419753086419753
2.148309300013352,210,1.9672275000000001,0.0,0.0,1.379875
2.248188099998515,220,2.102830617283951,0.0,0.0,1.3308641975308644
2.348208400013391,230,2.233180030864198,0.0,0.0,1.2752577160493828
2.448378800007049,240,2.35776,0.0,0.0,1.2160000000000002
25.441016500000842,900,9.0,0.0,0.0,0.0
26.543934900022577,900,9.0,0.0,0.0,0.0
26.943900500016753,900,9.0,0.0,0.0,0.0
27.343938400008483,900,9.0,0.0,0.0,0.0
27.81044950001524,900,9.0,0.0,0.0,0.0
28.143830400018487,900,9.0,0.0,0.0,0.0
28.510447900014697,900,9.0,0.0,0.0,0.0
28.91054450001684,900,9.0,0.0,0.0,0.0
29.210465000011027,900,9.0,0.0,0.0,0.0
29.543900400021812,900,9.0,0.0,0.0,0.0
29.81069220000063,900,9.0,0.0,0.0,0.0
31.54406850002124,900,9.0,0.0,0.0,0.0
32.01056480000261,900,9.0,0.0,0.0,0.0
32.37723640000331,900,9.0,0.0,0.0,0.0
32.74400330000208,900,9.0,0.0,0.0,0.0
33.17724509999971,900,9.0,0.0,0.0,0.0
33.74398030000157,900,9.0,0.0,0.0,0.0
34.31058830002439,900,9.0,0.0,0.0,0.0
34.710987600003136,900,9.0,0.0,0.0,0.0
35.44427210002323,900,9.0,0.0,0.0,0.0
35.74418140001944,900,9.0,0.0,0.0,0.0
36.610850100027164,900,9.0,0.0,0.0,0.0
36.9440758000128,900,9.0,0.0,0.0,0.0
37.17746750000515,900,9.0,0.0,0.0,0.0
37.41078520001611,900,9.0,0.0,0.0,0.0
37.61077450000448,900,9.0,0.0,0.0,0.0
37.84415610000724,900,9.0,0.0,0.0,0.0
38.04425340000307,900,9.0,0.0,0.0,0.0
