t,ref_index,X_ref,Y_ref,psi_ref,vx_ref
3.00002284348011e-07,0,0.0,0.0,0.0,0.0
0.07032060000346974,10,0.0023333379067480564,0.0,0.0,1.4572536313271605
0.1405333000002429,19,0.009333351626992226,0.0,0.0,1.4572536313271605
0.2102147999976296,27,0.021000055596232414,0.0,0.0,1.4572536313271605
0.28059849998680875,34,0.037333451211452484,0.0,0.0,1.4572536313271605
0.3501105000032112,41,0.058333490043878555,0.0,0.0,1.4572536313271605
0.42048889998113737,48,0.08400020748376846,0.0,0.0,1.4572536313271605
0.4901683999923989,55,0.11433359235525131,0.0,0.0,1.4572536313271605
0.5602346999803558,61,0.1493336707353592,0.0,0.0,1.4572536313271605
0.6305447999911848,71,0.21000398695468903,0.0,0.0,1.4572536313271605
0.7003494999953546,77,0.2543374001979828,0.0,0.0,1.4572536313271605
0.7703596999926958,83,0.30335086584091187,0.0,0.0,1.4572536313271605
0.8402806999802124,89,0.35701772570610046,0.0,0.0,1.4572536313271605
0.9104735000000801,95,0.4153512120246887,0.0,0.0,1.4572536313271605
0.9802527999854647,101,0.4783514440059662,0.0,0.0,1.4572536313271605
1.0504951999755576,107,0.5460182428359985,0.0,0.0,1.4572536313271605
1.1206188999931328,113,0.6183517575263977,0.0,0.0,1.4572536313271605
1.1906899999885354,120,0.6953518390655518,0.0,0.0,1.4572536313271605
1.2603467000008095,126,0.7770187258720398,0.0,0.0,1.4572536313271605
1.3302803999977186,136,0.9076857566833496,0.0,0.0,1.4572536313271605
1.4005106999829877,143,0.9986861348152161,0.0,0.0,1.4572536313271605
1.4701942999963649,149,1.0943528413772583,0.0,0.0,1.4572536313271605
1.563301699992735,160,1.2430369853973389,0.0,0.0,1.4572536313271605
1.6632855999923777,170,1.3958706855773926,0.0,0.0,1.4572536313271605
1.7632791999785695,181,1.5501915216445923,0.0,0.0,1.4572536313271605
1.8633191999979317,191,1.7035653591156006,0.0,0.0,1.4572536313271605
1.963339999987511,202,1.8535265922546387,0.0,0.0,1.4572536313271605
2.063310300000012,212,1.997261881828308,0.0,0.0,1.4572536313271605
2.1633088999951724,222,2.132479667663574,0.0,0.0,1.4572536313271605
2.2632749999756925,232,2.256652593612671,0.0,0.0,1.4572536313271605
2.363294099981431,241,2.3656468391418457,0.0,0.0,1.4572536313271605
2.4966237999906298,251,2.482891798019409,0.0,0.0,1.4572536313271605
2.5966668000037316,257,2.5526034832000732,0.0,0.0,1.4572536313271605
2.696658699976979,262,2.6142501831054688,0.0,0.0,1.4572536313271605
2.796663399989484,268,2.676557779312134,0.0,0.0,1.4572536313271605
2.896645400003763,275,2.750272274017334,0.0,0.0,1.4572536313271605
2.963274599984288,281,2.8062469959259033,0.0,0.0,1.4572536313271605
3.0299849000002723,286,2.864455223083496,0.0,0.0,1.4572536313271605
