X,Y,psi,vx,delta,ax
0.000000000000000000e+00,0.000000000000000000e+00,3.008999999999999897e+00,1.008849730028103658e-01,0.000000000000000000e+00,-1.314044776250814818e-03
-1.500000000000000000e+00,2.000000000000000111e-01,2.721003751377621072e+00,8.117430135904814270e-02,-1.191569084603779222e-01,-1.422192910257211260e-03
-2.200000000000000178e+00,8.000000000000000444e-01,2.664790185962526259e+00,5.821918569509403063e-02,1.345303649048468220e-01,-8.733186561382005105e-04
-3.000000000000000000e+00,1.000000000000000000e+00,2.896999999999999797e+00,5.497474167490212782e-02,0.000000000000000000e+00,-2.162962680127935081e-04
