t,position_error,yaw_error,speed_error
0.06435359999886714,5.438923533773732e-09,-1.3351440442121998e-07,0.0
0.13440579999587499,0.00027879408683701817,-0.012244421463022626,-0.02499075912503493
0.20436420000623912,0.0007585001844068816,-0.011690955839972261,-0.050042845632436064
0.2747730999835767,0.0041977183844176605,-0.008980878041662699,-0.09536165585296887
0.34434260000125505,0.007724685157157798,-0.0067105813842553985,-0.13231061087257165
0.4143684000009671,0.01767699465110183,-0.006277834034592367,-0.19276619388700994
0.4848002000071574,0.026318924403285558,-0.0057617030394192525,-0.23804951999631052
0.5547283999912906,0.04497791621568914,-0.005505924154816988,-0.30777622374241276
0.6243289999838453,0.05998069618143995,-0.005038628167905568,-0.3574499491038036
0.6943689000036102,0.08850856698160266,-0.004565433038415723,-0.43059285149700277
0.7643899999966379,0.10339254981520983,-0.0037115582005342596,-0.47955512168661496
0.8347243999887723,0.14204780174538897,-0.0031136766185397846,-0.5513416095141448
0.9048219999822322,0.1707030717599557,-0.0025941528279371795,-0.5976711251633956
0.9744681000011042,0.21896846569936218,-0.002047419629082725,-0.6627462528460543
1.0444961999892257,0.2537517035712525,-0.0016812916189548055,-0.7032315300894385
1.1150847999961115,0.310457528275983,-0.0012709365334422351,-0.7566590604219343
1.1846484999987297,0.3502871351952395,-0.0011071884666531417,-0.7904013555982581
1.2545290999987628,0.41375658207472804,-0.0008178825640698939,-0.8263292730243244
1.3245518000039738,0.4572087686591935,-0.000780702516868903,-0.8465128454648492
1.3946240000077523,0.5253597288846359,-0.0004740083141765439,-0.8706536988382193
1.4646159999829251,0.556764508892064,-0.000892369008836269,-0.8767353105149208
1.5346740999957547,0.6272544818447732,-0.0002944348674192021,-0.8840385316286503
1.6047416999936104,0.6727907522310389,0.00012131900599365864,-0.8776290063122276
1.6744110999861732,0.743140332680847,0.0009509175550874716,-0.8669807657749594
1.7447567000053823,0.786933038780811,0.0012869135104436324,-0.8469864948489683
1.8146129999950062,0.8546544277541215,0.0022595423633764433,-0.8188414383054538
1.8844054999935906,0.8948697221175845,0.0027932698848807114,-0.7860579329311328
1.9543935999972746,0.9575938266550214,0.0042643443106586965,-0.7416014397954006
2.024297199997818,0.9925350423682797,0.005191678175545,-0.6973786344408399
2.094743399997242,1.0481386062174278,0.0073078950489557926,-0.6388208621121666
2.164793500007363,1.05534391994819,0.007688146891336789,-0.584521616978907
2.2344785000022966,1.1020824083319283,0.011168602737202882,-0.5153478833714318
2.3042849999910686,1.1224139858494302,0.01402650297585506,-0.455270999314507
2.3746467999881133,1.159041150722142,0.01829875238112555,-0.37925182210021535
2.4447167000034824,1.1707918722314863,0.020932630248560624,-0.3158005068161365
2.5145355999993626,1.1966955580770209,0.02626941504672775,-0.23831076686350783
2.5845927000045776,1.199677893693562,0.030406083449991517,-0.1754073828399021
2.6546839000075124,1.2150025798127742,0.037758753854661986,-0.10161759169036377
2.7248734000022523,1.2096447883195693,0.04288507943377562,-0.044661666206527006
2.7947748999868054,1.2154218561552401,0.050989320806368976,0.018041210664005214
2.8645756999903824,1.2028652783972136,0.05615262395640874,0.06101895552281056
2.93472789999214,1.1717569478182754,0.06192804629208526,0.1095563838278526
3.004433699999936,1.1539499477974944,0.06649437762378252,0.13841036998876466
3.074335399986012,1.147895327411596,0.07146701213553408,0.15654703857762575
3.1445459999958985,1.127331699916368,0.07270049246498278,0.17460320113327044
3.2145853999827523,1.1188567446182498,0.07299045328006493,0.1973550480668892
3.284374499984551,1.095312437878628,0.0719450611156236,0.2234336549384658
3.3547330999863334,1.0831350994894864,0.07067386898017469,0.2551457871580909
3.424347799998941,1.0559510713516462,0.06900156712508121,0.2858777133026753
3.4945711999898776,1.040257186108895,0.06640800441217243,0.3197918664931392
3.5646874000085518,0.977555333572147,0.06303728617654158,0.3465180008268356
3.634814399993047,0.9592122763399239,0.059993006553153094,0.37681781175176354
3.704339299991261,0.9276755778519554,0.05767264422249152,0.4002176632799771
3.7745498000003863,0.9062953571424027,0.05409874214027033,0.42829802220969937
3.8445146000012755,0.8724130075245788,0.050883182721839226,0.44935396513690573
3.914456500002416,0.8478809012299588,0.04753975767666141,0.47482649097527707
3.9843645000073593,0.8116567401618684,0.04546192907236213,0.4931591432813879
4.054438599996502,0.7840891925926474,0.04373958902737751,0.5159471199377983
4.124415600002976,0.7456880145169964,0.042705541737045216,0.531884798850849
4.194396000006236,0.7153970322591757,0.04270664535234747,0.5506834922131905
4.264287900005002,0.6751151472680397,0.04324718956934959,0.5634567965296859
4.334454099996947,0.6092384394111118,0.045087123709017796,0.5777125823283884
4.43470929999603,0.5474925052491645,0.05141948880050062,0.5924839078864268
4.501380500005325,0.504952075945189,0.05610801232878071,0.5992806533245105
4.568042600003537,0.4620709287661228,0.06060888000760212,0.6042309656523007
4.634666800004197,0.4267454252053357,0.06942902873223034,0.6081475013229306
4.701311299984809,0.38344355329643715,0.07455242637901227,0.6091995360944966
4.767986699996982,0.3401304442527455,0.07905431075503122,0.6084135919711913
4.83463810000103,0.3047282303011474,0.08912098613271224,0.6044811613015019
4.901370100007625,0.26176206753335124,0.09267111951278473,0.6000109705209065
4.968046199996024,0.21913022301483345,0.09298033776032044,0.5935821775930412
5.034670399996685,0.18580820543510937,0.09726732608932531,0.5802588980387765
5.1043941999960225,0.14641226422448247,0.09457086953090466,0.5633271317088537
5.174462700000731,0.11762745755953082,0.09611444798542079,0.5376973917432706
5.244561100000283,0.08270327131280036,0.09071154716114949,0.5125120260339404
5.3146719000069425,0.05910961624066648,0.08729208029871272,0.47969863587072037
5.3844220000028145,0.0298648125046323,0.07635393114394384,0.44915834395473014
5.454473399993731,0.01422293058017646,0.067750857493456,0.4120360381866436
5.524602599994978,0.020277195257704685,0.053641830220504616,0.3787786983003443
5.594435300008627,0.03131928848181344,0.043311218200192236,0.34017593692211845
5.6643708999908995,0.05150731301614872,0.02923528504140993,0.30674949784749495
5.73464859998785,0.08409524257398467,0.0078017229047318,0.26863914473366424
5.804385299998103,0.10011772607324984,-0.0013547985752699887,0.23721337062492243
5.8744796999963,0.10223616403932365,-0.00321240536985945,0.2038674557211303
