t,solve_time,solver_success,solver_status
0.06395510002039373,0.012397600017720833,1,Solve_Succeeded
0.13389310002094135,0.009272999974200502,1,Solve_Succeeded
0.2044439000019338,0.007579600001918152,1,Solve_Succeeded
0.27399180000065826,0.00730719999410212,1,Solve_Succeeded
0.34402160000172444,0.008902700006728992,1,Solve_Succeeded
0.4141136000107508,0.007971399987582117,1,Solve_Succeeded
0.48410460000741296,0.007446199975674972,1,Solve_Succeeded
0.5540330000221729,0.008173900016117841,1,Solve_Succeeded
0.6239575000072364,0.007663500000489876,1,Solve_Succeeded
0.6942566000216175,0.007662499992875382,1,Solve_Succeeded
0.7641730000032112,0.010232300002826378,1,Solve_Succeeded
0.8339247000112664,0.007288299995707348,1,Solve_Succeeded
0.9040135000250302,0.007517199992435053,1,Solve_Succeeded
0.9739889000193216,0.007736200001090765,1,Solve_Succeeded
1.043986100004986,0.007992700004251674,1,Solve_Succeeded
1.114001100009773,0.008035599981667474,1,Solve_Succeeded
1.1843739000032656,0.007739500026218593,1,Solve_Succeeded
1.254318899998907,0.008031500008655712,1,Solve_Succeeded
1.324122600024566,0.011285199987469241,1,Solve_Succeeded
1.394186300021829,0.007505100016715005,1,Solve_Succeeded
1.4641809000167996,0.009633599984226748,1,Solve_Succeeded
1.5339669000240974,0.012988200003746897,1,Solve_Succeeded
1.6039354000240564,0.007830699993064627,1,Solve_Succeeded
1.673980699997628,0.010456900025019422,1,Solve_Succeeded
1.7442587000259664,0.008688500005519018,1,Solve_Succeeded
1.814334599999711,0.009009000001242384,1,Solve_Succeeded
1.8841252000129316,0.008196100010536611,1,Solve_Succeeded
1.9542076000070665,0.009175799990771338,1,Solve_Succeeded
2.0239507000078447,0.01109119999455288,1,Solve_Succeeded
2.094039800023893,0.010027099982835352,1,Solve_Succeeded
2.1640646000159904,0.009803099994314834,1,Solve_Succeeded
2.2340946000185795,0.01029570001992397,1,Solve_Succeeded
2.304299900017213,0.010071800003061071,1,Solve_Succeeded
2.374338399997214,0.008675000019138679,1,Solve_Succeeded
2.4438831000006758,0.008915000013075769,1,Solve_Succeeded
2.5142429000115953,0.011196200008271262,1,Solve_Succeeded
2.5843569000135176,0.00936809999984689,1,Solve_Succeeded
2.6538635000179056,0.00886590001755394,1,Solve_Succeeded
2.724270400009118,0.007885300001362339,1,Solve_Succeeded
2.794339600019157,0.007437099993694574,1,Solve_Succeeded
2.8642428000166547,0.00766289999592118,1,Solve_Succeeded
2.934153000009246,0.008871400001225993,1,Solve_Succeeded
3.0042878000240307,0.010951900010695681,1,Solve_Succeeded
3.0738616000162438,0.009208700008457527,1,Solve_Succeeded
3.14397380000446,0.011419700022088364,1,Solve_Succeeded
3.214136000024155,0.009680299990577623,1,Solve_Succeeded
3.2838594000204466,0.011663799989037216,1,Solve_Succeeded
3.3542190000007395,0.01178899998194538,1,Solve_Succeeded
3.4243740000238176,0.013663599995197728,1,Solve_Succeeded
3.494005400018068,0.012591599981533363,1,Solve_Succeeded
3.564152400009334,0.011929300002520904,1,Solve_Succeeded
3.6342618000053335,0.014865500008454546,1,Solve_Succeeded
3.703887300012866,0.016170599992619827,1,Solve_Succeeded
3.774379400012549,0.01124089999939315,1,Solve_Succeeded
3.843985800020164,0.013108300016028807,1,Solve_Succeeded
3.9141230000241194,0.01131050000549294,1,Solve_Succeeded
3.9841952999995556,0.012080399988917634,1,Solve_Succeeded
4.05395000000135,0.01605740000377409,1,Solve_Succeeded
4.124259300006088,0.0143804999825079,1,Solve_Succeeded
4.194087600015337,0.012818000017432496,1,Solve_Succeeded
4.264242700010072,0.011085600010119379,1,Solve_Succeeded
4.334181800018996,0.01382029999513179,1,Solve_Succeeded
4.403962900018087,0.011898099997779354,1,Solve_Succeeded
4.474240700015798,0.014567799982614815,1,Solve_Succeeded
4.543921400007093,0.011664200021186844,1,Solve_Succeeded
4.61420700000599,0.014104500005487353,1,Solve_Succeeded
4.684016600018367,0.014367399999173358,1,Solve_Succeeded
4.754278600012185,0.01636419998249039,1,Solve_Succeeded
4.8242979000206105,0.01224689997616224,1,Solve_Succeeded
4.894207600009395,0.011304799991194159,1,Solve_Succeeded
4.963969800010091,0.025113900017458946,1,Solve_Succeeded
5.034100200020475,0.010646500013535842,1,Solve_Succeeded
5.104279000021052,0.008536100009223446,1,Solve_Succeeded
5.173889400000917,0.008629499992821366,1,Solve_Succeeded
5.244003400002839,0.014406200003577396,1,Solve_Succeeded
5.314061500015669,0.00948380000772886,1,Solve_Succeeded
5.384087600017665,0.008657500002300367,1,Solve_Succeeded
5.453993000002811,0.010895100014749914,1,Solve_Succeeded
5.524212800024543,0.01177890002145432,1,Solve_Succeeded
5.594242999999551,0.009721899987198412,1,Solve_Succeeded
5.6643469000118785,0.008578100008890033,1,Solve_Succeeded
5.733905700006289,0.009097300004214048,1,Solve_Succeeded
5.804081400012365,0.010013299994170666,1,Solve_Succeeded
5.874091000005137,0.008163300022715703,1,Solve_Succeeded
5.944006300007459,0.008983099978649989,1,Solve_Succeeded
6.0139062000089325,0.009535300021525472,1,Solve_Succeeded
6.084205600025598,0.009364899975480512,1,Solve_Succeeded
6.154280100017786,0.012544099998194724,1,Solve_Succeeded
6.2243567000259645,0.00956959999166429,1,Solve_Succeeded
6.293934500019532,0.007906399987405166,1,Solve_Succeeded
6.363960100017721,0.007357099995715544,1,Solve_Succeeded
6.434265400021104,0.009719699999550357,1,Solve_Succeeded
6.504226600023685,0.009837299992796034,1,Solve_Succeeded
6.574110200017458,0.008570899983169511,1,Solve_Succeeded
6.644000300002517,0.011643300007563084,1,Solve_Succeeded
6.714184500015108,0.010083600005600601,1,Solve_Succeeded
6.783912400016561,0.008344800007762387,1,Solve_Succeeded
6.854229700024007,0.008884699986083433,1,Solve_Succeeded
6.9240240000071935,0.013081299985060468,1,Solve_Succeeded
6.9943019000056665,0.011325900006340817,1,Solve_Succeeded
7.064066200022353,0.007558300014352426,1,Solve_Succeeded
