t,vx_cmd,delta_cmd,ax_cmd
0.06395510002039373,0.020999906505266185,0.5205948522529366,0.29999866436094547
0.13389310002094135,0.041999839500629785,0.5215905094265175,0.29999904279090855
0.2044439000019338,0.06299978380380458,0.269828993564637,0.29999920433106847
0.27399180000065826,0.08399973921440532,0.08501830989052266,0.299999363008582
0.34402160000172444,0.1049997003026623,0.04442282765797136,0.29999944411795687
0.4141136000107508,0.12599966770096535,0.02373385705476085,0.29999953426147197
0.48410460000741296,0.1469996384705118,0.01702962347448925,0.2999995824220924
0.5540330000221729,0.1679996132536478,0.012424508885030734,0.29999963975908545
0.6239575000072364,0.18899959022691307,0.010221370421821982,0.29999967104664665
0.6942566000216175,0.2099995699207923,0.007919423146498782,0.2999997099125603
0.7641730000032112,0.2309995508812326,0.005467767264881706,0.2999997280062902
0.8339247000112664,0.25199953380816853,0.0031484313518776175,0.29999975609908414
0.9040135000250302,0.2729995178137331,0.0013278195997516958,0.2999997715080655
0.9739889000193216,0.2939995032369696,-0.0009074349172530652,0.2999997917605216
1.043986100004986,0.3149994894311505,-0.0023585092082015553,0.29999980277401317
1.114001100009773,0.33599947666633795,-0.0041559490596188515,0.29999981764553474
1.1843739000032656,0.3569994644543966,-0.004841049757646534,0.2999998255436955
1.254318899998907,0.37799945301509974,-0.006013469252194842,0.2999998365814729
1.324122600024566,0.39899944196902803,-0.005958198657676881,0.29999984219897546
1.394186300021829,0.4199994313195098,-0.00675703013795538,0.2999998478640253
1.4641809000167996,0.44099942057766883,-0.004373532872353422,0.29999984654512935
1.5339669000240974,0.4619994100413939,-0.005771061815701282,0.29999984948178665
1.6039354000240564,0.48299939951306975,-0.0063297797738229925,0.2999998495953698
1.673980699997628,0.5039993890387782,-0.007961419174317818,0.2999998503672638
1.7442587000259664,0.5249993785720904,-0.007398063923872122,0.2999998504758902
1.814334599999711,0.5459993681296816,-0.008397606352419436,0.29999985082273084
1.8841252000129316,0.5669993576925457,-0.0075288942046966645,0.2999998508980583
1.9542076000070665,0.5879993472898961,-0.008908229962439444,0.2999998513907203
2.0239507000078447,0.6089993369169341,-0.008134184911780007,0.29999985181482797
2.094039800023893,0.6299993278337143,-0.00978526124429874,0.2999998702397169
2.1640646000159904,0.6509993173347645,-0.004166148802227032,0.29999985001500207
