t,ref_index,X_ref,Y_ref,psi_ref,vx_ref
0.06395510002039373,0,0.0,0.0,3.14,0.0
0.13389310002094135,4,-0.0009786558893093709,-8.955349775508682e-06,3.1540665847217104,0.02761497205323597
0.2044439000019338,7,-0.00355745656284169,-4.8819962886875296e-05,3.158986971256253,0.059873807521438206
0.27399180000065826,11,-0.010495237334427518,-0.0001852576726671132,3.1627609251351894,0.11587737544924383
0.34402160000172444,14,-0.018919903191749833,-0.0003719126705887108,3.164514418837279,0.16606431908425734
0.4141136000107508,18,-0.03516746150500241,-0.0007586283156830313,3.1660495784395204,0.24172426940635788
0.48410460000741296,21,-0.051504097607945595,-0.0011650626686444548,3.1668092252611197,0.30363021986670075
0.5540330000221729,25,-0.07925383317695552,-0.0018753077108842385,3.1674694505574257,0.39112328710270894
0.6239575000072364,28,-0.1047477332679599,-0.0025393708572178366,3.1677677166280094,0.459222837959273
0.6942566000216175,32,-0.1451614685670757,-0.0036022354535197743,3.167964239287216,0.5516380864177478
0.7641730000032112,35,-0.1803328718483592,-0.00453067440608311,3.16798726798327,0.6210903068214125
0.8339247000112664,39,-0.2336695278177453,-0.005936470217012492,3.1678771908141172,0.7124295771618858
0.9040135000250302,42,-0.27840937573047175,-0.007108966669610804,3.1676997976845254,0.7790781833695096
0.9739889000193216,46,-0.3441526474816665,-0.008814609667944813,3.167346183534743,0.8642562405858675
1.043986100004986,49,-0.39781834048511433,-0.010187817101753495,3.166996267987994,0.9246296823822995
1.114001100009773,53,-0.4748043730065867,-0.01212221038104446,3.166417589385636,0.9994743227687798
1.1843739000032656,56,-0.5363155273573174,-0.013633791171031516,3.165897882380248,1.050785866531682
1.254318899998907,60,-0.6228605912200256,-0.015703207754170237,3.165085486115116,1.1120380411270303
1.324122600024566,63,-0.6907947957510506,-0.017275870275518728,3.164381210883589,1.1521858769156241
1.394186300021829,67,-0.7848229628140008,-0.01936933592329775,3.1633049015075567,1.1974998608033285
1.4641809000167996,70,-0.8575115357139518,-0.020914871657828286,3.1623854955548776,1.2250672545555767
1.5339669000240974,74,-0.9566823548297535,-0.022909547677505165,3.160993389126473,1.253010892487672
1.6039354000240564,77,-1.0323061004220495,-0.02433286832009836,3.1598108811026697,1.267266409592012
1.673980699997628,81,-1.1341422731424755,-0.026099434373958983,3.1580254624699577,1.2773214794131291
1.7442587000259664,84,-1.2108272386644914,-0.0273026089389779,3.1565102482223653,1.2782193166761808
1.814334599999711,88,-1.312842294946035,-0.028710645852899733,3.1542210719756336,1.2707820689273304
1.8841252000129316,91,-1.3887555273282703,-0.029596937780612405,3.152275191210111,1.2589625456680666
1.9542076000070665,95,-1.4885815012377017,-0.030520310352627797,3.149328305779694,1.2353444947265027
2.0239507000078447,98,-1.5620268038829486,-0.030998214615629602,3.146816442038099,1.212134761874303
2.094039800023893,102,-1.657541909302874,-0.03132045442448908,3.1430014927885894,1.1745637986249833
2.1640646000159904,105,-1.7270555988653857,-0.031307734634125284,3.1397413829292407,1.1419787959844283
2.2340946000185795,109,-1.816511905199806,-0.030927422847860837,3.134781062962891,1.0936005882315323
2.304299900017213,112,-1.8809585683644647,-0.030355148360649023,3.1305398581282917,1.0543441152668411
2.374338399997214,116,-1.9631096762443303,-0.029191298545137353,3.1240972843974597,0.9992233345517573
2.4438831000006758,119,-2.0217779265058162,-0.028007881569189885,3.118613525681005,0.9566885252082967
2.5142429000115953,123,-2.0960066434945883,-0.02600532249671575,3.1103601664046883,0.899808121729597
