controller,run,number_of_samples,mean_solve_time_s,mean_solve_time_ms,max_solve_time_s,max_solve_time_ms
NMPC,run_Mk1Gu_1_Done,284,0.006968857768044141,6.968857768044141,0.0200491999275982,20.0491999275982
FLMPC,run_ObsAv_Mk1_1_Done,284,0.0013235426052066333,1.3235426052066332,0.0052242999663576,5.2242999663575995
