t,X_e,Y_e,Psi_e,vx_e
0.05356000000028871,9.53674295089968e-09,-1.5161930377871613e-08,-1.3351440442121998e-07,0.0
0.12391150000621565,0.0002787160427825395,8.778980804525406e-06,-0.01224346778870622,-0.024989485734368065
0.19361529999878258,0.000757673893669999,3.922392339674131e-05,-0.011692147932867769,-0.0500286532743445
0.26389810000546277,0.0041958701599213305,0.0001369902249573088,-0.008985169576086527,-0.09537671885613282
0.3336231999855954,0.007721377874736569,0.0002467391767181768,-0.006714872918679227,-0.13230883173975716
0.4038847000047099,0.01767004119402829,0.0005211276131864132,-0.006279264546066976,-0.19288990819171137
0.47385740000754595,0.026308392834877167,0.000779503038995531,-0.0057578883421536275,-0.2381242772723735
0.543890700006159,0.04496030080543452,0.0013060594299306226,-0.00549400322586191,-0.3077147570499624
0.613508999987971,0.05995686555188591,0.001749700059687275,-0.005014071054258107,-0.3573156189201311
0.6836772999959067,0.08847380060118673,0.0025544555311461815,-0.0045229945313356446,-0.43067984131594206
0.7536859000101686,0.10335094737411984,0.0030266387394981414,-0.003637648441012775,-0.47960148453209406
0.8237719000026118,0.14199196641542444,0.004092004484438029,-0.003017593931161855,-0.5511501789917153
0.8940779000113253,0.17063674974771037,0.004885187687895363,-0.0024758972127028045,-0.5976547182110079
0.9638575999997556,0.21888548456262202,0.006174180016580129,-0.0019081831788874126,-0.6626379260873767
1.033870699990075,0.2536570565152352,0.007095777026764295,-0.001522981682431368,-0.7024759658407855
1.1037293999979738,0.31034937642074073,0.00854739270680995,-0.0010961757149607898,-0.7571633836993685
1.1737156999879517,0.3501661686079277,0.009549188707041066,-0.000921221974953923,-0.7872875947532392
1.2439212999888696,0.4136179343930526,0.011087154910539923,-0.000621664073469308,-0.8276941546419365
1.313713799987454,0.45705887675233237,0.01211123677047236,-0.0005775698874743718,-0.8470323597857226
1.3837960000091698,0.5251937132412469,0.013644461132539854,-0.00027063726620291106,-0.87149938202063
1.4538135000038892,0.5565919731357505,0.01434059528876324,-0.0006870906122298237,-0.8774884363007411
1.5236381999857258,0.6270688182334553,0.01577682561265245,-0.00010775311998267867,-0.8844688168599728
1.5936030999873765,0.6725985363065252,0.016636446968814573,0.0002989408474243227,-0.8784155877077093
1.6636706999852322,0.7429403895880169,0.0178413579892954,0.0011576264631685262,-0.8673762120135655
1.7337544999900274,0.7867250515078141,0.01849299866901416,0.0015239015780705856,-0.8471437094144364
1.8040810000093188,0.8544449660924278,0.019370818740046206,0.0025172728473852324,-0.8189614280702842
1.8738710999896284,0.8946544798124012,0.01975294943653911,0.003066497576531102,-0.7861675268998601
1.943798499996774,0.9573842513483279,0.02020752682078318,0.004557360744374517,-0.7418383488127065
2.0139331000100356,0.9923327020724932,0.02025587158475964,0.005515212187385821,-0.6979021679330677
2.083891299989773,1.0479504252330498,0.020199994428325235,0.0076741059864557926,-0.6386344384117961
2.1537884999997914,1.0551669494017322,0.01973380529447799,0.008151871027689328,-0.5843352565190444
2.2237681999977212,1.1019246935909193,0.01913576984804251,0.011705759795918702,-0.5154598046882631
2.293799700011732,1.1222725026906366,0.018386543140331182,0.014616112121973224,-0.45530877525108227
2.3637884999916423,1.1589246433997868,0.01713279275669188,0.018818743302146057,-0.37913460863374504
2.43360349998693,1.170693932594073,0.01600309167288051,0.020724967666163163,-0.3160866686141106
2.504024499998195,1.1966243502702536,0.014254040467861856,0.02526066603854904,-0.23978429199627038
2.5740255000127945,1.19962345703811,0.012827109027474571,0.029597129211099915,-0.1750870935918445
2.6435333999979775,1.214964689325475,0.010481789488443999,0.03765146549406628,-0.10122509827217996
2.7138159000023734,1.2096219618623953,0.00867088426077427,0.043064370205259994,-0.044084856714864395
2.7835901000071317,1.2154175096063593,0.005827471122710381,0.050905159047946125,0.018562411113817068
2.8536311000061687,1.1748784969759951,0.004459934962234851,0.05394129163524175,0.06551282204165232
2.923924900009297,1.1731621009572328,0.0013402128483629783,0.06244565302731475,0.10956073454639825
2.9936843999894336,1.1553546616390564,-0.0008425173920321694,0.06788841105578935,0.13864525208831968
3.063532700005453,1.1492930648953714,-0.004401971189279236,0.07152852412894228,0.1565337511681303
3.13365169998724,1.1287214698361336,-0.006642930792386061,0.07165908011146715,0.1747576021450883
3.2038073999865446,1.1202226700341567,-0.010227735370246023,0.07233957055911766,0.1972795361486508
3.2735362999956124,1.0966569150767875,-0.012337645857652587,0.07218467178762067,0.22331876726218047
3.343580699991435,1.084435994340463,-0.015704072778650314,0.07104294094062391,0.2550808620294023
3.4136859999853186,1.0572228866113456,-0.017437781810953897,0.06885136342024722,0.28595308683840015
3.483883100008825,1.0414763949132766,-0.020263099007094963,0.0659755131096822,0.3196002652516239
3.553667600004701,0.9787639246518527,-0.02018671538719982,0.06304157771096541,0.3464220018950389
3.623863299988443,0.9603674757536651,-0.02241754970704877,0.060162522162894305,0.37677942892407157
3.6942127000074834,0.9288028412715601,-0.023199014431073604,0.057656431759112614,0.4003184489188075
3.7635091000120156,0.9073733879359249,-0.024821186640242875,0.05390490783546076,0.4282309840962769
3.833689499995671,0.8734712190166225,-0.025062089546774295,0.0507267801339486,0.4491502668606948
3.9034784999967087,0.8489001066845394,-0.0260299001350904,0.047513054795802034,0.4746050459053277
3.973931199987419,0.8126654554009671,-0.025804857972850585,0.04547575734995002,0.4934674694380222
4.043668900005287,0.78506813808524,-0.026270719369559638,0.04369834261319294,0.5157724645112487
4.113761399989016,0.7466650714621377,-0.025678286682109724,0.04261637318846123,0.5319998432127966
4.183515399985481,0.7163533581965793,-0.025745651957669466,0.04262892089556036,0.5507964069669957
4.253482400003122,0.6427876175690375,-0.023148179541417332,0.04225393776881248,0.5635382978383559
4.323837900010403,0.6102261832314477,-0.02292297862090467,0.04576828558951096,0.5780554757368351
4.393765999993775,0.5684699994414526,-0.02187327712706484,0.0493508527525659,0.5874840799804206
4.463741099985782,0.534230034553651,-0.021625809723578124,0.055166274788646774,0.597279739584853
4.533849700004794,0.4914669230050426,-0.020388966413074625,0.058762606987315724,0.601369093329261
4.603770799993072,0.4562176920869714,-0.019992745916526736,0.06642758835745477,0.6078203246416842
4.673955600010231,0.41296965212777614,-0.0184821759935051,0.07146945333418842,0.6091399335299894
4.744126000005053,0.3774102089882563,-0.017999097338317435,0.08100910468508493,0.6085351746256324
4.813931799988495,0.33421776066485975,-0.01615584188666913,0.08572765388583203,0.6058608228305433
4.883685800014064,0.299065407314171,-0.015487340910545003,0.09431120091842438,0.5999187221760263
4.954304699989734,0.22338411219530574,-0.00902384115355935,0.0889293676828058,0.5935806382172163
5.023828500008676,0.19005737107868903,-0.007580326505171334,0.09653871891159094,0.580671886316599
5.093790499988245,0.1506538953157568,-0.004325776121999747,0.09853815468715466,0.5638694485208737
5.163705999992089,0.12177881337980345,-0.003055280064112348,0.10174970952106532,0.5385349987501495
5.233616699988488,0.08676462885923453,0.0007184340874429318,0.09545655372242878,0.5131486098752548
5.303601499996148,0.06299775298972987,0.0023306834478391547,0.09060848273401545,0.4803140646057341
5.373765900003491,0.03283331272850898,0.007006601585518607,0.07884206743544775,0.45026152048283835
5.443763099989155,0.014601571545097336,0.008987719612158857,0.07013575854020893,0.4133117421197483
5.5140566999907605,-0.010457137823259632,0.014406124746619425,0.0562792165425261,0.38004933995476065
5.583555199991679,-0.023003976259943215,0.016435109205062387,0.0461586512904022,0.34170031089692987
5.653667000005953,-0.06767308488026647,0.03139507710445935,0.018663328406888446,0.30686563696236
5.723921900003916,-0.07448464980420866,0.03361374126251587,0.012947749516059925,0.2704583896881618
5.793843299994478,-0.08946293104741487,0.03955773246649233,0.006724014977586457,0.2387597483266478
5.863843900006032,-0.09147955463153012,0.040454848970506,0.0022848118084852764,0.2054780250239998
5.93372349999845,-0.10220684964416371,0.04575157110123296,-0.008603598735444695,0.17753010766195465
6.003735400008736,-0.10005289176385945,0.04568597287598081,-0.01565793990201403,0.150683108860323
6.073608700011391,-0.10714307836681325,0.05051304458280775,-0.026122887320346067,0.12791984189983163
6.144051100010984,-0.10151799878030499,0.04933520705320921,-0.03092327538634132,0.09598777258176949
6.21376230000169,-0.10472235181564216,0.052958274184534804,-0.03834605505603683,0.06033270113632527
6.284094400005415,-0.09421704457785918,0.049174320501775504,-0.038534202168538645,0.014550817083223144
6.353968999988865,-0.10952833286245411,0.06125680925820881,-0.04918089315878049,-0.026184360491918524
6.423576700006379,-0.09436399438575638,0.0545510455618044,-0.044701975130834626,-0.07112239287372679
6.493642799992813,-0.0900474454411464,0.054083654882515264,-0.04398403014091512,-0.10347798966176602
6.563909699994838,-0.07305080297001698,0.04532744177254777,-0.039346640118274046,-0.132308382243984
6.6335102999873925,-0.06872247220485939,0.04472536767795032,-0.04282408177655039,-0.1457545377415217
6.7040324000117835,-0.05205130586788975,0.035530686258745114,-0.041432651821624145,-0.15378275359134075
6.774069200007943,-0.04860647066515966,0.03580510625015987,-0.047180001376522895,-0.1498057095990294
6.843882799992571,-0.03350066729584,0.027069345363461506,-0.043946428698934614,-0.13925185806039075
6.913645099994028,-0.03183740618915731,0.028995171810434206,-0.04799233004774495,-0.12144165742507029
6.9838288000028115,-0.019687037377604355,0.02161156062952818,-0.04072060808023581,-0.09554273889874221
7.053906799992546,-0.03732981838282168,0.04516816984036065,-0.06440151704103947,-0.06711420676097934
7.123747600009665,-0.02782497511932469,0.04020039450998669,-0.050733375580787055,-0.03549354430360352
7.194098500011023,-0.029342284746049607,0.04643836021205716,-0.047571367257474684,-0.011765273018787381
7.263526900002034,-0.021966494217922516,0.041141660619473885,-0.03340278296530785,0.011302793433693004
7.333815699996194,-0.023273335102866,0.04709516319410478,-0.03827588146062855,0.022716698460260587
7.403813499986427,-0.01669412562363437,0.040699418856819713,-0.029643515359208283,0.03031336816108865
7.4735966000007465,-0.016977404636371318,0.04564858295320473,-0.037092642246343566,0.027222218460506986
7.543491099990206,-0.010740470886230646,0.037592172622680664,-0.03311388579016272,0.018922428051446283
7.613959500013152,-0.01017466573696435,0.041440448552644726,-0.037525120922204724,0.007841423273268422
7.68375249998644,-0.004731738688070308,0.032285631785036406,-0.02475817502218014,0.0018125990046816698
7.753940299997339,-0.010453134479440962,0.057787626269172554,-0.04424301511822515,-0.0014180564784284089
7.823798099998385,-0.005466830778479981,0.04858900705969371,-0.032729144417539935,-0.003026857579354836
7.894025899993721,-0.004533161820751808,0.052185259539026196,-0.032001536965649,-0.005397114118383062
7.963903800002299,-0.0007955164493678168,0.042260493442117575,-0.022464466043167874,-0.006744109784974195
8.033770799986087,0.0001781492598231793,0.04568428152383719,-0.027480114398133804,-0.009474174207136032
8.103937700012466,0.002983750612243874,0.035827513610620976,-0.02186331740768921,-0.008380635077733789
8.173613099992508,0.004230065497030644,0.03972898071978981,-0.02811370449637174,-0.008257904158303297
8.243484800012084,0.006217528321702304,0.030525689743253093,-0.022177470600790894,-0.006701997968486917
8.313849500002107,0.007772269526354236,0.03531173491286976,-0.02722404967069414,-0.00441391805468927
8.383630399999674,0.009016289713823511,0.027099261715286538,-0.020590237625865093,-0.0007772552427162127
8.453951200004667,0.014147968418178003,0.056282188874954064,-0.0433099705585569,0.003700527052931779
8.52348790000542,0.015488877454770567,0.04856833936501759,-0.03254586924758662,0.006821193076050447
8.59368550000363,0.018084208327634244,0.054036394027369594,-0.029084813150177524,0.007544647469874488
8.663661800004775,0.01797459324170081,0.045672875378759414,-0.018540590560007342,0.005325964592405086
8.73411920000217,0.02038527523456768,0.05049029754598444,-0.021738906049009188,0.004044415584332106
8.80401660001371,0.0194308429274761,0.04162284964739449,-0.017371171114916706,-0.0023318993128489396
8.874016999994637,0.02216549006213686,0.04603915046501217,-0.023540507387392218,-0.00045570446946152643
8.943801399989752,0.02069743340929353,0.03707792196856996,-0.01991795445446254,-0.002872374869599903
9.014128999988316,0.02392857667141879,0.041439273340023286,-0.0257807932172871,-0.0033472020379849976
9.083647499996005,0.02204213294959878,0.03275196515793466,-0.021081241942960904,-0.0034673260978773657
9.153700700000627,0.037508444026828514,0.05886252209861631,-0.04720960636062621,-7.026906360407814e-05
9.223938100010855,0.035878144840006065,0.04998683319279573,-0.0374559910190424,0.002056159248702838
