t,vx_cmd,delta_cmd,ax_cmd
0.05356000000028871,0.02099844802816247,0.5209354739730273,0.2999778289737495
0.12391150000621565,0.041997324639321765,0.5211898229986985,0.29998395158798996
0.19361529999878258,0.06299652416012326,0.2698179362351971,0.2999885645828785
0.26389810000546277,0.083995892183335,0.08507544084783879,0.2999909717601677
0.3336231999855954,0.1049953475172049,0.044532247416227716,0.29999221905528434
0.4038847000047099,0.12599484752739287,0.02389343314962237,0.2999928572883995
0.47385740000754595,0.14699437699700668,0.01724241893542421,0.29999327813734017
0.543890700006159,0.16799393236064714,0.012705484312227483,0.29999364805200657
0.613508999987971,0.18899350308447319,0.010525459623536636,0.29999386748322915
0.6836772999959067,0.2099930868512006,0.008241027186196624,0.29999405381039157
0.7536859000101686,0.23099267316319,0.005750362325655025,0.2999940901712769
0.8237719000026118,0.2519922724071911,0.0034114056293148773,0.2999942749143013
0.8940779000113253,0.2729918769636344,0.0015525992572705152,0.29999435080633374
0.9638575999997556,0.2939914885737615,-0.0007235208299802625,0.29999445157324417
1.033870699990075,0.3149911047188902,-0.0022247311379353114,0.2999945163589814
1.1037293999979738,0.33599072720446027,-0.004070038958028977,0.29999460693671554
1.1737156999879517,0.3569903534984849,-0.00478299243895843,0.2999946613432087
1.2439212999888696,0.3779899852712895,-0.0059629560242489,0.2999947396114948
1.313713799987454,0.3989896204962365,-0.005929512792770752,0.2999947889278136
1.3837960000091698,0.41998926046846735,-0.006724688217540375,0.29999485674615545
1.4538135000038892,0.4409890086919075,-0.004652034518201396,0.29999640319200194
1.5236381999857258,0.4619886556692544,-0.0056309774725045786,0.2999949568192412
1.5936030999873765,0.4829883039215846,-0.006130867515251537,0.2999949750332884
1.6636706999852322,0.5039879534218037,-0.007803435402753361,0.29999499286027254
1.7337544999900274,0.5249876033682761,-0.00731830914452266,0.2999949992353202
1.8040810000093188,0.545987253608414,-0.008302893001207302,0.2999950034305428
1.8738710999896284,0.5669869030182076,-0.007412959447966225,0.29999499156848064
1.943798499996774,0.5879865514631172,-0.008712232926551365,0.2999949777844217
2.0139331000100356,0.6089861983018572,-0.007908370004705201,0.2999949548391426
2.083891299989773,0.6299858402618763,-0.009425604831706439,0.2999948851431311
2.1537884999997914,0.6509854635378479,-0.003844602745135424,0.29999461822816553
2.2237681999977212,0.6719850702714268,-0.00815909985569131,0.2999943819082705
2.293799700011732,0.6929846426903352,-0.011482069754408256,0.2999938916986907
2.3637884999916423,0.7139842074390534,-0.018912400658044812,0.2999937821245466
2.43360349998693,0.7349838572542708,-0.011976608664791031,0.299994997360248
2.504024499998195,0.7559835190356,-0.008856481433707044,0.29999516830470296
2.5740255000127945,0.7769832847864441,-0.007652868376325863,0.29999665358348715
2.6435333999979775,0.7979829505061643,-0.013634606392043988,0.29999522456743205
2.7138159000023734,0.8189826168278825,-0.012976009009800255,0.2999952331674036
2.7835901000071317,0.8399822838060862,-0.01335660520222586,0.29999524254576587
2.8536311000061687,0.860981942001523,-0.0014442845951455753,0.2999951170776692
2.923924900009297,0.8819816105208014,-0.006844923010753774,0.29999526456111963
2.9936843999894336,0.9029812824646052,-0.010328062035346785,0.2999953134829111
3.063532700005453,0.923980954782941,-0.008311785468832147,0.29999531883336844
3.13365169998724,0.9449806177456747,-0.0029934085294122535,0.2999951851819095
3.2038073999865446,0.9659803722910476,-0.0035179041034287444,0.29999649350532737
3.2735362999956124,0.986979998655821,-0.004438520422057511,0.2999946623539045
3.343580699991435,1.0,-0.005644670084616732,0.2999941677510681
3.4136859999853186,1.0,-0.003356318567853187,0.29999332810110885
3.483883100008825,1.0,-0.0028085963110306973,0.2999917126715849
3.553667600004701,1.0,-0.000638847594260665,0.2999866368606737
3.623863299988443,1.0,-0.0029310810293260944,0.2999867224642018
3.6942127000074834,1.0,-0.0038597070779829465,0.2994946954880138
3.7635091000120156,1.0,-0.00386427770606813,0.22419870427403688
3.833689499995671,1.0,-0.0021455814765870863,0.16968454668277713
3.9034784999967087,1.0,-0.002457624526278224,0.1278507817192856
3.973931199987419,1.0,-0.0026778086937741985,0.0928480353245355
4.043668900005287,1.0,-0.004243207493072283,0.07242702610973298
4.113761399989016,1.0,-0.004018942568034477,0.05029847612891744
4.183515399985481,1.0,-0.005711148610760665,0.03858618518305538
4.253482400003122,1.0,-0.0015377222242544987,0.029602691993461848
4.323837900010403,1.0,-0.007119036731128789,0.023713687789412626
4.393765999993775,1.0,-0.010905180919977553,0.016405593886059614
4.463741099985782,1.0,-0.016967021263053193,0.01247137656897293
4.533849700004794,1.0,-0.015734805102375564,0.02949457094897432
4.603770799993072,1.0,-0.022002000620790472,0.001265136616427225
4.673955600010231,1.0,-0.021902223759973367,0.0023467252095874156
4.744126000005053,0.9999981293689117,-0.03219011854802152,-2.6723301261409938e-05
4.813931799988495,1.0,-0.032656242624587314,0.0019246867309375534
4.883685800014064,1.0,-0.04506351228832964,0.0020513329193190943
4.954304699989734,0.9802344834646194,-0.03262181005698853,-0.28236452193400924
5.023828500008676,0.959239388737607,-0.05021029632993198,-0.2999299246716067
5.093790499988245,0.9382414431356266,-0.05740885428987589,-0.29997065145686197
5.163705999992089,0.917243038295401,-0.07939604694186288,-0.29997721200322264
5.233616699988488,0.8962441902451557,-0.0795348825887028,-0.29998354357493334
5.303601499996148,0.8752452958293496,-0.09440571536704523,-0.29998420594008646
