t,x,y,theta,v,phi,phi_dot
2.399999999999999911e-01,-4.057021248104636157e+00,-1.046193357978892680e+00,-3.805672476800442405e-01,3.498301585063651742e-01,-3.640875005513222597e-04,-1.407998192453191987e-03
2.600000000000000089e-01,-4.050525505057401610e+00,-1.048792152138958489e+00,-3.805775309239990967e-01,3.498008519105909597e-01,-3.920705943444699666e-04,-1.390328638632378237e-03
2.800000000000000266e-01,-4.044030355289859990e+00,-1.051390789275506332e+00,-3.805885694542348041e-01,3.497692437518039599e-01,-4.197013369585845415e-04,-1.372762714885340189e-03
3.000000000000000444e-01,-4.037535843426407034e+00,-1.053989257173910898e+00,-3.806003535085628608e-01,3.497353403695381835e-01,-4.469817794926459354e-04,-1.355298274815312006e-03
3.200000000000000067e-01,-4.031042013947502056e+00,-1.056587543600475909e+00,-3.806128733681731768e-01,3.496991480972729271e-01,-4.739139303472725967e-04,-1.337933194903281149e-03
3.400000000000000244e-01,-4.024548911189840261e+00,-1.059185636302504951e+00,-3.806261193568855616e-01,3.496606732624065739e-01,-5.004997556775086934e-04,-1.320665374032102546e-03
3.600000000000000422e-01,-4.018056579346513502e+00,-1.061783523008374530e+00,-3.806400818404083730e-01,3.496199221862326678e-01,-5.267411798361683675e-04,-1.303492733018420764e-03
3.800000000000000044e-01,-4.011565062467187026e+00,-1.064381191427605566e+00,-3.806547512256034937e-01,3.495769011839155449e-01,-5.526400858078917922e-04,-1.286413214152239267e-03
4.000000000000000222e-01,-4.005074404458262016e+00,-1.066978629250935340e+00,-3.806701179597594686e-01,3.495316165644666295e-01,-5.781983156340719755e-04,-1.269424780743983469e-03
4.200000000000000400e-01,-3.998584649083045672e+00,-1.069575824150389431e+00,-3.806861725298718580e-01,3.494840746307210089e-01,-6.034176708287968894e-04,-1.252525416678868485e-03
4.400000000000000022e-01,-3.992095839961922632e+00,-1.072172763779354998e+00,-3.807029054619293085e-01,3.494342816793144513e-01,-6.282999127859458096e-04,-1.235713125978404620e-03
4.600000000000000200e-01,-3.985608020572516175e+00,-1.074769435772651605e+00,-3.807203073202076737e-01,3.493822440006614793e-01,-6.528467631775882948e-04,-1.218985932368889247e-03
4.800000000000000377e-01,-3.979121234249864525e+00,-1.077365827746602722e+00,-3.807383687065705735e-01,3.493279678789327214e-01,-6.770599043438253403e-04,-1.202341878856729362e-03
5.000000000000000000e-01,-3.972635524186584277e+00,-1.079961927299108781e+00,-3.807570802597760595e-01,3.492714595920336507e-01,-7.009409796741980416e-04,-1.185779027310422239e-03
5.200000000000000178e-01,-3.966150933433039594e+00,-1.082557722009720003e+00,-3.807764326547895539e-01,3.492127254115834356e-01,-7.244915939807989669e-04,-1.169295458049055599e-03
5.400000000000000355e-01,-3.959667504897511847e+00,-1.085153199439705674e+00,-3.807964166021051700e-01,3.491517716028937346e-01,-7.477133138632342324e-04,-1.152889269437199372e-03
5.600000000000000533e-01,-3.953185281346367486e+00,-1.087748347132129423e+00,-3.808170228470702523e-01,3.490886044249488784e-01,-7.706076680655245346e-04,-1.136558577485978928e-03
5.800000000000000711e-01,-3.946704305404224122e+00,-1.090343152611918720e+00,-3.808382421692179665e-01,3.490232301303853868e-01,-7.931761478250953009e-04,-1.120301515460266897e-03
5.999999999999999778e-01,-3.940224619554124619e+00,-1.092937603385937706e+00,-3.808600653816061610e-01,3.489556549654725393e-01,-8.154202072139860643e-04,-1.104116233491800152e-03
6.199999999999999956e-01,-3.933746266137697400e+00,-1.095531686943060246e+00,-3.808824833301604484e-01,3.488858851700933350e-01,-8.373412634723528944e-04,-1.088000898198101824e-03
6.400000000000000133e-01,-3.927269287355331873e+00,-1.098125390754240982e+00,-3.809054868930248916e-01,3.488139269777252860e-01,-8.589406973344306364e-04,-1.071953692307078907e-03
6.600000000000000311e-01,-3.920793725266343621e+00,-1.100718702272586613e+00,-3.809290669799174633e-01,3.487397866154222648e-01,-8.802198533470280330e-04,-1.055972814287167282e-03
6.800000000000000488e-01,-3.914319621789141834e+00,-1.103311608933429611e+00,-3.809532145314907803e-01,3.486634703037964633e-01,-9.011800401806833397e-04,-1.040056477982862198e-03
7.000000000000000666e-01,-3.907847018701401609e+00,-1.105904098154398607e+00,-3.809779205187000528e-01,3.485849842570001855e-01,-9.218225309335963341e-04,-1.024202912255585624e-03
7.200000000000000844e-01,-3.901375957640227821e+00,-1.108496157335492560e+00,-3.810031759421738107e-01,3.485043346827093047e-01,-9.421485634284024234e-04,-1.008410360629647187e-03
7.399999999999999911e-01,-3.894906480102325652e+00,-1.111087773859150252e+00,-3.810289718315923446e-01,3.484215277821055556e-01,-9.621593405019415041e-04,-9.926770809433199411e-04
7.600000000000000089e-01,-3.888438627444167572e+00,-1.113678935090324007e+00,-3.810552992450701448e-01,3.483365697498602698e-01,-9.818560302880913974e-04,-9.770013450047898389e-04
7.800000000000000266e-01,-3.881972440882166087e+00,-1.116269628376550971e+00,-3.810821492685433354e-01,3.482494667741181105e-01,-1.001239766493756391e-03,-9.613814382529321844e-04
8.000000000000000444e-01,-3.875507961492836273e+00,-1.118859841048025494e+00,-3.811095130151629928e-01,3.481602250364809192e-01,-1.020311648668138175e-03,-9.458156594227914602e-04
8.200000000000000622e-01,-3.869045230212966313e+00,-1.121449560417671076e+00,-3.811373816246926283e-01,3.480688507119927277e-01,-1.039072742465346191e-03,-9.303023202156200091e-04
8.400000000000000799e-01,-3.862584287839788022e+00,-1.124038773781212752e+00,-3.811657462629107762e-01,3.479753499691236041e-01,-1.057524079900459303e-03,-9.148397449734195150e-04
8.599999999999999867e-01,-3.856125175031142049e+00,-1.126627468417248146e+00,-3.811945981210182466e-01,3.478797289697557749e-01,-1.075666659599126482e-03,-8.994262703578286174e-04
