X,Y,psi,vx,delta,ax
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.288312227800949339e-01
2.000000000000000000e+00,0.000000000000000000e+00,1.683374096933635544e-01,6.864936683402848017e-01,4.183083224181825127e-02,1.332207570743867142e-01
4.000000000000000000e+00,6.999999999999999556e-01,2.670351896183039697e-01,7.993245424463202298e-01,-1.258486330695776645e-02,3.043062973839138000e-02
7.500000000000000000e+00,1.399999999999999911e+00,0.000000000000000000e+00,8.923284148787373748e-01,-2.826170393159469288e-02,0.000000000000000000e+00
1.100000000000000000e+01,6.999999999999999556e-01,-2.670351896183039697e-01,7.993245424463202298e-01,-1.258486330695776645e-02,-3.043062973839138000e-02
1.300000000000000000e+01,0.000000000000000000e+00,-1.683374096933635544e-01,6.864936683402848017e-01,4.183083224181825127e-02,-1.332207570743867142e-01
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.288312227800949339e-01
