t,position_error,yaw_error,speed_error
0.03525179997086525,2.338084844739045e-08,-1.3351440442121998e-07,0.0
0.1053558997809887,0.00016475309540152925,-0.000520901564090348,-0.023244221054942997
0.1753235999494791,0.0008541707973931532,-0.0002697387336616508,-0.054465375782484116
0.24582539964467287,0.0020000529563489414,0.00018537722515166166,-0.0886072221940354
0.31525229988619685,0.0034788582973859137,0.00040516182139382906,-0.12100275278079109
0.38567829970270395,0.005162653105057316,0.0005037302978099234,-0.15016960795161305
0.45541449962183833,0.006925985298276031,0.0005287884586540059,-0.1733795377424826
0.5256668999791145,0.008688828853833309,0.0004953398511573504,-0.19029103804108427
0.5953829996287823,0.010372695639425274,0.00041284709254085783,-0.20068818924918425
0.6656976998783648,0.011847728759878409,0.0002981275104456671,-0.20326645270220156
0.73529849993065,0.005816720277101659,0.0001286475491824035,-0.19678056347581474
0.8055651998147368,0.0050208651407027,3.766018319195652e-05,-0.18661214061952236
0.8753578998148441,0.004626882378868075,-1.0552211065384398e-05,-0.1717220833623706
0.9454471999779344,0.004669678241101352,-3.219447119384711e-05,-0.14998398490344744
1.0154670998454094,0.005153687193137687,-3.943506393033758e-05,-0.12603197759149676
1.0854787998832762,0.0060828170317826545,-4.1629487482097716e-05,-0.09658617023698113
1.1557153998874128,0.00744207967092316,-4.296670449788209e-05,-0.06600075945406325
1.2253663996234536,0.009202540410719998,-4.75123146701506e-05,-0.03517055505883937
1.295245699584484,0.011324373608706572,-5.5329085057120864e-05,-0.002000173468003963
1.365565599873662,0.013754342130564855,-6.725758402836846e-05,0.029339513398141115
1.4353688997216523,0.01642754066771551,-7.594913099984169e-05,0.05561095475673872
1.5056936000473797,0.0439681637980072,-7.659793335079712e-05,0.08567084595601837
1.5758449998684227,0.04691333504036079,-8.134129825210223e-05,0.10830276204372102
1.6453146999701858,0.049819148460729885,-0.00011001423203982341,0.1277859357307437
1.7158416998572648,0.05260415292874641,-0.0001759288776406187,0.14008294906038654
1.7855295999906957,0.05516153517590764,-0.0002890952722216511,0.14737177548756075
1.8552003996446729,0.05737859079597228,-0.0004473034764664874,0.14531169057337567
1.9255737997591496,0.059137061644121,-0.0006238246634304723,0.13717587575724954
1.9953970997594297,0.06031347154463257,-0.0007570867199189202,0.11839021208183281
2.065886199939996,0.060796534069501404,-0.0011892328900171556,0.09005497100529836
