t,segment,x,y,theta,varphi,v,omega_s,xd,yd,xdd,ydd,xddd,yddd,kappa
2.000000000000000111e-01,0.000000000000000000e+00,-1.999999524999028153e-02,2.667797220401568054e-03,3.008962772619771631e+00,-6.420455376251193872e-04,1.008878426407477658e-01,1.274350915603498884e-03,-1.000017994795623644e-01,1.334154764462066808e-02,-3.868528794498365925e-05,3.078938783663989851e-05,-4.147503483146213659e-04,4.497695717781473201e-06,-2.495804182106901078e-03
2.200000000000000011e-01,0.000000000000000000e+00,-2.200003954344768170e-02,2.934634327769794146e-03,3.008957858699591537e+00,-6.081281010965580887e-04,1.008887758122214290e-01,2.114980832609809035e-03,-1.000026588943835198e-01,1.334216245374983921e-02,-4.739348698571681267e-05,3.059800891587156153e-05,-4.559382861803818799e-04,-2.355720676896114982e-05,-2.363957924441221353e-03
2.399999999999999911e-01,0.000000000000000000e+00,-2.400010282149641835e-02,3.201483655794836163e-03,3.008953276325815995e+00,-5.575425411638055629e-04,1.008898884894607190e-01,2.941175117400137221e-03,-1.000037006583599508e-01,1.334276785561965689e-02,-5.691758753725042986e-05,2.985022423603442461e-05,-4.963414452724708827e-04,-5.114340844938678853e-05,-2.167318168844304532e-03
2.600000000000000089e-01,0.000000000000000000e+00,-2.600018889325539720e-02,3.468344905674231732e-03,3.008949155107865980e+00,-4.905768691430887176e-04,1.008911952321132899e-01,3.753003392377647282e-03,-1.000049409329441391e-01,1.334335281564393537e-02,-6.724195072363966846e-05,2.855537614597444828e-05,-5.359654928867659159e-04,-7.826407463469418511e-05,-1.907004503393956414e-03
2.800000000000000266e-01,0.000000000000000000e+00,-2.800030188795236269e-02,3.735217559778044542e-03,3.008945622408113696e+00,-4.075177338003725517e-04,1.008927103153861998e-01,4.550532326307121442e-03,-1.000063955679434402e-01,1.334390648545095460e-02,-7.835105085543819672e-05,2.672274377332393530e-05,-5.748160803772339690e-04,-1.049223621350401720e-04,-1.584131220055560703e-03
2.999999999999999889e-01,0.000000000000000000e+00,-3.000044624871363308e-02,4.002100885360533773e-03,3.008942803354060391e+00,-3.086504782741812127e-04,1.008944477321918332e-01,5.333825848384281601e-03,-1.000080801037808303e-01,1.334441820162079843e-02,-9.022947511085988113e-05,2.436154319452268647e-05,-6.128988431559331601e-04,-1.311214192595384844e-04,-1.199807533820756696e-03
3.200000000000000067e-01,0.000000000000000000e+00,-3.200062672639888972e-02,4.268993938246572889e-03,3.008940820850210862e+00,-1.942591927723304993e-04,1.008964211953012752e-01,6.102945356786152083e-03,-1.000100097737486593e-01,1.334487748442594011e-02,-1.028619232169407111e-04,2.148092760483846203e-05,-6.502194006930108383e-04,-1.568643858162610137e-04,-7.551377850957948163e-04
3.400000000000000244e-01,0.000000000000000000e+00,-3.400084837348112121e-02,4.535895566492939221e-03,3.008939795589669064e+00,-6.462676315227103307e-05,1.008986441395056249e-01,6.857949921772024497e-03,-1.000121995062567271e-01,1.334527403657538407e-02,-1.162332071307004461e-04,1.808998748838810367e-05,-6.867833565167048848e-04,-1.821543931122369541e-04,-2.512216258201936669e-04
3.599999999999999867e-01,0.000000000000000000e+00,-3.600111653797129913e-02,4.802804414024515120e-03,3.008939846065473489e+00,7.996508450665659349e-05,1.009011297237832339e-01,7.598896483401257340e-03,-1.000146639270735605e-01,1.334559774196210705e-02,-1.303282507203044655e-04,1.419775078815826179e-05,-7.225962982133423036e-04,-2.069945639534530595e-04,3.108458102122445407e-04
3.800000000000000044e-01,0.000000000000000000e+00,-3.800143685738811838e-02,5.069718924245480464e-03,3.008941088581697620e+00,2.392357432320109791e-04,1.009038908334727591e-01,8.325840043930313530e-03,-1.000174173615616946e-01,1.334583866441398266e-02,-1.451320894462258630e-04,9.813183076026287175e-06,-7.576637974273416065e-04,-2.313880126448539015e-04,9.299737523659084605e-04
4.000000000000000222e-01,0.000000000000000000e+00,-4.000181525277193145e-02,5.336637343625526449e-03,3.008943637264329674e+00,4.129056882822690474e-04,1.009069400824499085e-01,9.038833854948564658e-03,-1.000204738369059043e-01,1.334598704644799835e-02,-1.606298700424066330e-04,4.945187722781079397e-06,-7.919914098612102112e-04,-2.553378449903412188e-04,1.605075653052880080e-03
4.199999999999999845e-01,0.000000000000000000e+00,-4.200225792274353553e-02,5.603557725261215997e-03,3.008947604071960047e+00,6.006964439614236777e-04,1.009102898153086958e-01,9.737929599308959433e-03,-1.000238470843358568e-01,1.334603330802796271e-02,-1.768068501974200081e-04,-3.973939318561412043e-07,-8.255846752755455252e-04,-2.788471582927748113e-04,2.335069062050320991e-03
4.400000000000000022e-01,0.000000000000000000e+00,-4.400277133760729931e-02,5.870477932412543690e-03,3.008953098806284032e+00,8.023305540205862138e-04,1.009139521095450270e-01,1.042317756790730326e-02,-1.000275505413418253e-01,1.334596804532561277e-02,-1.936483982356321200e-04,-6.205782409210777350e-06,-8.584491174890358138e-04,-3.019190413539716189e-04,3.118875514803503331e-03
