t,X,Y,psi,vx
4.00003045797348e-07,-5.7220457705398076e-08,9.49576488551429e-08,-0.0,0.0
0.05017850000876933,0.0004999437369406223,9.49576488551429e-08,-0.0,0.0018758946403220982
0.11473110000952147,0.001999946776777506,9.49576488551429e-08,-0.0,0.0070295764858890955
0.1813984999898821,0.0044999513775110245,9.49576488551429e-08,-0.0,0.01465262620375224
0.2482632999890484,0.008000546135008335,9.49576488551429e-08,-0.0,0.024099211595381927
0.31475369998952374,0.012500555254518986,9.49576488551429e-08,-0.0,0.03495943883396105
0.3814143000054173,0.018000565469264984,9.49576488551429e-08,-0.0,0.046849094041373406
0.44808040000498295,0.024500587955117226,9.49576488551429e-08,-0.0,0.05950593441574799
0.5147600999916904,0.03200061619281769,9.49576488551429e-08,-0.0,0.07274235570610596
0.5815306000004057,0.04050140455365181,9.49576488551429e-08,-0.0,0.0864421205335707
0.6480938000022434,0.05000143498182297,9.49576488551429e-08,-0.0,0.10045930533118644
0.7149367000092752,0.06050146743655205,9.49576488551429e-08,-0.0,0.11471739581838963
0.7814125999866519,0.07200149446725845,9.49576488551429e-08,-0.0,0.12910395413737177
0.8480898000125308,0.08450151979923248,9.49576488551429e-08,-0.0,0.14370978812656168
0.914872599998489,0.09800157696008682,9.49576488551429e-08,-0.0,0.1584980576663133
0.9815318000037223,0.11250162869691849,9.49576488551429e-08,-0.0,0.173235581641154
1.0482306999911088,0.12800166010856628,9.49576488551429e-08,-0.0,0.18781636669232654
1.1147541000100318,0.1445016860961914,9.49576488551429e-08,-0.0,0.20300467801645608
1.1814207000134047,0.16200175881385803,9.49576488551429e-08,-0.0,0.2178227850406091
1.248298699996667,0.1805018037557602,9.49576488551429e-08,-0.0,0.23274555278039724
1.314762599999085,0.20000185072422028,9.49576488551429e-08,-0.0,0.24773611341493226
1.381500399991637,0.22050189971923828,9.49576488551429e-08,-0.0,0.2625577218781401
1.4480720999999903,0.2420019805431366,9.49576488551429e-08,-0.0,0.27762623946266046
1.5147858000127599,0.26450201869010925,9.49576488551429e-08,-0.0,0.29229262246129023
1.5817207999934908,0.28802523016929626,9.49576488551429e-08,-0.0,0.3076533905932771
1.648238699999638,0.31252527236938477,9.49576488551429e-08,-0.0,0.3226710032662937
1.7147846999869216,0.33802530169487,9.49576488551429e-08,-0.0,0.33760307627745567
1.78151619998971,0.36452537775039673,9.49576488551429e-08,-0.0,0.35258201484119633
1.8481592999887653,0.3920254111289978,9.49576488551429e-08,-0.0,0.36754843795754555
1.9151033000089228,0.4205304682254791,9.49576488551429e-08,-0.0,0.37956908747557805
1.9815446000138763,0.45003053545951843,9.49576488551429e-08,-0.0,0.3985663115616424
