time,reference_index,v1,v2,delta_command,acceleration_command,solver_status,solver_success,solve_time
4.00003045797348e-07,0,0.3,-2.3541722768960706e-07,-6.056108174911257e-05,0.3,MIQP_OPTIMAL,1,0.013123699987772852
0.05017850000876933,5,0.3,-2.3541722768960703e-07,-6.034871578342335e-05,0.3,MIQP_OPTIMAL,1,0.011439699999755248
0.11473110000952147,10,0.3,-2.3541722768960703e-07,-5.770937607808803e-05,0.3,MIQP_OPTIMAL,1,0.011369300016667694
0.1813984999898821,14,0.3,-2.3541722768960703e-07,-4.985684445670586e-05,0.3,MIQP_OPTIMAL,1,0.010506999999051914
0.2482632999890484,19,0.3,-2.3541722768960703e-07,-3.831107953072936e-05,0.3,MIQP_OPTIMAL,1,0.011389799998141825
0.31475369998952374,22,0.3,-2.3541722768960703e-07,-2.7253220916964096e-05,0.3,MIQP_OPTIMAL,1,0.01034609999624081
0.3814143000054173,26,0.3,-2.3541722768960703e-07,-1.895591862916507e-05,0.3,MIQP_OPTIMAL,1,0.01029569999082014
0.44808040000498295,30,0.3,-2.3541722768960703e-07,-1.3336636325680064e-05,0.3,MIQP_OPTIMAL,1,0.009824100008700043
0.5147600999916904,33,0.3,-2.3541722768960703e-07,-9.625933417873346e-06,0.3,MIQP_OPTIMAL,1,0.010210800013737753
0.5815306000004057,37,0.3,-2.3541722768960703e-07,-7.1481780940760584e-06,0.3,MIQP_OPTIMAL,1,0.010202600009506568
0.6480938000022434,40,0.3,-2.3541722768960703e-07,-5.459852917626544e-06,0.3,MIQP_OPTIMAL,1,0.010235099995043129
0.7149367000092752,43,0.3,-2.3541722768960703e-07,-4.276888122047481e-06,0.3,MIQP_OPTIMAL,1,0.011307300010230392
0.7814125999866519,46,0.3,-2.3541722768960703e-07,-3.427759859847142e-06,0.3,MIQP_OPTIMAL,1,0.010864300013054162
0.8480898000125308,49,0.3,-2.3541722768960703e-07,-2.7969552182556096e-06,0.3,MIQP_OPTIMAL,1,0.012417699996149167
0.914872599998489,52,0.3,-2.3541722768960703e-07,-2.318426219608766e-06,0.3,MIQP_OPTIMAL,1,0.011399100010748953
