t,delta_e,ax_e
4.00003045797348e-07,0.0,0.3
0.09114609999232925,0.0,0.3
0.19114149999222718,0.0,0.3
0.2911792999948375,0.0,0.3
0.39113500001258217,0.0,0.3
0.49113850001594983,0.0,0.3
0.591174700006377,0.0,0.3
0.6911026000161655,0.0,0.3
0.7911583000095561,0.0,0.3
0.8912266000115778,0.0,0.3
0.9911934999981895,0.0,0.3
1.0911603000131436,0.0,0.3
1.1913417000032496,0.0,0.3
1.2911652000038885,0.0,0.3
1.3911293999990448,0.0,0.3
1.4911825000017416,0.0,0.3
1.591160600015428,0.0,0.3
1.6932277000159957,0.0,0.3
1.7911569999996573,0.0,0.3
1.8912899999995716,0.0,0.3
1.9911226000112947,0.0,0.3
2.0913210000144318,0.0,0.3
2.191312300012214,0.0,0.3
2.292103699990548,0.0,0.3
2.391562700009672,0.0,0.3
2.491471100016497,0.0,0.3
2.591607300011674,0.0,0.2999999892077267
2.6919894000166096,0.0,0.3
2.7933915000176057,0.0,0.3
2.8915355000062846,0.0,0.29999999337814715
2.991735699994024,0.0,0.29999999335980904
3.091738599992823,0.0,0.2999999921299214
3.191811199998483,0.0,0.29999998974089287
3.291753900004551,0.0,0.2999999866981519
3.3917972999915946,0.0,0.2999999808195913
3.491672500007553,0.0,0.29999997578176646
3.5918086000019684,0.0,0.29999996797823186
3.691780299996026,0.0,0.2999999531390915
3.791858400014462,0.0,0.2999999315823952
3.8917438999924343,0.0,0.3
3.9917720000084955,0.0,0.3
4.091854600002989,0.0,0.3
4.191810099990107,0.0,0.3
4.291753400000744,0.0,0.3
4.391673200007062,0.0,0.3
4.4916759000043385,0.0,0.3
4.591765599994687,0.0,0.3
4.6918393000087235,0.0,0.2999997765126337
4.791814299998805,0.0,0.3
4.891664299997501,0.0,0.3
4.991866399999708,0.0,0.299999998842077
5.0917555000050925,0.0,0.29999999676289474
5.191893900017021,0.0,0.2999999942027923
5.291648799990071,0.0,0.2999999974523659
5.391736699995818,0.0,0.299999996778107
5.491721700003836,0.0,0.29999999277201267
5.591786700009834,0.0,0.3
5.691672999993898,0.0,0.3
5.791840799996862,0.0,0.3
5.891712999989977,-0.06324436916852726,0.3
5.991659299994353,-0.10434767524061893,0.3
6.091912400006549,-0.07982018925059475,-0.06918876016253596
6.191722399991704,-0.1449556924018891,-0.29999999999999993
6.291687899996759,-0.4317003663121289,-0.3
6.391661300003761,-0.5236,-0.3
6.491751299996395,-0.5236,-0.3
6.591714900016086,-0.5236,-0.3
6.691745199990692,0.5207310661766913,-0.3
6.791850200010231,0.5236,-0.3
6.892405899998266,0.5236,-0.3
6.991794500005199,-0.5235999999999998,-0.29999999999999993
7.0917382999905385,-0.5236,-0.29999999999999993
7.191789900010917,-0.5236,-0.29999999999999993
7.291737199993804,-0.5236,0.3
7.39173450000817,-0.5123251647910883,-0.3
7.4917516999994405,0.5236,-0.3
7.591771300008986,0.5236,-0.3
7.658341800008202,0.5236,-0.3
7.724990000016987,0.5236,-0.29999999999999993
7.825031100015622,0.5236,-0.29999999999999993
7.891812799993204,0.5236,-0.29999999999999993
7.958317400014494,0.5236,-0.3
8.058337099995697,0.5236,-0.3
8.124975500017172,0.5236,-0.29999999999999993
8.19182860001456,0.5236,-0.3
8.258364200009964,0.5236,-0.29999999999999993
8.324999600008596,0.5236,0.3
8.391705000016373,0.5236,0.3
8.458352599991485,0.5236,0.3
8.525025700015249,0.5235999999999998,0.3
8.591841999994358,0.5236,0.3
8.658357700012857,0.5236,0.3
8.72497559999465,0.5236,0.3
8.791811300005065,0.5236,0.3
8.858386600011727,0.5236,0.29999999999999993
8.925007600017125,0.5236,0.29999999999999993
8.991891999990912,0.5236,0.3
9.058331800013548,-0.5236,0.3
9.125038900005165,-0.5236,0.3
9.193273700017016,0.05001395291648499,0.3
9.29175820000819,0.4955356579464316,0.3
9.358412700006738,-0.08413833453188921,0.3
9.425007400015602,-0.5236,0.3
9.491785499994876,-0.3396196521438589,0.3
9.558481699990807,-0.04989806367823033,0.3
9.625030199997127,-0.056461292923837426,0.3
9.69193470000755,-0.20415949990713833,0.3
9.758384699991439,-0.2799114543548062,0.3
9.825006700004451,-0.27285028835683595,0.3
9.925175800017314,-0.23284723970891086,0.3
9.99181820001104,-0.21331595492826,0.3
10.058364399999846,-0.20239477613425105,0.29999999999999993
10.125041099992814,-0.1874506939445538,0.3
10.225210300006438,-0.14778521220099733,0.3
10.29195849999087,-0.11603577854292473,0.3
10.35838240000885,-0.0916427004960799,0.25431908315799473
10.425067600008333,-0.07250785415765457,0.18459043729781274
10.491862299997592,-0.05686467728319335,0.13595596590159564
10.558398399996804,-0.04376802905063992,0.10301907286457324
10.625033899996197,-0.03282771524663776,0.07509941913752224
10.691817000013543,-0.024072848628049308,0.05632194018018925
10.758426000014879,-0.017342235315934446,0.043971252009425775
10.82503629999701,-0.012316812600139691,0.030509575398892055
10.891790499998024,-0.008701904551673436,0.023332488149441555
10.992023200000403,-0.0038585003675631296,0.017213044675488915
11.058352499996545,-0.002062895604681372,0.016507017448130577
11.125088700006017,-0.001628007966595555,0.008564631680650678
11.191885500011267,-0.0015689072730139771,0.006708176688761218
11.258380500017665,-0.0014672237435898513,0.004471355708020366
11.325080200011143,-0.001244328509091257,0.0038793427013699166
11.391874499997357,-0.0009565597001905344,0.00339870884428404
11.458354100002907,-0.0006775507258228092,0.004143542263893827
11.525087000016356,-0.00045042390901567776,0.0003337423104429751
11.591766300000018,0.00651217946781936,-0.02543169931667298
11.691823200002545,0.05219077533324981,-0.3
11.791815500007942,0.11777590321355332,-0.3
11.891976899991278,0.12475079411936159,-0.3
12.02516160000232,0.36251732990154734,-0.3
12.125112300011097,0.5236,-0.3
12.22513110001455,0.5236,-0.29999999999999993
12.32507190000615,0.1910898754397596,-0.29999999999999993
12.425085199996829,-0.46528091604291155,-0.29999999999999993
12.525190899992594,-0.5236,-0.29999999999999993
12.625069500005338,0.29545268024750826,-0.3
12.725078799994662,0.5236,-0.3
12.825082900002599,0.5236,-0.29999999999999993
12.925124400004279,0.5236,0.3
13.025150600005873,-0.5236,-0.3
13.125115100003313,-0.5235999999999998,-0.29999999999999993
13.225130900013028,-0.5236,-0.3
13.325150099990424,-0.5236,-0.29999999999999993
13.425109200004954,0.5235999999999998,0.3
13.525151000008918,0.5236,-0.3
13.62506449999637,0.5235999999999998,-0.3
13.725123800017172,-0.5235999999999998,-0.29999999999999993
13.825125800009118,-0.5236,-0.3
13.925131600000896,-0.5236,-0.29999999999999993
13.991858299996238,-0.5236,-0.2999999999999999
14.058402199996635,-0.5236,-0.2999999999999999
14.15860039999825,-0.5236,-0.3
14.225262699997984,-0.5236,-0.3
14.292124900006456,-0.5236,-0.16808759802339554
14.358663699997123,-0.5235999999999998,0.3
14.425360399996862,-0.5235999999999998,0.3
14.492087899998296,-0.5236,0.3
14.55862620001426,-0.5236,0.3
14.625250999990385,-0.5236,0.2999999999999999
14.692104699992342,-0.5236,0.3
14.758667999994941,-0.5236,0.29999999999999993
14.825259100005496,-0.5235999999999998,0.29999999999999993
14.892001300002448,-0.5236,0.3
14.958596999989823,-0.5236,0.3
15.025249900005292,0.5236,0.3
15.092087800003355,0.5236,0.29999999999999993
15.158587100013392,-0.16107248445649897,0.3
15.225278500001878,-0.2812134900740628,0.29999999999999993
15.292032900004415,0.23923199361889813,0.3
15.358685899991542,0.423433444108097,0.3
15.425272199994652,0.11669737346727818,0.3
15.49199390001013,-0.033902085647991916,0.29999999999999993
15.558596499991836,0.1023389173135113,0.3
15.625306700007059,0.23932927113298588,0.3
