t,delta_e,ax_e
4.00003045797348e-07,-6.056108174911257e-05,0.0
0.05017850000876933,-6.034871578342335e-05,0.3
0.11473110000952147,-5.770937607808803e-05,0.3
0.1813984999898821,-4.985684445670586e-05,0.3
0.2482632999890484,-3.831107953072936e-05,0.3
0.31475369998952374,-2.7253220916964096e-05,0.3
0.3814143000054173,-1.895591862916507e-05,0.3
0.44808040000498295,-1.3336636325680064e-05,0.3
0.5147600999916904,-9.625933417873346e-06,0.3
0.5815306000004057,-7.1481780940760584e-06,0.3
0.6480938000022434,-5.459852917626544e-06,0.3
0.7149367000092752,-4.276888122047481e-06,0.3
0.7814125999866519,-3.427759859847142e-06,0.3
0.8480898000125308,-2.7969552182556096e-06,0.3
0.914872599998489,-2.318426219608766e-06,0.3
0.9815318000037223,-1.9529176076672015e-06,0.3
1.0482306999911088,-1.6694997251290057e-06,0.3
1.1147541000100318,-1.4347261686518516e-06,0.3
1.1814207000134047,-1.2500541773949946e-06,0.3
1.248298699996667,-1.0977078372066411e-06,0.3
1.314762599999085,-9.709474486967581e-07,0.3
1.381500399991637,-8.659431368333727e-07,0.3
1.4480720999999903,-7.756650795999714e-07,0.3
1.5147858000127599,-7.006548022953428e-07,0.3
1.5817207999934908,-6.331489429985855e-07,0.3
1.648238699999638,-5.761325561265008e-07,0.3
1.7147846999869216,-5.267287748829466e-07,0.3
1.78151619998971,-4.83274370935813e-07,0.3
1.8481592999887653,-4.4500151871035516e-07,0.3
1.9151033000089228,-4.1745335333968447e-07,0.3
1.9815446000138763,-3.7884984612980145e-07,0.3
2.048166199994739,-3.525088938413528e-07,0.3
2.1148548999917693,-3.2869943776647714e-07,0.3
2.181467499991413,-3.0709278896956096e-07,0.3
2.248405599995749,-2.8861311133288236e-07,0.3
2.3150367999915034,-2.7026582122090024e-07,0.3
2.3817831999913324,-2.5363251173938684e-07,0.3
2.4483420999895316,-2.387463024084731e-07,0.3
2.5151305999897886,-2.2529151505827385e-07,0.3
2.5817903999995906,-2.1266076738631836e-07,0.2999999900097236
2.648485100013204,-2.0179018851727132e-07,0.2999999819053672
2.7151912999979686,-1.906101773057012e-07,0.29999996335883267
2.7816991999861784,-1.8067374037435826e-07,0.3
2.848158999986481,-1.71756155081141e-07,0.3
2.9149321999866515,-1.6348331757515956e-07,0.3
3.0148400999896694,-1.560483252788544e-07,0.3
3.0815104999928735,-1.4879873331616798e-07,0.3
3.148164899990661,-1.4201111836972815e-07,0.3
3.2148404000035953,-1.357963196102691e-07,0.3
3.2815089999930933,-1.2975706272521047e-07,0.3
3.3481816000130493,-1.2421922545022187e-07,0.2999999971245619
3.414854500006186,-1.1910576409338366e-07,0.3
3.4814944000099786,-1.1428090635009283e-07,0.2999999962726227
3.5482518000062555,-1.0963645803032947e-07,0.2999999818114257
