t,v1,v2
0.00130976000000000009,-0.220363122714606785,0.00277987514036028569
0.0295558399999999999,-0.22009476618330498,0.00277922295891801143
0.0595932799999999985,-0.22005617060764962,0.00277912915992448856
0.0895524480000000067,-0.220028157052686663,0.00277906107754250994
0.119547135999999998,-0.220008605720711042,0.00277901356339767345
0.149551552000000004,-0.219997948271412114,0.00277898766333695146
0.179631615999999994,-0.219992678144197207,0.00277897485540042847
0.209550463999999992,-0.219990122336739952,0.00277896864404736377
0.239551488000000007,-0.219988877983116532,0.00277896561990544598
0.269556063999999984,-0.219988268509790558,0.00277896413870460691
0.299572031999999988,-0.219987968961826541,0.00277896341071199888
0.329548991999999985,-0.219987821538820016,0.00277896305242826547
0.359570944000000003,-0.208603547702234299,0.00289114203571227101
0.389553024000000025,-0.218147705236733436,0.00277668258614962964
0.419551775999999987,-0.21857624598788078,0.0027763291671223842
0.449570495999999986,-0.213975644294733897,0.00279564718569142411
0.479562144000000024,-0.208605694589590468,0.00287778711845434933
0.509552640000000001,-0.216850416089497899,0.0027762100940578534
0.539720479999999947,-0.214051305727676416,0.00279032877137971912
0.569554816000000019,-0.212397631083374255,0.00280682009656204635
0.599558495999999996,-0.216968483648767085,0.00277421063603331157
0.629538880000000023,-0.214575068313800854,0.00278146880483420497
0.659548127999999956,-0.212407909801369116,0.00279793080896458685
0.689600703999999953,-0.216110110141933265,0.00277362355043979034
0.719548831999999972,-0.210219558430875808,0.00281468969992405881
0.749554175999999961,-0.210947183171857872,0.00280368796018013768
0.779551903999999962,-0.206653412320816632,0.00287306325350356962
0.809549631999999963,-0.207741400966582862,0.00286384957715378908
0.839551840000000049,-0.219072662724450501,0.00281797076993377726
0.869478784000000005,-0.216827599722553166,0.00280186314736514041
0.899548864000000004,-0.215208431465060385,0.00279726693650120262
0.929545599999999972,-0.215190429100654862,0.00279722072481364877
0.959595455999999958,-0.215300736512035851,0.00279729832781586401
0.989549119999999949,-0.215796865389172088,0.00279826796676101858
1.01954947200000001,-0.132881362418947796,0.010238843347960068
1.04954976000000011,-0.204384723918342642,0.00399378711050114247
1.07954784000000004,-0.21330755390314371,0.00549358086115749045
1.10954828800000005,-0.16438899838195048,0.01880842023892184
1.13956294399999991,-0.208291744843383669,0.0141902678430459953
1.16955648000000001,-0.211379167186402456,0.0193486518229651037
1.19955407999999997,-0.175897995877911939,0.0376414261881986845
1.22955161599999996,-0.195332501546780279,0.0413112643766852736
1.25955081599999996,-0.187597721550014945,0.0541711847615902672
1.28955315200000009,-0.24655021544623501,0.0426633272138221969
1.31955215999999997,-0.18449290919519773,0.0816078161826594428
1.34954719999999995,-0.201792301580578481,0.0891500297411297604
1.37955055999999998,-0.173494119602752545,0.0978613611960368612
1.40955683200000004,-0.162829371360398267,0.10026328556503443
1.43955142400000002,-0.181846385804410537,0.101710293823278675
1.4695509120000001,-0.183592238901764904,0.103652565135885777
1.49955081599999995,-0.15637903205249859,0.099273522048598864
1.5295556159999999,-0.187056748360147185,0.103841860269590053
1.55955651199999989,-0.155036263390441298,0.0985414960647902349
1.58955168000000002,-0.180402304525490054,0.103247499389293174
1.61955359999999993,-0.160620765792542836,0.100143233325333952
1.64954672000000002,-0.168307356370213684,0.102417290737457714
1.67954793600000007,-0.151914121465038326,0.0999123928597800137
1.70955094400000007,-0.171903726956087188,0.104891081460956603
1.73958054400000006,-0.158580624128949493,0.102448079138809281
1.76955548799999995,-0.179256944590584083,0.107979562723349715
1.79954825600000001,-0.151647326951684369,0.104858730996229971
1.82955334400000003,-0.151709269982739092,0.106307792930233194
1.85955737599999993,-0.15867796450780311,0.109060004396208277
1.88955168000000007,-0.146677574176059755,0.108903721519420474
1.91954569599999991,-0.159602984731624764,0.112375928337557732
1.94954928000000005,-0.171298093175116434,0.116626461697881462
1.97955078399999995,-0.149989393177722807,0.115728030652962208
2.00954460800000012,-0.188911894422301829,0.124889925067967103
2.03954265600000006,-0.12115332844996865,0.115725951664706936
2.06955113599999985,-0.188763741242894412,0.130333492787315514
2.09954755200000021,-0.176829774304230775,0.131238287687006683
2.12954623999999981,-0.176376337383519127,0.134168803029333594
2.15954844799999979,-0.169982271050379496,0.135552423020996543
2.18954739200000015,-0.178144283992536401,0.139580992940686849
2.21954307200000001,-0.151187782545979199,0.137369210227870325
2.24954326400000015,-0.195318744585177534,0.148293313491047046
2.27955468800000016,-0.126042110686637732,0.138074254622857662
2.30955308799999992,-0.147483818725847288,0.145140097356030617
2.33955004799999999,-0.16240763109284459,0.150269443932718599
2.36955353600000018,-0.127428575427912028,0.146584005364109676
2.39957792000000003,-0.127333200173756461,0.148595226829172894
2.42954838399999984,-0.150066137175376729,0.155918114544347175
2.45957280000000011,-0.0915825020300101988,0.147218355642813381
2.48961327999999993,-0.124874429516861549,0.162632488228785205
2.51957939199999981,-0.123829397602709515,0.190375500590113156
2.5495452799999998,-0.105911680577737283,0.191215842775272649
2.5795523199999999,-0.10336904747401307,0.193152707171656279
2.60955724800000022,-0.11441848977229585,0.198982627424561048
2.63954694400000012,-0.0628435154515178118,0.189519466858045355
2.66954940799999996,-0.0678031283545511426,0.193958910537883722
2.69954784000000014,-0.0539973756182733564,0.191245143341793239
2.72955555199999989,-0.0534984754997830242,0.194142233461185254
2.75955401600000005,-0.0151427222029945768,0.186133888402375269
2.78954876799999996,-0.0287384964737694322,0.202575173778742151
2.81954937599999989,-0.00935524209063950778,0.247155709669659468
2.8495430719999999,0.00646878411156454405,0.247453521236238566
2.87955817600000019,0.0161570155193742696,0.245529142985281001
2.909553952,0.00934874425113374312,0.249957156988674128
2.93955600000000006,0.0414658582384872659,0.24140144333783714
2.96955542400000017,0.0680584904871034124,0.237146778270533681
2.99955231999999983,0.0696971679477297185,0.234108455318986136
3.02955084799999996,0.0768897474166234662,0.233527645582978144
3.05955849600000018,0.0228915383839611505,0.232849461069033981
3.08954927999999995,0.00149040731825346093,0.235895553171985906
3.11954601600000014,0.0639980300765935067,0.215605578004440523
3.14955337600000007,0.06836450385420835,0.216581177695064742
3.17955257599999985,0.0618378031324310767,0.216626165257729097
3.20954736000000018,0.0581409075719425197,0.219359321844497301
3.23954431999999981,0.100434138181451818,0.205293080914607878
3.26955481599999986,0.130021893589413018,0.19730312100649644
3.29955091199999995,0.105331519543962859,0.21354019550954878
3.32954659199999981,0.112881983301467134,0.220824191881029114
3.35954713600000021,0.100266046137939449,0.224192260082893335
3.38954739199999988,0.121254668835879889,0.218512697220829222
3.41955414400000013,0.165757429779361837,0.202573912592373062
3.44955372800000015,0.13337386103201368,0.215352917792275306
3.47955206399999994,0.151030033878583686,0.207573453711439343
3.50957059200000021,0.171179707423368882,0.200450417337478787
3.53956918399999987,0.177526175618530652,0.205587085354755811
3.56955289599999981,0.170282814570060975,0.216973700489040466
3.59958179199999995,0.161446109083348582,0.22200344567082167
