t,desired_speed,delta,ax
0.00130976000000000009,0.00661107683500467783,-0.523599999477382561,0.220369227833489278
0.0295558399999999999,0.0132141029502955872,-0.523599999999079913,0.220100870509696983
0.0595932799999999985,0.0198159711948974401,-0.523599999891248502,0.220062274820061743
0.0895524480000000067,0.0264169990303684613,-0.523599999635700031,0.220034261182367352
0.119547135999999998,0.0330174403241481618,-0.52359999987846062,0.220014709792656776
0.149551552000000004,0.0396175618935047519,-0.523599999999975974,0.220004052311886328
0.179631615999999994,0.0462175253585779891,-0.523599999999975863,0.219998782169107926
0.209550463999999992,0.0528174121492010762,-0.523599999999933785,0.219996226354103014
0.239551488000000007,0.0594172616091052236,-0.523599999999552868,0.219994981996804811
0.269556063999999984,0.0660170927847555933,-0.523599999998777488,0.219994372521678944
0.299572031999999988,0.0726169149739405023,-0.523599999997959253,0.219994072972830329
0.329548991999999985,0.0792167327404221522,-0.523599999997360954,0.21999392554938843
0.359570944000000003,0.0854750314791863641,-0.523599999999977195,0.208609957958807102
0.389553024000000025,0.0920196457533637852,-0.523599999237760239,0.218153809139247562
0.419551775999999987,0.0985771161863421425,-0.523599999999757926,0.218582347765945401
0.449570495999999986,0.104996570384560256,-0.523599999700261387,0.213981806607270258
0.479562144000000024,0.111254932556068248,-0.523599999999977306,0.208612072383599606
0.509552640000000001,0.117760628236312268,-0.523599999999907806,0.216856522674800739
0.539720479999999947,0.124182351883057984,-0.523599999721388265,0.214057454891523918
0.569554816000000019,0.130554466639338118,-0.523599999999976862,0.212403825209337871
0.599558495999999996,0.137063704190122676,-0.523599999999976196,0.216974585026151634
0.629538880000000023,0.143501140022083085,-0.523599999901830593,0.214581194398680536
0.659548127999999956,0.149873562490887985,-0.523599999825366202,0.212414082293496842
0.689600703999999953,0.156357048869710941,-0.523599999999976307,0.216116212627432053
0.719548831999999972,0.162663822213141629,-0.523599999960788764,0.210225778114355999
0.749554175999999961,0.168992423432218292,-0.52359999999997664,0.210953373969222313
0.779551903999999962,0.17519221696421422,-0.523599999862980225,0.206659784399864044
0.809549631999999963,0.181424659000030963,-0.523599999999976862,0.207748067860557994
0.839551840000000049,0.187997034235593163,-0.523599999999816101,0.219079174518740427
0.869478784000000005,0.194502056562578296,-0.523599999991278264,0.216834077566171457
0.899548864000000004,0.200958503647927944,-0.523599999981403497,0.215214902844988565
0.929545599999999972,0.207414410660566068,-0.523599999858068155,0.215196900421270931
0.959595455999999958,0.213873626890619173,-0.523599999732038079,0.21530720766843689
0.989549119999999949,0.220347727012620231,-0.523599999999975863,0.215803337400035516
1.01954947200000001,0.224334914955450881,-0.523599999999993848,0.132906264761021936
1.04954976000000011,0.230466795658280876,-0.523599999845871689,0.20439602342766669
1.07954784000000004,0.236866731963551458,-0.523599999953285211,0.213331210175686181
1.10954828800000005,0.241801642226068592,-0.523599999998924037,0.164497008750571244
1.13956294399999991,0.248054256974093307,-0.523599999999995958,0.208420491600824237
1.16955648000000001,0.254401871696249227,-0.523599999998884513,0.211587157405197734
1.19955407999999997,0.259697407333792707,-0.523599999999998178,0.176517854584782419
1.22955161599999996,0.265580648889733151,-0.523599999999998178,0.196108051864681499
1.25955081599999996,0.271249806537755545,-0.523599999999998178,0.188971921600746329
1.28955315200000009,0.278682056198115091,-0.5235999999999984,0.247741655345318973
1.31955215999999997,0.284310495678890773,-0.52359999999999729,0.187614649359190033
1.34954719999999995,0.290480234264666404,-0.523599999999995624,0.205657952859186921
1.37955055999999998,0.295846636579518263,-0.435219546053032591,0.178880077161729406
1.40955683200000004,0.300916969649356381,-0.364413073714481395,0.169011102327937257
1.43955142400000002,0.306598567871833538,-0.365277536320469665,0.189386607415904934
1.4695509120000001,0.312359647035065469,-0.32434741816314494,0.192035972107731323
1.49955081599999995,0.317336585115948311,-0.253490764626670362,0.165897936029428761
1.5295556159999999,0.323261157214009776,-0.261653648571657127,0.197485736602049461
1.55955651199999989,0.328243791859740508,-0.204724674771818688,0.166087821524357415
1.58955168000000002,0.334010609777447176,-0.208503890182466789,0.192227263923555797
1.61955359999999993,0.339196796782789356,-0.179678612252711756,0.172872900178073413
1.64954672000000002,0.344630910281062797,-0.17062441227438474,0.181137116609114718
1.67954793600000007,0.349582534624154451,-0.15365906132970053,0.165054144769721051
1.70955094400000007,0.355154332551175178,-0.1564973267969266,0.185726597567357932
1.73958054400000006,0.360334833081094374,-0.143186627700460672,0.172683350997305723
1.76955548799999995,0.366156831212724909,-0.148100382253899515,0.194066604387684277
1.79954825600000001,0.371152942540016628,-0.13433229149389514,0.166537044243057819
1.82955334400000003,0.376163919798926882,-0.127697396839533434,0.167032575297008018
1.85955737599999993,0.381400013398186577,-0.133348350115973457,0.174536453308656608
1.88955168000000007,0.386284497543261329,-0.123284194321928081,0.162816138169158131
1.91954569599999991,0.391575527390807643,-0.131663670026448798,0.176367661584876489
1.94954928000000005,0.397236791336610939,-0.133522824849098637,0.188708798193444161
1.97955078399999995,0.40226413991982285,-0.130129950414183737,0.16757828610706435
2.00954460800000012,0.408491789691349028,-0.146218359119203861,0.207588325717539629
2.03954265600000006,0.412671353453094747,-0.121871165050966693,0.139318792058190893
2.06955113599999985,0.418926245936043495,-0.151441818688720614,0.208496416098292114
2.09954755200000021,0.424834142430115635,-0.15325416774578382,0.196929883135738643
2.12954623999999981,0.430744799488958163,-0.151856946714877178,0.197021901961417695
2.15954844799999979,0.436477700904320087,-0.156668084154146375,0.191096713845398142
2.18954739200000015,0.442476843410330445,-0.159131507631080471,0.199971416867011781
2.21954307200000001,0.44767233878983631,-0.153646185601751445,0.173183179316862779
2.24954326400000015,0.454231787763054617,-0.178488295194672825,0.218648299107277455
2.27955468800000016,0.45869784276615938,-0.148628682612356344,0.148868500103492507
2.30955308799999992,0.463837406166021149,-0.159650268465099388,0.171318779995392939
2.33955004799999999,0.46945281521309673,-0.17744997378731045,0.187180301569185414
2.36955353600000018,0.474021579941875215,-0.157393580098373537,0.152292157625949498
2.39957792000000003,0.478609151915194264,-0.166527466008657782,0.15291906577730105
2.42954838399999984,0.483913390101263663,-0.179947912724211817,0.176807939535645775
2.45957280000000011,0.487453741950511943,-0.158148422297311547,0.118011728308276859
2.48961327999999993,0.492064664543026442,-0.18188534654555516,0.153697419750482456
2.51957939199999981,0.496806381454520052,-0.213896535328735538,0.158057230383119862
2.5495452799999998,0.501031392942167586,-0.203178402987704287,0.140833716254917501
2.5795523199999999,0.505208607201827031,-0.214294546862763613,0.139240475321981083
2.60955724800000022,0.509752629842338822,-0.222730737222817193,0.151467421350393205
2.63954694400000012,0.512751829532415382,-0.199431506724369462,0.0999733230025515451
2.66954940799999996,0.515933642048563734,-0.203481140851282605,0.106060417204944746
2.69954784000000014,0.518728667044069836,-0.204463452904981358,0.0931674998502048102
2.72955555199999989,0.521541402976838708,-0.205022853380785824,0.093757864425627363
2.75955401600000005,0.523212277828820072,-0.192363407544766135,0.055695828399377624
2.78954876799999996,0.52540101228146141,-0.211012288652245167,0.0729578150880434706
