t,X,Y,psi,vx
4.00003045797348e-07,-4.768371297814156e-08,8.275732454876561e-08,-0.0,0.0
0.0874084000242874,0.0006666203262284398,8.275732454876561e-08,-0.0,0.0016652112996973557
0.18755380000220612,0.0033332922030240297,8.275732454876561e-08,-0.0,0.007918335973957049
0.28749190003145486,0.007999974302947521,8.275732454876561e-08,-0.0,0.017602611243239915
0.3875615000142716,0.014666661620140076,8.275732454876561e-08,-0.0,0.029847802836486716
0.48758750001434237,0.023333346471190453,8.275732454876561e-08,-0.0,0.04406025866986828
0.5882982999901287,0.03400004282593727,8.275732454876561e-08,-0.0,0.05972143163074979
0.6877050999901257,0.04666795954108238,8.275732454876561e-08,-0.0,0.07647940318463287
0.7877817000262439,0.06133468821644783,8.275732454876561e-08,-0.0,0.09395322333399074
0.8879847999778576,0.07800140976905823,8.275732454876561e-08,-0.0,0.11214618478029281
0.9877874000230804,0.09666810929775238,8.275732454876561e-08,-0.0,0.13083404531241893
1.1217871999833733,0.12400151044130325,8.275732454876561e-08,-0.0,0.1492897947211672
1.2210094000329264,0.14666830003261566,8.275732454876561e-08,-0.0,0.1686780439502746
1.3218906000256538,0.17133504152297974,8.275732454876561e-08,-0.0,0.18827841886621716
1.455355399986729,0.20666851103305817,8.275732454876561e-08,-0.0,0.20726987061282298
1.5881484000128694,0.2446686327457428,8.275732454876561e-08,-0.0,0.22687073206056194
1.6883997999830171,0.2753354609012604,8.275732454876561e-08,-0.0,0.24684220591887202
1.8209980999818072,0.318668931722641,8.275732454876561e-08,-0.0,0.2663164164152609
1.9637454000185244,0.36466917395591736,8.275732454876561e-08,-0.0,0.2860617249699174
2.088661400019191,0.41333597898483276,8.275732454876561e-08,-0.0,0.30575361729537903
2.2209657999919727,0.46466952562332153,8.275732454876561e-08,-0.0,0.32564713379101096
2.3209654000238515,0.505336344242096,8.275732454876561e-08,-0.0,0.34592771832873115
2.4207984000095166,0.548003077507019,8.275732454876561e-08,-0.0,0.36587347888945465
2.5208705000113696,0.5926682353019714,8.275732454876561e-08,-0.0,0.3862155934721286
2.6207908000214957,0.6392966508865356,8.275732454876561e-08,-0.0,0.40599332353884615
2.7209459000150673,0.6877930164337158,8.275732454876561e-08,-0.0,0.42598398705661944
2.821577700029593,0.7380620241165161,8.275732454876561e-08,-0.0,0.44520866054619435
2.9207335999817587,0.7900088429450989,8.275732454876561e-08,-0.0,0.4638370785208839
3.021688000007998,0.8435419797897339,3.254772673244588e-05,0.001785383210517466,0.48164156056066865
3.1209457999793813,0.898571252822876,0.0003462049353402108,0.008108790963888168,0.49879367026981125
3.2208485000301152,0.9550079703330994,0.0011247920338064432,0.01683543622493744,0.5151549631091126
3.3208290000329725,1.0127638578414917,0.0024778414517641068,0.026856914162635803,0.5309378323583617
3.4208787999814376,1.071751594543457,0.004493814427405596,0.03796069696545601,0.5457534705028015
3.5209555000183173,1.1318851709365845,0.0072602140717208385,0.05007809028029442,0.559756375847297
3.6207717999932356,1.1930817365646362,0.010847214609384537,0.06273822486400604,0.5730192273830236
3.7546287000295706,1.2758702039718628,0.016915014013648033,0.07907567173242569,0.5854294860197284
3.8542140999925323,1.3389575481414795,0.022348403930664062,0.08843190968036652,0.5973665479983974
3.9874287000275217,1.4241491556167603,0.030271053314208984,0.09394839406013489,0.6084960103251412
4.088299900002312,1.4889800548553467,0.036241497844457626,0.08859223127365112,0.6189804142177046
4.187472100020386,1.5546832084655762,0.041361115872859955,0.07036393880844116,0.6290284409324816
4.288165299978573,1.6212235689163208,0.044786032289266586,0.04000440612435341,0.638455256936929
4.387735800002702,1.6884970664978027,0.04566425085067749,-0.0023077058140188456,0.6469505793012716
4.487471300002653,1.75630521774292,0.04315399006009102,-0.05611336976289749,0.6548077761214369
4.587652400019579,1.8243345022201538,0.036459941416978836,-0.12071758508682251,0.6619035337934933
4.687579900026321,1.8921438455581665,0.024851471185684204,-0.19555628299713135,0.66843814204373
4.821067399985623,1.9811146259307861,0.0007723003509454429,-0.3073504567146301,0.6738318829359994
4.987632900010794,2.087898015975952,-0.04377114027738571,-0.443471759557724,0.6788755118077322
5.1547851000214,2.190997362136841,-0.09713736176490784,-0.46467533707618713,0.6831437998829977
5.320788700017147,2.2992677688598633,-0.13607315719127655,-0.2511216104030609,0.6843501278552123
5.454283899976872,2.3893377780914307,-0.1453496515750885,-0.013542264699935913,0.6823165394450453
5.587573099997826,2.480827808380127,-0.13540492951869965,0.10952578485012054,0.6842461346548592
5.68752089998452,2.547743320465088,-0.13590039312839508,-0.06586065888404846,0.6802017341447951
5.821042100025807,2.6325793266296387,-0.15380720794200897,-0.293311208486557,0.6721441874423241
6.0209267000318505,2.7440266609191895,-0.21278512477874756,-0.6248847246170044,0.6602421849411445
6.254221800016239,2.8400533199310303,-0.3181299567222595,-0.9456108808517456,0.6469179525411537
6.4210164999822155,2.8999812602996826,-0.3982631266117096,-0.8834609985351562,0.634975676942442
6.554321400006302,2.960453748703003,-0.4543958902359009,-0.667050302028656,0.630542270549119
6.656135199998971,3.0131027698516846,-0.4898914694786072,-0.6116970777511597,0.6316082779495009
6.754206500016153,3.0606744289398193,-0.531825065612793,-0.7778865098953247,0.6320800718274922
6.854182699986268,3.100691795349121,-0.5811101198196411,-0.9442633986473083,0.6324714632959773
6.955188399995677,3.1323654651641846,-0.6372115015983582,-1.1131082773208618,0.6352155754854714
7.054177600017283,3.154521942138672,-0.6993798017501831,-1.2860862016677856,0.6411759282513021
7.1542650000192225,3.165747880935669,-0.766394317150116,-1.464186429977417,0.6504215075635814
7.254321000014897,3.1655519008636475,-0.8363770246505737,-1.60977303981781,0.6626418045533641
7.354594000033103,3.1601552963256836,-0.9081389307975769,-1.6444674730300903,0.6768247202009038
7.45435269997688,3.1572558879852295,-0.9816746115684509,-1.5852018594741821,0.6915471288979611
7.554670499986969,3.1607823371887207,-1.0562827587127686,-1.492232322692871,0.705388047724954
7.655126700003166,3.171452045440674,-1.1308791637420654,-1.3975694179534912,0.7173363352518662
7.7541663000010885,3.1891157627105713,-1.204460620880127,-1.303143858909607,0.7270445783456883
7.855061099980958,3.213975191116333,-1.2759628295898438,-1.2002211809158325,0.7344251443662201
7.954446599993389,3.246661901473999,-1.343979001045227,-1.0805727243423462,0.7392926685277618
8.054279499978293,3.287832260131836,-1.4066200256347656,-0.939791202545166,0.7416700812928656
8.154236799979117,3.3376784324645996,-1.461551308631897,-0.7770199775695801,0.7413913890704504
8.254453100031242,3.395504951477051,-1.506248950958252,-0.5959340333938599,0.7384185141214716
8.354250499978662,3.4594078063964844,-1.5387601852416992,-0.40798529982566833,0.7326978544369267
8.48759680002695,3.5498604774475098,-1.562308669090271,-0.16271737217903137,0.7239402006428519
8.620923999988008,3.640772581100464,-1.5635464191436768,0.07583887130022049,0.7128067791127465
8.754174900008366,3.726994514465332,-1.544198989868164,0.30766505002975464,0.6996072692536155
8.85423019999871,3.7860190868377686,-1.5177946090698242,0.4771263301372528,0.6862395001907168
8.98758389998693,3.8551928997039795,-1.4688197374343872,0.6994434595108032,0.6729581446849024
9.15414790000068,3.9229841232299805,-1.3894535303115845,0.9735240936279297,0.6603378624167238
9.25425619998714,3.952155351638794,-1.3345943689346313,1.1363478899002075,0.6492015187706157
9.387544600002002,3.9767675399780273,-1.2556090354919434,1.3405077457427979,0.6425491610657608
9.487569499993697,3.987196207046509,-1.1937826871871948,1.4049359560012817,0.6384508089135703
9.58752669999376,4.00063419342041,-1.1317788362503052,1.319471836090088,0.6374697838535999
9.68754260003334,4.022469997406006,-1.071743369102478,1.1697628498077393,0.6376808737051178
9.787798099976499,4.053814888000488,-1.0157663822174072,1.0056246519088745,0.638364190605584
9.921020200010389,4.109172344207764,-0.9502885937690735,0.7882596850395203,0.6390045981767996
10.020946600008756,4.159280776977539,-0.909417450428009,0.6349395513534546,0.6404153393187377
10.1209499000106,4.215028285980225,-0.8758693337440491,0.4985074996948242,0.6431970682619261
10.220841100031976,4.274929046630859,-0.8492056131362915,0.3832009434700012,0.6462058475826764
10.320864100009203,4.337714672088623,-0.8283828496932983,0.2934267818927765,0.6495804250713317
10.420847100031096,4.402434349060059,-0.8119551539421082,0.23063169419765472,0.6543171807971613
10.554336300003342,4.490534782409668,-0.7945767641067505,0.17774230241775513,0.6590704359003535
10.654323700000532,4.557631015777588,-0.7834026217460632,0.16259951889514923,0.6645375289665663
10.75422579998849,4.625315189361572,-0.7721898555755615,0.16674765944480896,0.6699209371594563
10.854533199977595,4.693423271179199,-0.7601638436317444,0.1794312447309494,0.675246041615055
10.954296100011561,4.761858940124512,-0.7470194101333618,0.19502413272857666,0.680758868665177
11.054176400008146,4.830564975738525,-0.7326825261116028,0.21098287403583527,0.6859969996310011
11.15429460001178,4.899497985839844,-0.7171623706817627,0.22665557265281677,0.6911990659031124
11.254241999995429,4.968613624572754,-0.7004556059837341,0.24258127808570862,0.6960809253201229
11.354184299998451,5.037845611572266,-0.6824870109558105,0.2600356340408325,0.7004175671312117
11.454252700030338,5.107094764709473,-0.663072407245636,0.2807161211967468,0.7056619530040107
11.554318399983458,5.176208972930908,-0.6419099569320679,0.30627867579460144,0.7099120763905122
11.65476220002165,5.2449822425842285,-0.6186174750328064,0.3376787006855011,0.7139250690443597
11.754539799992926,5.313171863555908,-0.5928068161010742,0.37471404671669006,0.7176297052281163
11.854312099982053,5.380529880523682,-0.564179003238678,0.41587570309638977,0.7212605551856583
11.987582200032193,5.468720436096191,-0.5218358635902405,0.4570322036743164,0.724331812500374
12.121065100014675,5.556832313537598,-0.4795980751514435,0.4273778200149536,0.7264394068313499
12.287608699989505,5.670656681060791,-0.4376741349697113,0.2981337010860443,0.7265164082930375
12.420953600027133,5.764212131500244,-0.41684314608573914,0.17176134884357452,0.7240538085539787
12.554305800003931,5.857908725738525,-0.40777185559272766,0.05630882829427719,0.7197350540310208
12.687642299977597,5.94981050491333,-0.4071269929409027,-0.007870868779718876,0.7120948205775607
12.854518999985885,6.0615363121032715,-0.40673282742500305,0.024470189586281776,0.7016165469650901
12.98757460003253,6.147838592529297,-0.4000081419944763,0.10509053617715836,0.6884990436015908
13.121181600028649,6.231103897094727,-0.3896923363208771,0.09325969964265823,0.6736077681134721
13.254276100022253,6.312149524688721,-0.3929111361503601,-0.11945834010839462,0.6567974610673566
13.387659500003792,6.389444828033447,-0.41266700625419617,-0.3286859691143036,0.641635651619999
13.48753330000909,6.445380687713623,-0.4363778233528137,-0.3840457797050476,0.6332114549820967
13.587541099986993,6.501791954040527,-0.45268839597702026,-0.2301812320947647,0.6214709150922062
13.687691800005268,6.5580315589904785,-0.46010324358940125,-0.08155158162117004,0.607735061600214
13.78756520000752,6.612757205963135,-0.45933422446250916,0.06184287741780281,0.5924921016015627
13.888443100033328,6.6648688316345215,-0.45124733448028564,0.2000015825033188,0.5760272149892592
13.987662400002591,6.713509559631348,-0.4368051290512085,0.33292344212532043,0.5587822629791241
14.087733299995307,6.758054733276367,-0.4170161485671997,0.46060726046562195,0.5407873187148082
14.187736899999436,6.798095703125,-0.3928918242454529,0.5830578804016113,0.5223600459250196
14.287735800025985,6.833414554595947,-0.365412175655365,0.7002705335617065,0.5036212685741772
14.387574799999129,6.863959789276123,-0.33549952507019043,0.8122474551200867,0.4845126095509261
14.487699299992528,6.889819622039795,-0.3039991855621338,0.9189894795417786,0.4652114465097331
14.58769170002779,6.911192893981934,-0.2716676890850067,1.020493507385254,0.4457674399965953
14.721018599986564,6.933591842651367,-0.22748517990112305,1.1502642631530762,0.4270861342909376
14.8876243000268,6.952997207641602,-0.16988413035869598,1.3095529079437256,0.4112871515010226
15.021053200005554,6.961911678314209,-0.12074204534292221,1.440394401550293,0.401996464255879
15.154156500007957,6.96423864364624,-0.06818848103284836,1.5782179832458496,0.40005624202915957
15.254766800033394,6.960906982421875,-0.026690572500228882,1.6872591972351074,0.40395703898787055
15.354318600031547,6.952553749084473,0.01613088697195053,1.801536202430725,0.4120003829920178
15.45422429998871,6.9386162757873535,0.05957581847906113,1.9210480451583862,0.42295722092508625
15.55440850002924,6.91861629486084,0.10279455780982971,2.0457944869995117,0.43618045094009966
15.654396100027952,6.892189979553223,0.14479026198387146,2.1757795810699463,0.45109068879796654
15.754289600008633,6.859130859375,0.18442848324775696,2.311000108718872,0.46656220140290006
15.85417890001554,6.819430828094482,0.22045627236366272,2.451456308364868,0.4844806915988193
16.02104419999523,6.740689754486084,0.26820769906044006,2.693113088607788,0.5008388298781361
16.154372000019066,6.668722152709961,0.29443493485450745,2.790822982788086,0.5192657269418112
16.287532399990596,6.598513126373291,0.3310354948043823,2.5831854343414307,0.5374553043526578
16.387648299976718,6.5497026443481445,0.36863958835601807,2.449920415878296,0.5568989639535382
16.521104399987962,6.487788677215576,0.4263315796852112,2.3775827884674072,0.5764178810167889
16.621002900006715,6.439516544342041,0.4708210527896881,2.410799503326416,0.5963866356360841
16.720974199997727,6.387909412384033,0.5145594477653503,2.4431090354919434,0.6164569253041973
16.820950200024527,6.334951877593994,0.5597958564758301,2.422689914703369,0.6364447948973122
16.921001599985175,6.282806873321533,0.6088699102401733,2.366821050643921,0.6563460041164755
17.02098010003101,6.232570171356201,0.6622941493988037,2.306492805480957,0.6754761663313487
17.15419239999028,6.169216632843018,0.7388390898704529,2.2380080223083496,0.692828765624065
17.28781509998953,6.1097259521484375,0.8199589848518372,2.1860225200653076,0.7082142690527078
17.387542899989057,6.066827774047852,0.8827732801437378,2.165452003479004,0.7214134209141141
17.4879197999835,6.024162292480469,0.9461713433265686,2.165187120437622,0.7320201640110252
