t,delta_ref,ax_ref
4.00003045797348e-07,0.0,1.0
0.0874084000242874,0.0,0.0
0.18755380000220612,0.0,0.0
0.28749190003145486,0.0,0.0
0.3875615000142716,0.0,0.0
0.48758750001434237,0.0,0.0
0.5882982999901287,0.0,0.0
0.6877050999901257,0.0,0.0
0.7877817000262439,0.0,0.0
0.8879847999778576,0.0,0.0
0.9877874000230804,0.0,0.0
1.1217871999833733,0.0,0.0
1.2210094000329264,0.0,0.0
1.3218906000256538,0.0,0.0
1.455355399986729,0.0,0.0
1.5881484000128694,0.0,0.0
1.6883997999830171,0.0,0.0
1.8209980999818072,0.0,0.0
1.9637454000185244,0.0,0.0
2.088661400019191,0.0,0.0
2.2209657999919727,0.0,0.0
2.3209654000238515,0.0,0.0
2.4207984000095166,0.0,0.0
2.5208705000113696,0.0,0.0
2.6207908000214957,0.0,0.0
2.7209459000150673,0.0,0.0
2.821577700029593,0.0,0.0
2.9207335999817587,0.0,0.0
3.021688000007998,0.0,0.0
3.1209457999793813,0.0,0.0
3.2208485000301152,0.0,0.0
3.3208290000329725,0.019043242601405237,0.0
3.4208787999814376,0.08079705428378538,0.0
3.5209555000183173,0.1084623095930914,0.0
3.6207717999932356,0.11199633949777008,0.0
3.7546287000295706,0.09161074736354266,0.0
3.8542140999925323,0.0634948979532667,0.0
3.9874287000275217,0.01345161358188555,0.0
4.088299900002312,-0.0329177198504429,0.0
4.187472100020386,-0.0877081118186988,0.0
4.288165299978573,-0.15210600783582182,0.0
4.387735800002702,-0.22556671812568782,0.0
4.487471300002653,-0.30233218939290285,0.0
4.587652400019579,-0.365145869993065,0.0
4.687579900026321,-0.3826842904229094,0.0
4.821067399985623,-0.27137024578294366,0.0
4.987632900010794,-0.3714684709636083,0.0
5.1547851000214,-0.46574877038277257,0.0
5.320788700017147,-0.3721130335882076,0.0
5.454283899976872,-0.22780100094676445,0.0
5.587573099997826,-0.10067446272293669,0.0
5.68752089998452,0.018902008716998212,0.0
5.821042100025807,0.208418138901936,0.0
6.0209267000318505,0.11994628933094756,0.0
6.254221800016239,-1.1340149301176087e-15,0.0
6.4210164999822155,-1.3115648637997316e-15,0.0
6.554321400006302,-7.653997870111379e-16,0.0
6.656135199998971,-1.6231053448402844e-16,0.0
6.754206500016153,4.705896227161588e-16,0.0
6.854182699986268,9.983791332204606e-16,0.0
6.955188399995677,1.2911252083710922e-15,0.0
7.054177600017283,1.238146027000571e-15,0.0
7.1542650000192225,7.856853412342721e-16,0.0
7.254321000014897,-0.008682543903135708,0.0
7.354594000033103,-0.23031768907730185,0.0
7.45435269997688,-0.3275862094468674,0.0
7.554670499986969,-0.3227897914098384,0.0
7.655126700003166,-0.23110248794130137,0.0
7.7541663000010885,-0.08571950936855777,0.0
7.855061099980958,0.09218682400076714,0.0
7.954446599993389,0.3120383886273,0.0
8.054279499978293,0.5236,0.0
8.154236799979117,0.5236,0.0
8.254453100031242,0.5236,0.0
8.354250499978662,0.5236,0.0
8.48759680002695,0.5236,0.0
8.620923999988008,0.5236,0.0
8.754174900008366,0.5236,0.0
8.85423019999871,0.5236,0.0
8.98758389998693,0.5236,0.0
9.15414790000068,-0.09125315108691097,0.0
9.25425619998714,-0.5016067591526554,0.0
9.387544600002002,-0.4633823445216734,0.0
9.487569499993697,-0.3439253742918511,0.0
9.58752669999376,-0.2428049685258871,0.0
9.68754260003334,-0.14058100974556612,0.0
9.787798099976499,-0.1817987074035817,0.0
9.921020200010389,-0.23112947109688994,0.0
10.020946600008756,-0.20746957628100265,0.0
10.1209499000106,-0.16978071626619526,0.0
