t,vx_cmd,delta_cmd,ax_cmd
0.045942199998535216,0.05643884726662489,0.284786965158874,0.8062692466660698
0.11643029999686405,0.12497612080809462,-0.3008176259753855,0.9791039077352817
0.18625530001008883,0.19497612080664167,0.3900599685089071,0.9999999999792436
0.2561215999885462,0.26497612076763605,-0.29265124627345107,0.9999999994427764
0.32597040000837296,0.33497612076644645,-0.15115275177852164,0.9999999999830056
0.3960097999952268,0.404976120761372,0.3241804906837976,0.999999999927508
0.46616420001373626,0.47497612072582995,0.06871303707988081,0.9999999994922557
0.5363660000148229,0.5440116466814524,-0.16850018509733047,0.9862217993660348
0.6065925000002608,0.6037964748805315,-0.08141697566586424,0.8540689742725572
0.6764856000081636,0.652006000461397,0.030629012167481588,0.688707508298079
0.7465047999867238,0.6755968364612609,0.034575362667450704,0.33701194285519814
0.8161987999919802,0.6869526480311166,0.014930719794647907,0.16222587956936704
0.8863672000006773,0.6877632804454087,0.0025324757013342296,0.011580463061316456
0.9561249999969732,0.6796364451364572,-0.001721428844406489,-0.11609764727073543
1.026071000000229,0.6647162994667744,-0.0024840542929765123,-0.21314493813832505
1.0965605000092182,0.645551670083544,-0.002317172163313232,-0.27378041976043466
1.1662254999973811,0.6234463016904024,-0.0019972136114707792,-0.3157909770448798
1.2359331999905407,0.6008553545229769,-0.0017046870067503495,-0.3227278166775077
1.3064846000052057,0.5791668246415771,-0.0013673407100190727,-0.30983614116285435
1.3763856000150554,0.5597087486522417,-0.0008712245703606127,-0.2779725141333617
1.4462126000144053,0.5337962459055097,4.779216749130323e-05,-0.37017861066760066
1.516318100009812,0.512089939077217,0.0013182556887925052,-0.3100900975470388
1.5863494999939576,0.4958110248803248,0.0032543076505128646,-0.23255591709845988
1.6560786000045482,0.4854912493329871,0.006050891096316657,-0.14742536496196743
1.7263351999863517,0.481303649044508,0.009817084463447456,-0.05982286126398709
1.7964016000041738,0.48265724505875207,0.014423011986119103,0.019337085917771984
1.8663840999943204,0.48877305758782175,0.019563745563066105,0.08736875041528115
1.9363299999968149,0.49877261058152095,0.02478967505586696,0.14285075705284594
2.006603099987842,0.5111204032241754,0.02931449644590314,0.17639703775220678
2.0763880999875255,0.5239083812732238,0.032421194852308925,0.18268540070069167
