time,reference_index,X,Y,psi,vx,X_ref,Y_ref,psi_ref,vx_ref,position_error,yaw_error,speed_error,vx_cmd,delta_cmd,ax_cmd
4.00003045797348e-07,0,-4.768371297814156e-08,9.48458875882352e-08,-0.0,0.0,0.0,0.0,0.0,0.0,1.0615780176596506e-07,0.0,0.0,0.015,-6.048980383430881e-05,0.3
0.09666999999899417,3,0.0004999532829970121,9.48458875882352e-08,-0.0,0.0012494239337432623,0.0004999532829970121,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.9987505760662567,0.03,-6.0395522789694165e-05,0.3
0.1966919000260532,7,0.002499957336112857,9.48458875882352e-08,-0.0,0.0059370330827771805,0.002499957336112857,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.9940629669172228,0.045,-5.843023381611946e-05,0.3
0.29674010002054274,10,0.0059999641962349415,9.48458875882352e-08,-0.0,0.013207983802121275,0.0059999641962349415,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.9867920161978787,0.06,-5.1504756090588305e-05,0.3
0.3966857000195887,14,0.010999973863363266,9.48458875882352e-08,-0.0,0.022404749645043614,0.010999973863363266,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.9775952503549564,0.075,-4.027356794162855e-05,0.3
0.49667390002286993,17,0.017499998211860657,9.48458875882352e-08,-0.0,0.03304816491856743,0.017499998211860657,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.9669518350814326,0.09,-2.891231589384551e-05,0.3
0.5967155000253115,20,0.02550002560019493,9.48458875882352e-08,-0.0,0.04478119338802552,0.02550002560019493,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.9552188066119744,0.105,-2.012733877994068e-05,0.3
0.6966931000060868,22,0.035000044852495193,9.48458875882352e-08,-0.0,0.057351034037893725,0.035000044852495193,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.9426489659621062,0.12,-1.4103010933941964e-05,0.3
0.7969423000176903,25,0.04600007086992264,9.48458875882352e-08,-0.0,0.0705146606389211,0.04600007086992264,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.9294853393610789,0.135,-1.0128363951367674e-05,0.3
0.8970673000148963,28,0.05854715034365654,9.48458875882352e-08,-0.0,0.08414341797238675,0.05854715034365654,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.9158565820276132,0.15000000000000002,-7.486255516595417e-06,0.3
0.9969929000071716,30,0.07254717499017715,9.48458875882352e-08,-0.0,0.09806626895565039,0.07254717499017715,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.9019337310443496,0.16500000000000004,-5.697451556997092e-06,0.3
1.0971448000054806,33,0.08804720640182495,9.48458875882352e-08,-0.0,0.11230567115069373,0.08804720640182495,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.8876943288493062,0.18000000000000005,-4.443674602238454e-06,0.3
1.1971084000251722,36,0.10504724085330963,9.48458875882352e-08,-0.0,0.12675272740480345,0.10504724085330963,0.0,0.0,1.0,9.48458875882352e-08,0.0,-0.8732472725951965,0.19500000000000006,-3.5444101702766437e-06,0.3
