t,ref_index,X_ref,Y_ref,psi_ref,vx_ref
4.00003045797348e-07,0,0.0,0.0,0.0,0.0
0.09666999999899417,3,0.0004999532829970121,0.0,0.0,1.0
0.1966919000260532,7,0.002499957336112857,0.0,0.0,1.0
0.29674010002054274,10,0.0059999641962349415,0.0,0.0,1.0
0.3966857000195887,14,0.010999973863363266,0.0,0.0,1.0
0.49667390002286993,17,0.017499998211860657,0.0,0.0,1.0
0.5967155000253115,20,0.02550002560019493,0.0,0.0,1.0
0.6966931000060868,22,0.035000044852495193,0.0,0.0,1.0
0.7969423000176903,25,0.04600007086992264,0.0,0.0,1.0
0.8970673000148963,28,0.05854715034365654,0.0,0.0,1.0
0.9969929000071716,30,0.07254717499017715,0.0,0.0,1.0
1.0971448000054806,33,0.08804720640182495,0.0,0.0,1.0
1.1971084000251722,36,0.10504724085330963,0.0,0.0,1.0
1.2971215000143275,38,0.12354730069637299,0.0,0.0,1.0
1.3970508000056725,40,0.14354735612869263,0.0,0.0,1.0
1.497020100010559,43,0.16504743695259094,0.0,0.0,1.0
1.5971265000116546,45,0.18804751336574554,0.0,0.0,1.0
1.6970441000012215,48,0.21254761517047882,0.0,0.0,1.0
1.7972375000244938,50,0.23854772746562958,0.0,0.0,1.0
1.8973334000038449,52,0.26604777574539185,0.0,0.0,1.0
1.9970116000040434,55,0.2950478494167328,0.0,0.0,1.0
2.0972885000228416,57,0.3255479037761688,0.0,0.0,1.0
2.1970657000201754,59,0.35754796862602234,0.0,0.0,1.0
2.2972656000056304,62,0.3910480737686157,0.0,0.0,1.0
2.3972952000040095,64,0.4260481595993042,0.0,0.0,1.0
2.4970669000176713,66,0.4625481963157654,0.0,0.0,1.0
2.5970666000212077,69,0.5005483031272888,0.0,0.0,1.0
2.6970192000153475,71,0.5400484204292297,0.0,0.0,1.0
2.7970395000011194,73,0.5810485482215881,0.0,0.0,1.0
2.8970244000083767,75,0.6235486268997192,0.0,0.0,1.0
2.997016800014535,78,0.6675487160682678,0.0,0.0,1.0
3.0970505000150297,80,0.7130488157272339,0.0,0.0,1.0
3.1970728000160307,82,0.7600489854812622,0.0,0.0,1.0
3.297141000017291,85,0.8085491061210632,0.0,0.0,1.0
3.3970318000065163,87,0.858549952507019,0.0,0.0,1.0
3.497041100024944,89,0.9100500345230103,0.0,0.0,1.0
3.597033800004283,92,0.963050127029419,0.0,0.0,1.0
3.697040900005959,94,1.0175503492355347,0.0,0.0,1.0
3.7970539000234567,96,1.0735504627227783,0.0,0.0,1.0
3.8970519000140484,99,1.1310505867004395,0.0,0.0,1.0
3.997106300026644,101,1.1900508403778076,0.0,0.0,1.0
4.097054700017907,103,1.2505509853363037,0.0,0.0,1.0
4.197035800025333,106,1.312552571296692,0.0,0.0,1.0
4.297026800020831,108,1.3760528564453125,0.0,0.0,1.0
4.397165100002894,111,1.4410531520843506,0.0,0.0,1.0
4.497081800014712,113,1.507553219795227,0.0,0.0,1.0
4.597038200008683,116,1.5755534172058105,0.0,0.0,1.0
4.6970395000244025,118,1.6450536251068115,0.0,0.0,1.0
4.797126900026342,121,1.71605384349823,0.0,0.0,1.0
4.897063100012019,123,1.7885541915893555,0.0,0.0,1.0
4.997041100024944,126,1.8625545501708984,0.0,0.0,1.0
5.097049500007415,129,1.9380545616149902,0.0,0.0,1.0
5.19703050001408,131,2.015054702758789,0.0,0.0,1.0
5.297037500014994,134,2.093554973602295,0.0,0.0,1.0
5.397118000022601,137,2.1735551357269287,0.0,0.0,1.0
5.497045399999479,139,2.2550556659698486,0.0,0.0,1.0
5.597057000006316,142,2.3380556106567383,0.0,0.0,1.0
5.697035700024571,145,2.422555685043335,0.0,0.0,1.0
5.797050500026671,148,2.5085561275482178,0.0,0.0,1.0
5.930443600023864,152,2.625056505203247,0.0,0.0,1.0
6.063869100005832,156,2.7435553073883057,0.0,0.0,1.0
6.19710990000749,160,2.863790512084961,0.0,0.0,1.0
6.363994000013918,166,3.0145363807678223,0.0,0.0,1.0
6.464885400026105,169,3.1009719371795654,0.0,0.0,1.0
6.564007300010417,171,3.179579973220825,0.0,0.0,1.0
6.663961900019785,174,3.2466540336608887,0.0,0.0,1.0
6.764005700009875,176,3.2994518280029297,0.0,0.0,1.0
6.864098700025352,177,3.3365087509155273,0.0,0.0,1.0
6.9651309000037145,178,3.3603532314300537,0.0,0.0,1.0
7.0665232000174,179,3.3968899250030518,0.0,0.0,1.0
7.164471600000979,181,3.4472670555114746,0.0,0.0,1.0
7.297748500015587,184,3.5314159393310547,0.0,0.0,1.0
7.431070200022077,188,3.6281425952911377,0.0,0.0,1.0
7.531151200004388,191,3.6966426372528076,0.0,0.0,1.0
7.631094700016547,193,3.7659218311309814,0.0,0.0,1.0
7.731154200009769,196,3.8274755477905273,0.0,0.0,1.0
7.831108600017615,198,3.8792049884796143,0.0,0.0,1.0
7.931072800012771,200,3.9203319549560547,0.0,0.0,1.0
8.031113400007598,201,3.9502313137054443,0.0,0.0,1.0
8.131238000001758,202,3.9670228958129883,0.0,0.0,1.0
8.231845500005875,202,3.972513437271118,0.0,0.0,1.0
8.297981400013668,202,3.981785297393799,0.0,0.0,1.0
8.364541500021005,203,3.996725082397461,0.0,0.0,1.0
8.431378300010692,204,4.016745090484619,0.0,0.0,1.0
8.531351800018456,205,4.055323600769043,0.0,0.0,1.0
8.631289400014794,207,4.102437973022461,0.0,0.0,1.0
8.731215200008592,210,4.156057357788086,0.0,0.0,1.0
8.831120600021677,212,4.214134216308594,0.0,0.0,1.0
8.89776720001828,214,4.2540202140808105,0.0,0.0,1.0
8.96448190000956,216,4.294100761413574,0.0,0.0,1.0
9.064687500009313,218,4.354215145111084,0.0,0.0,1.0
9.16471690000617,221,4.4136810302734375,0.0,0.0,1.0
9.23136710000108,223,4.453712463378906,0.0,0.0,1.0
9.331359800009523,226,4.512568473815918,0.0,0.0,1.0
9.3980075000145,228,4.5504937171936035,0.0,0.0,1.0
9.49814590002643,230,4.603463649749756,0.0,0.0,1.0
9.598297500022454,233,4.6499247550964355,0.0,0.0,1.0
9.698433900019154,234,4.687863826751709,0.0,0.0,1.0
9.798182099999394,236,4.715376853942871,0.0,0.0,1.0
9.898530700011179,237,4.733035087585449,0.0,0.0,1.0
9.998265000001993,238,4.756316184997559,0.0,0.0,1.0
10.098019800003385,240,4.7918500900268555,0.0,0.0,1.0
10.198101900023175,242,4.832891941070557,0.0,0.0,1.0
10.298039700021036,243,4.863049030303955,0.0,0.0,1.0
10.398085799999535,244,4.881895542144775,0.0,0.0,1.0
10.464738800015766,245,4.901399612426758,0.0,0.0,1.0
10.53137950002565,246,4.928375244140625,0.0,0.0,1.0
10.5979807000258,248,4.9613356590271,0.0,0.0,1.0
10.664772300020559,250,4.995349407196045,0.0,0.0,1.0
10.731326000008266,251,5.02836799621582,0.0,0.0,1.0
10.797968099999707,253,5.0637054443359375,0.0,0.0,1.0
10.864612000004854,255,5.103879451751709,0.0,0.0,1.0
10.931297000002814,257,5.1481218338012695,0.0,0.0,1.0
10.998019300022861,260,5.1954522132873535,0.0,0.0,1.0
11.064625900005922,262,5.245805740356445,0.0,0.0,1.0
11.131287700001849,265,5.2994914054870605,0.0,0.0,1.0
