time,reference_index,X_ref,Y_ref,psi_ref,vx_ref,delta_ref,ax_ref
0.0404180999903474,0,0.0,0.0,3.14,0.0,0.5236,0.25543793280589405
0.11034630000358447,4,-0.0009786558893093709,-8.955349775508682e-06,3.1540665847217104,0.02761497205323597,0.5236,0.3
0.18069029998150654,7,-0.00355745656284169,-4.8819962886875296e-05,3.158986971256253,0.059873807521438206,0.26304378234454007,0.3
0.25037729999166913,11,-0.010495237334427518,-0.0001852576726671132,3.1627609251351894,0.11587737544924383,0.07795745496543158,0.3
0.320806999981869,14,-0.018919903191749833,-0.0003719126705887108,3.164514418837279,0.16606431908425734,0.03733900503653131,0.3
0.3906413000077009,18,-0.03516746150500241,-0.0007586283156830313,3.1660495784395204,0.24172426940635788,0.01599573298700115,0.3
0.46068170000216924,21,-0.051504097607945595,-0.0011650626686444548,3.1668092252611197,0.30363021986670075,0.008918981802148217,0.3
0.53082600000198,25,-0.07925383317695552,-0.0018753077108842385,3.1674694505574257,0.39112328710270894,0.0040971237945027,0.3
0.6007570999790914,28,-0.1047477332679599,-0.0025393708572178366,3.1677677166280094,0.459222837959273,0.002128763449246577,0.3
0.670504699985031,32,-0.1451614685670757,-0.0036022354535197743,3.167964239287216,0.5516380864177478,0.0005652902045470308,0.3
0.7405647999839857,35,-0.1803328718483592,-0.00453067440608311,3.16798726798327,0.6210903068214125,-0.00016929636327480852,0.3
0.8107273000059649,39,-0.2336695278177453,-0.005936470217012492,3.1678771908141172,0.7124295771618858,-0.0008315226260839103,0.3
0.8804069999896456,42,-0.27840937573047175,-0.007108966669610804,3.1676997976845254,0.7790781833695096,-0.0011876812317339514,0.3
0.9504139999917243,46,-0.3441526474816665,-0.008814609667944813,3.167346183534743,0.8642562405858675,-0.0015572797105605693,0.3
1.0207590000063647,49,-0.39781834048511433,-0.010187817101753495,3.166996267987994,0.9246296823822995,-0.0017892057154356151,0.3
1.0906374999904074,53,-0.4748043730065867,-0.01212221038104446,3.166417589385636,0.9994743227687798,-0.0020699478914792896,0.3
1.1604630000074394,56,-0.5363155273573174,-0.013633791171031516,3.165897882380248,1.050785866531682,-0.002274085045133021,0.3
1.230980099993758,60,-0.6228605912200256,-0.015703207754170237,3.165085486115116,1.1120380411270303,-0.002554242947670801,0.3
1.3009910999971908,63,-0.6907947957510506,-0.017275870275518728,3.164381210883589,1.1521858769156241,-0.0027796924473095963,0.3
1.3705744000035338,67,-0.7848229628140008,-0.01936933592329775,3.1633049015075567,1.1974998608033285,-0.003113394781275721,0.3
1.4407571000047028,70,-0.8575115357139518,-0.020914871657828286,3.1623854955548776,1.2250672545555767,-0.0033972310459740884,0.3
1.5107864000019617,74,-0.9566823548297535,-0.022909547677505165,3.160993389126473,1.253010892487672,-0.003834412264730787,0.28560177264541053
1.5805901999992784,77,-1.0323061004220495,-0.02433286832009836,3.1598108811026697,1.267266409592012,-0.004217305800346484,0.18955354380773315
1.65034329998889,81,-1.1341422731424755,-0.026099434373958983,3.1580254624699577,1.2773214794131291,-0.004820326573512589,0.062126403918561834
1.7205551999795716,84,-1.2108272386644914,-0.0273026089389779,3.1565102482223653,1.2782193166761808,-0.00535784084003458,-0.03179923937365814
1.7907566000067163,88,-1.312842294946035,-0.028710645852899733,3.1542210719756336,1.2707820689273304,-0.006216908011516287,-0.15312831669509208
1.8604696999827866,91,-1.3887555273282703,-0.029596937780612405,3.152275191210111,1.2589625456680666,-0.006992257633492524,-0.24002825350962098
1.9309921999811195,95,-1.4885815012377017,-0.030520310352627797,3.149328305779694,1.2353444947265027,-0.008244997838502962,-0.3
2.0004958999925293,98,-1.5620268038829486,-0.030998214615629602,3.146816442038099,1.212134761874303,-0.009386009837730889,-0.3
