t,solve_time,solver_success,solver_status
0.0404180999903474,0.002666999993380159,1,OPTIMAL
0.11034630000358447,0.0012376999948173761,1,OPTIMAL
0.18069029998150654,0.0016619999951217324,1,OPTIMAL
0.25037729999166913,0.0014150000060908496,1,OPTIMAL
0.320806999981869,0.0013334999966900796,1,OPTIMAL
0.3906413000077009,0.001351400016574189,1,OPTIMAL
0.46068170000216924,0.0009843000152613968,1,OPTIMAL
0.53082600000198,0.0012704999826382846,1,OPTIMAL
0.6007570999790914,0.0015187000099103898,1,OPTIMAL
0.670504699985031,0.0011477000080049038,1,OPTIMAL
0.7405647999839857,0.0010454999865032732,1,OPTIMAL
0.8107273000059649,0.0012838999973610044,1,OPTIMAL
0.8804069999896456,0.0012955999991390854,1,OPTIMAL
0.9504139999917243,0.0009983000054489821,1,OPTIMAL
1.0207590000063647,0.0011239000014029443,1,OPTIMAL
1.0906374999904074,0.0012136000150348991,1,OPTIMAL
1.1604630000074394,0.0011781000066548586,1,OPTIMAL
1.230980099993758,0.0016355999978259206,1,OPTIMAL
1.3009910999971908,0.0014276999863795936,1,OPTIMAL
1.3705744000035338,0.0011602999875321984,1,OPTIMAL
1.4407571000047028,0.0013008000096306205,1,OPTIMAL
1.5107864000019617,0.001783000014256686,1,OPTIMAL
1.5805901999992784,0.0016764999891165644,1,OPTIMAL
1.65034329998889,0.001821899990318343,1,OPTIMAL
1.7205551999795716,0.00169500001356937,1,OPTIMAL
1.7907566000067163,0.0013764000032097101,1,OPTIMAL
1.8604696999827866,0.0011885999992955476,1,OPTIMAL
1.9309921999811195,0.0013428999809548259,1,OPTIMAL
2.0004958999925293,0.0017097999807447195,1,OPTIMAL
2.0708722999843303,0.001060499984305352,1,OPTIMAL
2.1407672000059392,0.0012240999785717577,1,OPTIMAL
2.2106897000048775,0.001288700004806742,1,OPTIMAL
2.280666200007545,0.0016625999996904284,1,OPTIMAL
2.3508353999932297,0.0014811000146437436,1,OPTIMAL
2.420457100000931,0.0017059000092558563,1,OPTIMAL
2.4905677000060678,0.001455499994335696,1,OPTIMAL
2.560777499980759,0.00156309999874793,1,OPTIMAL
2.630627699982142,0.0010022999776992947,1,OPTIMAL
2.7007827000052202,0.0016673000063747168,1,OPTIMAL
