t,X,Y,psi,vx
6.00004568696022e-07,-4.768371297814156e-08,8.2608309526222e-08,-0.0,0.0
0.0701326000271365,0.002333297161385417,8.2608309526222e-08,-0.0,0.008760630402225132
0.14025419997051358,0.009333310648798943,8.2608309526222e-08,-0.0,0.032790265712563625
0.2104531000368297,0.02100001461803913,8.2608309526222e-08,-0.0,0.06838985542748902
0.28046829998493195,0.0373334102332592,8.2608309526222e-08,-0.0,0.11222216493493539
0.3503166000591591,0.058333542197942734,8.2608309526222e-08,-0.0,0.16323100426702314
0.4205531000625342,0.08400025963783264,8.2608309526222e-08,-0.0,0.21870574636447895
0.4902795000234619,0.11433364450931549,8.2608309526222e-08,-0.0,0.27782604575742575
0.5603712999727577,0.16800042986869812,8.2608309526222e-08,-0.0,0.34246529298214007
0.6301664999919012,0.20766717195510864,8.2608309526222e-08,-0.0,0.4056710591071806
0.700526800006628,0.2520006597042084,8.2608309526222e-08,-0.0,0.4695272693844127
0.770368600031361,0.3010007441043854,8.2608309526222e-08,-0.0,0.536578447467103
0.8404031000100076,0.3546675443649292,8.2608309526222e-08,-0.0,0.6039677939489285
0.910411800025031,0.41300109028816223,8.2608309526222e-08,-0.0,0.6716278121741348
0.9804281999822706,0.4760013222694397,8.2608309526222e-08,-0.0,0.7399659407917978
1.0500595000339672,0.5436682105064392,8.2608309526222e-08,-0.0,0.8090334603908083
1.1203901000553742,0.6160016655921936,8.2608309526222e-08,-0.0,0.8778339129888932
1.1901055000489578,0.69301438331604,8.2608309526222e-08,-0.0,0.946704591518061
1.2602531999582425,0.816681444644928,8.2608309526222e-08,-0.0,1.0196605451170204
1.3592217999976128,0.9450152516365051,-6.897581897646887e-06,-0.0001574476045789197,1.0854933229393826
1.4591877000639215,1.0803478956222534,-0.00038812620914541185,-0.007421356625854969,1.152438531967565
1.5592602000106126,1.2224401235580444,-0.003594757290557027,-0.03158833086490631,1.219218093712557
1.6592088000616059,1.36989164352417,-0.0112035246565938,-0.06045565381646156,1.2841123151079143
1.7592810000060126,1.5200144052505493,-0.022624922916293144,-0.08185604214668274,1.339489856635573
1.8591824000468478,1.6702423095703125,-0.036346014589071274,-0.09535304456949234,1.3817401954377198
1.9591845000395551,1.8173142671585083,-0.0521700419485569,-0.11926748603582382,1.4060734609089736
2.0592016000300646,1.9572255611419678,-0.07436225563287735,-0.18717992305755615,1.4086549733629972
2.1591463000513613,2.087073564529419,-0.10977602750062943,-0.3186761140823364,1.3921666128495747
2.259125299984589,2.2023963928222656,-0.1641688048839569,-0.510951042175293,1.362377000933663
2.3591493000276387,2.2980687618255615,-0.23744162917137146,-0.7211430072784424,1.3223352765699183
2.4591522000264376,2.3751721382141113,-0.3209269940853119,-0.8468824028968811,1.2758093442658411
2.559155400027521,2.4464967250823975,-0.4002625048160553,-0.8182644248008728,1.2234379579268175
2.659156300011091,2.5187554359436035,-0.46890726685523987,-0.7310823798179626,1.1666708654120033
2.7591706999810413,2.5899951457977295,-0.528202474117279,-0.7017685174942017,1.1066483718678433
2.8591935000149533,2.6540157794952393,-0.5903332233428955,-0.8311969637870789,1.0526912484593
2.9594931000610813,2.705573320388794,-0.6689615249633789,-1.0628060102462769,1.0239122681750765
3.059177799965255,2.745687484741211,-0.7592654228210449,-1.118971347808838,1.0148351548288854
3.1258189999498427,2.780357837677002,-0.8125538229942322,-0.9523991942405701,0.9993568297710792
3.192548800026998,2.819833993911743,-0.8562919497489929,-0.7980461716651917,0.9701034302811345
3.2591689999680966,2.8616344928741455,-0.890888512134552,-0.6559087634086609,0.9310903479086813
3.3258809000253677,2.9037020206451416,-0.9171688556671143,-0.52599036693573,0.8841011572527633
3.3925435000564903,2.9444079399108887,-0.9362148642539978,-0.4082871973514557,0.8315303922652186
3.459163299994543,2.9845879077911377,-0.9497536420822144,-0.29724356532096863,0.7823731492514194
3.5259544999571517,3.0281362533569336,-0.9590219855308533,-0.18062633275985718,0.7538854312855544
3.592768599977717,3.077141284942627,-0.9631449580192566,-0.0518048070371151,0.7498342884069533
3.6592345000244677,3.13089919090271,-0.9602370262145996,0.08923404663801193,0.7641211270532673
3.725985800032504,3.188176393508911,-0.9483733773231506,0.24249128997325897,0.7921641171448606
3.7926107000093907,3.2471272945404053,-0.9257352352142334,0.40796396136283875,0.8308164731626899
3.8592353999847546,3.305236339569092,-0.890801191329956,0.5856561064720154,0.8772138235052678
3.9258441999554634,3.3593173027038574,-0.842583954334259,0.7755680084228516,0.929128809641008
3.9925218999851495,3.407499074935913,-0.7822821140289307,0.9183871150016785,0.9863796076629137
4.0591989000095055,3.4572396278381348,-0.7173545956611633,0.8735095262527466,1.046173888256245
4.125856900005601,3.5205671787261963,-0.6584457159042358,0.7165236473083496,1.108847471606445
