t,solve_time,solver_success,solver_status,number_of_config_obstacles,number_of_active_edges,number_of_binary_variables
6.00004568696022e-07,0.005948500009253621,1,MIQP_OPTIMAL,2,8,104
0.0701326000271365,0.0068663000129163265,1,MIQP_OPTIMAL,2,8,104
0.14025419997051358,0.004677499993704259,1,MIQP_OPTIMAL,2,8,104
0.2104531000368297,0.002894100034609437,1,MIQP_OPTIMAL,2,8,104
0.28046829998493195,0.0035989999305456877,1,MIQP_OPTIMAL,2,8,104
0.3503166000591591,0.0029408999253064394,1,MIQP_OPTIMAL,2,8,104
0.4205531000625342,0.0028484000358730555,1,MIQP_OPTIMAL,2,8,104
0.4902795000234619,0.003554200055077672,1,MIQP_OPTIMAL,2,8,104
0.5603712999727577,0.0032348999520763755,1,MIQP_OPTIMAL,2,8,104
0.6301664999919012,0.002867399947717786,1,MIQP_OPTIMAL,2,8,104
0.700526800006628,0.0030611000256612897,1,MIQP_OPTIMAL,2,8,104
0.770368600031361,0.003097900073044002,1,MIQP_OPTIMAL,2,8,104
0.8404031000100076,0.0035917999921366572,1,MIQP_OPTIMAL,2,8,104
0.910411800025031,0.005271899979561567,1,MIQP_OPTIMAL,2,8,104
0.9804281999822706,0.008177099982276559,1,MIQP_OPTIMAL,2,8,104
1.0500595000339672,0.0076391000766307116,1,MIQP_OPTIMAL,2,8,104
1.1203901000553742,0.010449400055222213,1,MIQP_OPTIMAL,2,8,104
1.1901055000489578,0.007092999992892146,1,MIQP_OPTIMAL,2,8,104
1.2602531999582425,0.024792699958197773,1,MIQP_OPTIMAL,2,8,104
1.3592217999976128,0.026663900003768504,1,MIQP_OPTIMAL,2,8,104
1.4591877000639215,0.03058599994983524,1,MIQP_OPTIMAL,2,8,104
1.5592602000106126,0.02406280010472983,1,MIQP_OPTIMAL,2,8,104
1.6592088000616059,0.025522700045257807,1,MIQP_OPTIMAL,2,8,104
1.7592810000060126,0.029319099965505302,1,MIQP_OPTIMAL,2,8,104
1.8591824000468478,0.03851320000831038,1,MIQP_OPTIMAL,2,8,104
1.9591845000395551,0.024885700084269047,1,MIQP_OPTIMAL,2,8,104
2.0592016000300646,0.026196699938736856,1,MIQP_OPTIMAL,2,8,104
2.1591463000513613,0.02724270010367036,1,MIQP_OPTIMAL,2,8,104
2.259125299984589,0.032415200024843216,1,MIQP_OPTIMAL,2,8,104
2.3591493000276387,0.03594249999150634,1,MIQP_OPTIMAL,2,8,104
2.4591522000264376,0.035474900039844215,1,MIQP_OPTIMAL,2,8,104
2.559155400027521,0.03455000009853393,1,MIQP_OPTIMAL,2,8,104
2.659156300011091,0.030601399950683117,1,MIQP_OPTIMAL,2,8,104
2.7591706999810413,0.027584699913859367,1,MIQP_OPTIMAL,2,8,104
2.8591935000149533,0.025380600010976195,1,MIQP_OPTIMAL,2,8,104
