t,vx_cmd,delta_cmd,ax_cmd
6.00004568696022e-07,0.07,-3.671933192939719e-05,1.0
0.0701326000271365,0.14,0.0,1.0
0.14025419997051358,0.21000000000000002,0.0,1.0
0.2104531000368297,0.28,0.0,1.0
0.28046829998493195,0.35000000000000003,0.0,1.0
0.3503166000591591,0.42000000000000004,0.0,1.0
0.4205531000625342,0.49000000000000005,0.0,1.0
0.4902795000234619,0.56,0.0,1.0
0.5603712999727577,0.6300000000000001,0.0,1.0
0.6301664999919012,0.7000000000000002,0.0,1.0
0.700526800006628,0.7700000000000002,0.0,1.0
0.770368600031361,0.8400000000000003,0.0,1.0
0.8404031000100076,0.9100000000000004,0.0,1.0
0.910411800025031,0.9800000000000004,-8.122238035224698e-08,1.0
0.9804281999822706,1.0500000000000005,-6.744073960911309e-08,1.0
1.0500595000339672,1.1200000000000006,-5.616738304134347e-08,1.0
1.1203901000553742,1.1900000000000006,-4.7707990380425886e-08,1.0
1.1901055000489578,1.2600000000000007,-4.098558294023652e-08,1.0
1.2602531999582425,1.3300000000000007,-0.0007102886608333185,1.0
1.3592217999976128,1.4000000000000008,-0.029781436453505127,1.0
1.4591877000639215,1.4639411955420136,-0.042087200106596265,0.9134456506001822
1.5592602000106126,1.50166260238174,-0.03328102728667983,0.5388772405675225
1.6592088000616059,1.513426478137888,-0.01879681761508398,0.16805536794497042
1.7592810000060126,1.4987546840875294,-0.01607042223617412,-0.20959705786226757
1.8591824000468478,1.4402646015809522,-0.06617762629447585,-0.8355726072368168
1.9591845000395551,1.370264601580952,-0.1582485358297994,-1.0
2.0592016000300646,1.300264601580952,-0.27324233301772805,-1.0
2.1591463000513613,1.230264601580952,-0.3601482341140678,-1.0
2.259125299984589,1.160264601580952,-0.32319399823866934,-1.0
2.3591493000276387,1.0902646015809518,-0.004091854497333205,-1.0
2.4591522000264376,1.0202646015809518,0.17703782034233226,-1.0
2.559155400027521,0.9502646015809518,0.17031631618160709,-0.9999999999999999
2.659156300011091,0.8802646015809519,-0.16791407882159964,-0.9999999999999999
2.7591706999810413,0.9185487291572456,-0.5236,0.5469161082327672
2.8591935000149533,0.9885487291572457,-0.43246487793875593,1.0
2.9594931000610813,0.9893789237469288,0.5236,0.01185992270975944
3.059177799965255,0.9193789237469289,0.5236,-0.9999999999999999
3.1258189999498427,0.8493789237469289,0.5235999999999998,-1.0
3.192548800026998,0.779378923746929,0.5235999999999998,-0.9999999999999996
3.2591689999680966,0.709378923746929,0.5236,-1.0
3.3258809000253677,0.639378923746929,0.5235999999999998,-1.0
3.3925435000564903,0.6330891431858362,0.5236,-0.08985400801561033
3.459163299994543,0.7030891431858362,0.5236,1.0
3.5259544999571517,0.7730891431858362,0.5236,1.0
