t,delta_ref,ax_ref
6.00004568696022e-07,0.0,1.0
0.0701326000271365,0.0,0.0
0.14025419997051358,0.0,0.0
0.2104531000368297,0.0,0.0
0.28046829998493195,0.0,0.0
0.3503166000591591,0.0,0.0
0.4205531000625342,0.0,0.0
0.4902795000234619,0.0,0.0
0.5603712999727577,0.0,0.0
0.6301664999919012,0.0,0.0
0.700526800006628,0.0,0.0
0.770368600031361,0.0,0.0
0.8404031000100076,0.0,0.0
0.910411800025031,0.0,0.0
0.9804281999822706,0.0,0.0
1.0500595000339672,0.0,0.0
1.1203901000553742,0.0,0.0
1.1901055000489578,0.0,0.0
1.2602531999582425,0.0,0.0
1.3592217999976128,0.0,0.0
1.4591877000639215,0.0,0.0
1.5592602000106126,0.0,0.0
1.6592088000616059,0.0,0.0
1.7592810000060126,0.0,0.0
1.8591824000468478,0.0,0.0
1.9591845000395551,0.0,0.0
2.0592016000300646,0.0,0.0
2.1591463000513613,0.0,0.0
2.259125299984589,0.0,0.0
2.3591493000276387,0.0,0.0
2.4591522000264376,0.0,0.0
2.559155400027521,0.0,0.0
2.659156300011091,0.0,0.0
2.7591706999810413,0.0,0.0
2.8591935000149533,0.0,0.0
2.9594931000610813,0.0,0.0
3.059177799965255,0.0,0.0
3.1258189999498427,0.0,0.0
3.192548800026998,0.0,0.0
3.2591689999680966,0.0,0.0
3.3258809000253677,0.0,0.0
3.3925435000564903,0.0,0.0
3.459163299994543,0.0,0.0
3.5259544999571517,0.0,0.0
3.592768599977717,0.0,0.0
3.6592345000244677,0.0,0.0
3.725985800032504,0.0,0.0
3.7926107000093907,0.0,0.0
3.8592353999847546,0.0,0.0
3.9258441999554634,0.0,0.0
3.9925218999851495,0.0,0.0
4.0591989000095055,0.0,0.0
4.125856900005601,0.0,0.0
4.192572099971585,0.0,0.0
4.2592378000263125,0.0,0.0
4.3258511000312865,0.0,0.0
4.392506500007585,0.0,0.0
4.459314499981701,0.0,0.0
4.525846999953501,0.0,0.0
4.592498500016518,0.0,0.0
4.659184099989943,0.0,0.0
4.759188600000925,0.0,0.0
4.859175799996592,0.0,0.0
4.959189399960451,0.0,0.0
5.059195999987423,0.0,0.0
5.192527299979702,0.0,0.0
5.292584200040437,0.0,0.0
5.392567600007169,0.0,0.0
5.492527500027791,0.0,0.0
5.592549500055611,0.0,0.0
5.692511099972762,0.0,0.0
5.793553399969824,0.0,0.0
5.893507400061935,0.0,0.0
5.993546699988656,0.0,0.0
6.09360799996648,0.0,0.0
6.1601713000563905,0.0,0.0
6.22680850001052,0.0,0.0
6.293590100016445,0.0,0.0
6.360182699980214,0.0,0.0
6.426831400021911,0.0,0.0
6.493552600033581,0.0,0.0
6.560161300003529,0.0,0.0
6.626837100018747,0.0,0.0
6.6935508999740705,0.0,0.0
6.760167300002649,0.0,0.0
6.826910899952054,0.0,0.0
6.893522700062022,0.0,0.0
6.960155499982648,0.0,0.0
7.026832200004719,0.0,0.0
7.093662100029178,0.0,0.0
7.160236999974586,0.0,0.0
7.226877199951559,0.0,0.0
7.293490399955772,0.0,0.0
7.360169699997641,0.0,0.0
7.426832300028764,0.0,0.0
7.493493600049987,0.0,0.0
7.560182600049302,0.0,0.0
7.626871900050901,0.0,0.0
7.693534899968654,0.0,0.0
7.760178199969232,0.0,0.0
7.82691890001297,0.0,0.0
7.893532200017944,0.0,0.0
7.960164500051178,0.0,0.0
8.026836000033654,0.0,0.0
8.09352090000175,0.0,0.0
8.160156800062396,0.0,0.0
8.226840400020592,0.0,0.0
8.293548800051212,0.0,0.0
8.360213199979626,0.0,0.0
8.42683000001125,0.0,0.0
8.493527399958111,0.0,0.0
8.560166000039317,0.0,0.0
8.626831999979913,0.0,0.0
8.69351909996476,0.0,0.0
8.76019050006289,0.0,0.0
8.826873100013472,0.0,0.0
8.893531300011091,0.0,0.0
8.960176900029182,0.0,0.0
9.026865900028497,0.0,-1.0
9.09356279997155,0.0,-1.0
9.160174799966626,0.0,-1.0
